,Times,min_luminosity,max_luminosity
0,5.0,7.970967175675234,9.077306025842798
1,5.01,7.973818750599609,9.07853490493266
2,5.02,7.97666573006493,9.079762353631175
3,5.029999999999999,7.979508118819379,9.080988372739485
4,5.039999999999999,7.982345921608497,9.082212963058543
5,5.049999999999999,7.9851791431751815,9.083436125389108
6,5.059999999999999,7.988007788259686,9.084657860531754
7,5.0699999999999985,7.99083186159962,9.085878169286868
8,5.079999999999998,7.993651367929951,9.087097052454643
9,5.089999999999998,7.996466311983005,9.08831451083509
10,5.099999999999998,7.99927669848846,9.089530545228024
11,5.109999999999998,8.002082532173354,9.090745156433075
12,5.119999999999997,8.004883817762083,9.091958345249687
13,5.129999999999997,8.007680559976396,9.093170112477106
14,5.139999999999997,8.010472763535402,9.0943804589144
15,5.149999999999997,8.013260433155562,9.095589385360443
16,5.159999999999997,8.016043573550702,9.096796892613918
17,5.169999999999996,8.018822189431996,9.098002981473325
18,5.179999999999996,8.021596285507979,9.099207652736968
19,5.189999999999996,8.024365866484542,9.10041090720297
20,5.199999999999996,8.027130937064936,9.101612745669259
21,5.2099999999999955,8.02989150194976,9.102813168933576
22,5.219999999999995,8.03264756583698,9.104012177793475
23,5.229999999999995,8.035399133421912,9.10520977304632
24,5.239999999999995,8.038146209397233,9.106405955489286
25,5.249999999999995,8.04088879845297,9.10760072591936
26,5.2599999999999945,8.043626905276517,9.108794085133336
27,5.269999999999994,8.046360534552614,9.109986033927827
28,5.279999999999994,8.049089690963365,9.11117657309925
29,5.289999999999994,8.051814379188228,9.112365703443839
30,5.299999999999994,8.054534603904017,9.113553425757631
31,5.309999999999993,8.057250369784906,9.114739740836484
32,5.319999999999993,8.059961681502422,9.115924649476062
33,5.329999999999993,8.06266854372545,9.11710815247184
34,5.339999999999993,8.065370961120236,9.118290250619104
35,5.3499999999999925,8.068068938350372,9.119470944712955
36,5.359999999999992,8.070762480076818,9.1206502355483
37,5.369999999999992,8.073451590957886,9.121828123919862
38,5.379999999999992,8.076136275649242,9.123004610622168
39,5.389999999999992,8.078816538803913,9.124179696449566
40,5.3999999999999915,8.081492385072284,9.12535338219621
41,5.409999999999991,8.084163819102091,9.126525668656061
42,5.419999999999991,8.08683084553843,9.1276965566229
43,5.429999999999991,8.089493469023754,9.128866046890312
44,5.439999999999991,8.092151694197874,9.130034140251697
45,5.44999999999999,8.094805525697952,9.131200837500266
46,5.45999999999999,8.097454968158514,9.13236613942904
47,5.46999999999999,8.100100026211438,9.13353004683085
48,5.47999999999999,8.10274070448596,9.13469256049834
49,5.4899999999999896,8.105377007608674,9.135853681223969
50,5.499999999999989,8.108008940203527,9.137013409799996
51,5.509999999999989,8.110636506891828,9.138171747018506
52,5.519999999999989,8.113259712292239,9.13932869367138
53,5.529999999999989,8.115878561020779,9.140484250550324
54,5.5399999999999885,8.118493057690825,9.141638418446846
55,5.549999999999988,8.12110320691311,9.142791198152267
56,5.559999999999988,8.123709013295723,9.143942590457723
57,5.569999999999988,8.126310481444115,9.145092596154157
58,5.579999999999988,8.128907615961083,9.146241216032324
59,5.589999999999987,8.131500421446791,9.147388450882792
60,5.599999999999987,8.134088902498755,9.148534301495939
61,5.609999999999987,8.136673063711847,9.149678768661955
62,5.619999999999987,8.1392529096783,9.150821853170838
63,5.629999999999987,8.141828444987697,9.151963555812403
64,5.639999999999986,8.144399674226985,9.15310387737627
65,5.649999999999986,8.146966601980463,9.154242818651872
66,5.659999999999986,8.149529232829789,9.155380380428458
67,5.669999999999986,8.152087571353976,9.156516563495083
68,5.6799999999999855,8.154641622129393,9.157651368640613
69,5.689999999999985,8.157191389729771,9.158784796653729
70,5.699999999999985,8.159736878726191,9.15991684832292
71,5.709999999999985,8.162278093687096,9.161047524436487
72,5.719999999999985,8.16481503917828,9.162176825782542
73,5.729999999999984,8.1673477197629,9.16330475314901
74,5.739999999999984,8.169876140001465,9.164431307323625
75,5.749999999999984,8.172400304451845,9.165556489093932
76,5.759999999999984,8.17492021766926,9.166680299247291
77,5.769999999999984,8.177435884206297,9.167802738570867
78,5.779999999999983,8.179947308612888,9.168923807851641
79,5.789999999999983,8.182454495436332,9.170043507876404
80,5.799999999999983,8.184957449221278,9.17116183943176
81,5.809999999999983,8.187456174509734,9.172278803304117
82,5.8199999999999825,8.189950675841065,9.173394400279703
83,5.829999999999982,8.192440957751991,9.174508631144551
84,5.839999999999982,8.194927024776591,9.175621496684512
85,5.849999999999982,8.1974088814463,9.176732997685239
86,5.859999999999982,8.199886532289911,9.177843134932205
87,5.8699999999999815,8.20235998183357,9.178951909210689
88,5.879999999999981,8.204829234600783,9.180059321305782
89,5.889999999999981,8.20729429511241,9.181165372002386
90,5.899999999999981,8.209755167886671,9.182270062085216
91,5.909999999999981,8.212211857439142,9.183373392338797
92,5.91999999999998,8.214664368282753,9.184475363547465
93,5.92999999999998,8.217112704927793,9.185575976495368
94,5.93999999999998,8.219556871881908,9.186675231966463
95,5.94999999999998,8.221996873650099,9.187773130744523
96,5.9599999999999795,8.224432714734727,9.188869673613125
97,5.969999999999979,8.226864399635504,9.189964861355664
98,5.979999999999979,8.229291932849504,9.191058694755343
99,5.989999999999979,8.231715318871156,9.192151174595176
100,5.999999999999979,8.234134562192246,9.19324230165799
101,6.0099999999999785,8.236549667301915,9.19433207672642
102,6.019999999999978,8.238960638686663,9.195420500582916
103,6.029999999999978,8.241367480830345,9.196507574009738
104,6.039999999999978,8.243770198214175,9.197593297788954
105,6.049999999999978,8.24616879531672,9.198677672702447
