,Wavelength,all_lambda,lambda_lt_6500,lambda_features,lambda_3500_8000
239,3911.7119183230334,1.0,1.0,0.0,1.0
240,3916.002996374343,1.0,1.0,0.0,1.0
241,3920.298781661567,1.0,1.0,0.0,1.0
242,3924.599279348466,1.0,1.0,0.0,1.0
243,3928.904494604451,1.0,1.0,0.0,1.0
244,3933.2144326046187,1.0,1.0,0.0,1.0
245,3937.529098529727,1.0,1.0,0.0,1.0
246,3941.848497566233,1.0,1.0,0.0,1.0
247,3946.172634906268,1.0,1.0,0.0,1.0
248,3950.5015157476732,1.0,1.0,0.0,1.0
249,3954.8351452939773,1.0,1.0,0.0,1.0
250,3959.173528754433,1.0,1.0,0.0,1.0
251,3963.5166713439908,1.0,1.0,0.0,1.0
252,3967.8645782833382,1.0,1.0,0.0,1.0
253,3972.2172547988735,1.0,1.0,0.0,1.0
254,3976.5747061227453,1.0,1.0,0.0,1.0
255,3980.9369374928247,1.0,1.0,0.0,1.0
256,3985.303954152744,1.0,1.0,0.0,1.0
257,3989.6757613518744,1.0,1.0,0.0,1.0
258,3994.0523643453585,1.0,1.0,0.0,1.0
259,3998.433768394089,1.0,1.0,0.0,1.0
260,4002.819978764746,1.0,1.0,0.0,1.0
261,4007.2110007297706,1.0,1.0,0.0,1.0
262,4011.606839567404,1.0,1.0,0.0,1.0
263,4016.007500561662,1.0,1.0,0.0,1.0
264,4020.4129890023705,1.0,1.0,0.0,1.0
265,4024.8233101851456,1.0,1.0,0.0,1.0
266,4029.238469411426,1.0,1.0,0.0,1.0
267,4033.6584719884513,1.0,1.0,0.0,1.0
268,4038.083323229299,1.0,1.0,0.0,1.0
269,4042.5130284528577,1.0,1.0,0.0,1.0
270,4046.9475929838686,1.0,1.0,0.0,1.0
271,4051.3870221528964,1.0,1.0,0.0,1.0
272,4055.831321296371,1.0,1.0,0.0,1.0
273,4060.280495756558,1.0,1.0,0.0,1.0
274,4064.7345508816024,1.0,1.0,0.0,1.0
275,4069.1934920254967,1.0,1.0,0.0,1.0
276,4073.657324548125,1.0,1.0,0.0,1.0
277,4078.126053815234,1.0,1.0,0.0,1.0
278,4082.5996851984733,1.0,1.0,0.0,1.0
279,4087.0782240753683,1.0,1.0,0.0,1.0
280,4091.56167582936,1.0,1.0,0.0,1.0
281,4096.050045849779,1.0,1.0,0.0,1.0
282,4100.543339531882,1.0,1.0,0.0,1.0
283,4105.041562276833,1.0,1.0,0.0,1.0
284,4109.5447194917315,1.0,1.0,0.0,1.0
285,4114.052816589595,1.0,1.0,0.0,1.0
286,4118.565858989396,1.0,1.0,0.0,1.0
287,4123.083852116032,1.0,1.0,0.0,1.0
288,4127.606801400372,1.0,1.0,0.0,1.0
289,4132.134712279225,1.0,1.0,0.0,1.0
290,4136.667590195377,1.0,1.0,0.0,1.0
291,4141.205440597572,1.0,1.0,0.0,1.0
292,4145.748268940548,1.0,1.0,0.0,1.0
293,4150.296080685007,1.0,1.0,0.0,1.0
294,4154.84888129766,1.0,1.0,0.0,1.0
295,4159.406676251198,1.0,1.0,0.0,1.0
296,4163.969471024333,1.0,1.0,0.0,1.0
297,4168.537271101769,1.0,1.0,0.0,1.0
298,4173.110081974242,1.0,1.0,0.0,1.0
299,4177.687909138498,1.0,1.0,0.0,1.0
300,4182.270758097327,1.0,1.0,0.0,1.0
301,4186.85863435954,1.0,1.0,0.0,1.0
302,4191.451543440007,1.0,1.0,0.0,1.0
303,4196.049490859631,1.0,1.0,0.0,1.0
304,4200.6524821453895,1.0,1.0,0.0,1.0
305,4205.260522830308,1.0,1.0,0.0,1.0
306,4209.873618453484,1.0,1.0,0.0,1.0
307,4214.491774560098,1.0,1.0,0.0,1.0
308,4219.1149967014135,1.0,1.0,0.0,1.0
309,4223.743290434777,1.0,1.0,0.0,1.0
310,4228.376661323629,1.0,1.0,0.0,1.0
311,4233.015114937523,1.0,1.0,0.0,1.0
312,4237.6586568521225,1.0,1.0,0.0,1.0
313,4242.307292649198,1.0,1.0,0.0,1.0
314,4246.961027916642,1.0,1.0,0.0,1.0
315,4251.619868248492,1.0,1.0,0.0,1.0
316,4256.2838192449035,1.0,1.0,0.3586413935545836,1.0
317,4260.952886512192,1.0,1.0,0.8575025005743588,1.0
318,4265.627075662808,1.0,1.0,1.0,1.0
319,4270.306392315374,1.0,1.0,1.0,1.0
320,4274.9908420946595,1.0,1.0,1.0,1.0
321,4279.680430631621,1.0,1.0,1.0,1.0
322,4284.375163563374,1.0,1.0,1.0,1.0
323,4289.075046533239,1.0,1.0,1.0,1.0
324,4293.780085190706,1.0,1.0,1.0,1.0
325,4298.490285191479,1.0,1.0,1.0,1.0
326,4303.205652197454,1.0,1.0,1.0,1.0
327,4307.92619187675,1.0,1.0,1.0,1.0
328,4312.651909903688,1.0,1.0,1.0,1.0
329,4317.382811958832,1.0,1.0,1.0,1.0
330,4322.11890372896,1.0,1.0,1.0,1.0
331,4326.860190907105,1.0,1.0,1.0,1.0
332,4331.606679192528,1.0,1.0,1.0,1.0
333,4336.3583742907595,1.0,1.0,1.0,1.0
334,4341.115281913571,1.0,1.0,1.0,1.0
335,4345.8774077790185,1.0,1.0,1.0,1.0
336,4350.6447576114115,1.0,1.0,1.0,1.0
337,4355.417337141357,1.0,1.0,1.0,1.0
338,4360.195152105731,1.0,1.0,1.0,1.0
339,4364.97820824772,1.0,1.0,1.0,1.0
340,4369.766511316795,1.0,1.0,1.0,1.0
341,4374.560067068747,1.0,1.0,1.0,1.0
342,4379.35888126567,1.0,1.0,1.0,1.0
343,4384.162959675989,1.0,1.0,1.0,1.0
