,Times,min_velocity,max_velocity
0,5.0,12461.818081993437,16881.43402426446
1,5.01,12456.178600844767,16879.634570550905
2,5.02,12450.53405367044,16877.835025151086
3,5.029999999999999,12444.884450610321,16876.035388065015
4,5.039999999999999,12439.229801804267,16874.235659292684
5,5.049999999999999,12433.570117392139,16872.43583883409
6,5.059999999999999,12427.905407513794,16870.635926689247
7,5.0699999999999985,12422.235682309096,16868.835922858143
8,5.079999999999998,12416.5609519179,16867.035827340776
9,5.089999999999998,12410.88122648007,16865.235640137154
10,5.099999999999998,12405.196516135464,16863.435361247273
11,5.109999999999998,12399.506831023942,16861.634990671137
12,5.119999999999997,12393.812181285364,16859.834528408737
13,5.129999999999997,12388.11257705959,16858.033974460086
14,5.139999999999997,12382.40802848648,16856.233328825176
15,5.149999999999997,12376.698545705895,16854.432591504003
16,5.159999999999997,12370.98413885769,16852.631762496574
17,5.169999999999996,12365.26481808173,16850.830841802886
18,5.179999999999996,12359.540593517875,16849.029829422943
19,5.189999999999996,12353.81147530598,16847.228725356737
20,5.199999999999996,12348.077473585909,16845.427529604276
21,5.2099999999999955,12342.338598497521,16843.626242165556
22,5.219999999999995,12336.594860180676,16841.82486304058
23,5.229999999999995,12330.846268775233,16840.023392229345
24,5.239999999999995,12325.092834421052,16838.221829731847
25,5.249999999999995,12319.334567257993,16836.420175548097
26,5.2599999999999945,12313.571477425916,16834.618429678085
27,5.269999999999994,12307.803575064681,16832.81659212182
28,5.279999999999994,12302.030870314147,16831.01466287929
29,5.289999999999994,12296.253373314175,16829.212641950508
30,5.299999999999994,12290.471094204624,16827.410529335466
31,5.309999999999993,12284.684043125355,16825.60832503416
32,5.319999999999993,12278.892230216226,16823.806029046606
33,5.329999999999993,12273.0956656171,16822.003641372787
34,5.339999999999993,12267.294359467833,16820.201162012712
35,5.3499999999999925,12261.488321908288,16818.39859096638
36,5.359999999999992,12255.677563078321,16816.595928233786
37,5.369999999999992,12249.862093117796,16814.79317381494
38,5.379999999999992,12244.04192216657,16812.99032770983
39,5.389999999999992,12238.217060364506,16811.187389918465
40,5.3999999999999915,12232.38751785146,16809.38436044084
41,5.409999999999991,12226.553304767294,16807.58123927696
42,5.419999999999991,12220.714431251869,16805.77802642682
43,5.429999999999991,12214.870907445042,16803.97472189042
44,5.439999999999991,12209.022743486676,16802.171325667765
45,5.44999999999999,12203.169949516627,16800.36783775885
46,5.45999999999999,12197.312535674759,16798.564258163675
47,5.46999999999999,12191.450512100928,16796.760586882247
48,5.47999999999999,12185.583888934996,16794.956823914556
49,5.4899999999999896,12179.712676316823,16793.15296926061
50,5.499999999999989,12173.836884386268,16791.349022920404
51,5.509999999999989,12167.956523283192,16789.544984893942
52,5.519999999999989,12162.071603147453,16787.74085518122
53,5.529999999999989,12156.182134118913,16785.93663378224
54,5.5399999999999885,12150.28812633743,16784.132320697005
55,5.549999999999988,12144.389589942864,16782.327915925507
56,5.559999999999988,12138.486535075077,16780.523419467754
57,5.569999999999988,12132.578971873927,16778.718831323742
58,5.579999999999988,12126.666910479275,16776.91415149347
59,5.589999999999987,12120.75036103098,16775.10937997694
60,5.599999999999987,12114.829333668898,16773.304516774155
61,5.609999999999987,12108.903838532897,16771.499561885114
62,5.619999999999987,12102.97388576283,16769.69451530981
63,5.629999999999987,12097.03948549856,16767.88937704825
64,5.639999999999986,12091.10064787995,16766.084147100428
65,5.649999999999986,12085.157383046851,16764.27882546635
66,5.659999999999986,12079.20970113913,16762.473412146017
67,5.669999999999986,12073.257612296646,16760.66790713942
68,5.6799999999999855,12067.301126659257,16758.86231044657
69,5.689999999999985,12061.340254366824,16757.056622067463
70,5.699999999999985,12055.375005559205,16755.250842002093
71,5.709999999999985,12049.405390376261,16753.444970250468
72,5.719999999999985,12043.431418957854,16751.639006812584
73,5.729999999999984,12037.45310144384,16749.83295168844
74,5.739999999999984,12031.470447974083,16748.02680487804
75,5.749999999999984,12025.483468688439,16746.220566381384
76,5.759999999999984,12019.49217372677,16744.414236198467
77,5.769999999999984,12013.496573228935,16742.60781432929
78,5.779999999999983,12007.496677334795,16740.80130077386
79,5.789999999999983,12001.492496184208,16738.99469553217
80,5.799999999999983,11995.484039917037,16737.187998604222
81,5.809999999999983,11989.471318673139,16735.381209990013
82,5.8199999999999825,11983.454342592373,16733.57432968955
83,5.829999999999982,11977.433121814602,16731.767357702825
84,5.839999999999982,11971.407666479683,16729.960294029843
85,5.849999999999982,11965.377986727479,16728.1531386706
86,5.859999999999982,11959.344092697846,16726.345891625104
87,5.8699999999999815,11953.305994530647,16724.538552893348
88,5.879999999999981,11947.26370236574,16722.731122475336
89,5.889999999999981,11941.217226342986,16720.923600371065
90,5.899999999999981,11935.166576602245,16719.115986580535
91,5.909999999999981,11929.111763283376,16717.308281103746
92,5.91999999999998,11923.052796526239,16715.500483940697
93,5.92999999999998,11916.989686470693,16713.692595091394
94,5.93999999999998,11910.9224432566,16711.88461455583
95,5.94999999999998,11904.851077023819,16710.076542334013
96,5.9599999999999795,11898.775597912208,16708.26837842593
97,5.969999999999979,11892.69601606163,16706.460122831595
98,5.979999999999979,11886.612341611944,16704.651775551
99,5.989999999999979,11880.524584703007,16702.84333658415
100,5.999999999999979,11874.432755474681,16701.034805931034
101,6.0099999999999785,11868.336864066827,16699.226183591665
102,6.019999999999978,11862.236920619303,16697.417469566037
103,6.029999999999978,11856.13293527197,16695.608663854153
104,6.039999999999978,11850.024918164687,16693.799766456006
105,6.049999999999978,11843.912879437314,16691.990777371604
106,6.059999999999977,11837.796829229712,16690.181696600946
