log Ni_mass,log Peak_Flux_(erg/s),log Peak_Flux_(erg/s)_lower_limit,log Peak_Flux_(erg/s)_upper_limit
-inf,,,
-2.853437452547744,40.394100704664815,40.34834321410414,40.50804405697165
-2.552407456883763,40.705419760035014,40.65966226947434,40.81936311234185
-2.376316197828082,40.887529733186504,40.84177224262583,41.00147308549334
-2.251377461219782,41.016738815405205,40.97098132484453,41.13068216771204
-2.1544674482117254,41.116961165802664,41.07120367524199,41.2309045181095
-2.0752862021641008,41.1988487885567,41.15309129799603,41.312792140863536
-2.0083394125334877,41.268083787088656,41.22232629652798,41.38202713939549
-1.9503474655558006,41.328057870775396,41.28230038021472,41.44200122308223
-1.8991949431084194,41.3809587617082,41.335201271147525,41.494902114015034
-1.8534374525477444,41.428280221172855,41.38252273061218,41.54222357347969
-1.8120447673895193,41.47108768829676,41.42533019773609,41.585031040603596
-1.7742562065001195,41.510167843926894,41.46441035336622,41.62411119623373
-1.7394941002409077,41.546118102170844,41.50036061161017,41.66006145447768
-1.7073094168695062,41.57940284245885,41.53364535189817,41.69334619476568
-1.677346193492063,41.61039019432435,41.56463270376368,41.724333546631186
-1.6493174698918196,41.63937692614559,41.59361943558491,41.75332027845242
-1.6229885311694703,41.66660577526364,41.620848284702966,41.780549127570474
-1.5981649474444382,41.69227781707839,41.64652032651772,41.806221169385225
-1.5746838515949153,41.71656148543113,41.670803994870454,41.83050483773796
-1.5524074568837631,41.73959927654305,41.69384178598238,41.85354262884989
-1.531218157813825,41.761512815610345,41.71575532504967,41.87545616791718
-1.511014771725538,41.782406743666954,41.73664925310628,41.89635009597379
-1.4917096165301513,41.80237173973303,41.75661424917236,41.916315092039866
-1.4732262108361383,41.821486899297085,41.77572940873641,41.93543025160392
-1.4554974438757067,41.83982162694051,41.79406413637984,41.953764979247346
-1.4384641045769264,41.85743715754104,41.81167966698037,41.971380509847876
-1.422073688388757,41.87438779022989,41.828630299669214,41.98833114253672
-1.4062794212055252,41.89072189782904,41.844964407268364,42.00466525013587
-1.3910394546487883,41.90648275907429,41.86072526851361,42.02042611138112
-1.3763161978280818,41.921709249694544,41.87595175913387,42.03565260200138
-1.3620757587134715,41.93643642013296,41.89067892957228,42.05037977243979
-1.3482874742278383,41.950695981515786,41.90493849095511,42.06463933382262
-1.3349235126698569,41.96451671681845,41.91875922625778,42.078460069125285
-1.3219585355054893,41.97792483063383,41.93216734007316,42.091868182940665
-1.3093694081974687,41.9909442482265,41.94518675766582,42.10488760053333
