log Total_Ejecta_Mass_(solmass),Fraction_Core_burned,Fraction_Core_burned_lower_limit,Fraction_Core_burned_upper_limit
0.22025879608405496,0.5484617084482065,0.43876936675856526,0.6581540501378478
0.22107618907582768,0.5493570096881479,0.43948560775051837,0.6592284116257775
0.22189358206760038,0.5502523109280895,0.4402018487424716,0.6603027731137073
0.2227109750593731,0.551147612168031,0.4409180897344248,0.6613771346016372
0.2235283680511458,0.5520429134079724,0.4416343307263779,0.6624514960895669
0.2243457610429185,0.5529382146479139,0.44235057171833114,0.6635258575774967
0.2251631540346912,0.5538335158878553,0.4430668127102843,0.6646002190654264
0.22598054702646392,0.5547288171277969,0.44378305370223753,0.6656745805533563
0.2267979400182366,0.5556241183677384,0.44449929469419075,0.6667489420412861
0.22761533301000933,0.5565194196076798,0.44521553568614386,0.6678233035292157
0.22843272600178202,0.5574147208476213,0.4459317766780971,0.6688976650171455
0.22925011899355474,0.5583100220875628,0.44664801767005025,0.6699720265050753
0.23006751198532743,0.5592053233275043,0.44736425866200347,0.6710463879930051
0.23088490497710015,0.5601006245674458,0.4480804996539567,0.6721207494809349
0.23170229796887284,0.5609959258073873,0.4487967406459099,0.6731951109688648
0.23251969096064556,0.5618912270473287,0.449512981637863,0.6742694724567945
0.23333708395241826,0.5627865282872702,0.45022922262981613,0.6753438339447242
0.23415447694419098,0.5636818295272117,0.45094546362176935,0.676418195432654
0.23497186993596367,0.5645771307671532,0.45166170461372257,0.6774925569205839
0.2357892629277364,0.5654724320070947,0.4523779456056758,0.6785669184085137
0.23660665591950908,0.5663677332470362,0.45309418659762896,0.6796412798964434
0.2374240489112818,0.5672630344869776,0.45381042758958207,0.680715641384373
0.2382414419030545,0.5681583357269191,0.4545266685815353,0.6817900028723028
0.2390588348948272,0.5690536369668606,0.4552429095734885,0.6828643643602327
0.2398762278865999,0.5699489382068021,0.45595915056544173,0.6839387258481625
0.24069362087837262,0.5708442394467436,0.4566753915573949,0.6850130873360922
0.2415110138701453,0.571739540686685,0.457391632549348,0.686087448824022
0.24232840686191803,0.5726348419266265,0.4581078735413012,0.6871618103119518
0.24314579985369073,0.573530143166568,0.45882411453325445,0.6882361717998816
0.24396319284546344,0.5744254444065096,0.45954035552520767,0.6893105332878114
0.24478058583723614,0.575320745646451,0.4602565965171608,0.6903848947757412
0.24559797882900886,0.5762160468863925,0.460972837509114,0.691459256263671
0.24641537182078155,0.5771113481263339,0.46168907850106716,0.6925336177516007
0.24723276481255427,0.5780066493662754,0.4624053194930204,0.6936079792395305
0.24805015780432696,0.578901950606217,0.4631215604849736,0.6946823407274604
0.24886755079609968,0.5797972518461585,0.4638378014769268,0.6957567022153902
0.24968494378787237,0.5806925530860999,0.46455404246887994,0.6968310637033198
0.25050233677964506,0.5815878543260413,0.4652702834608331,0.6979054251912495
0.2513197297714178,0.5824831555659828,0.4659865244527863,0.6989797866791794
0.2521371227631905,0.5833784568059244,0.46670276544473954,0.7000541481671092
0.2529545157549632,0.5842737580458659,0.46741900643669276,0.701128509655039
0.2537719087467359,0.5851690592858073,0.4681352474286459,0.7022028711429688
0.25458930173850863,0.5860643605257488,0.4688514884205991,0.7032772326308986
0.2554066947302813,0.5869596617656903,0.4695677294125522,0.7043515941188283
0.256224087722054,0.5878549630056318,0.4702839704045054,0.7054259556067581
0.2570414807138267,0.5887502642455733,0.47100021139645865,0.706500317094688
0.25785887370559946,0.5896455654855148,0.47171645238841187,0.7075746785826178
0.25867626669737215,0.5905408667254562,0.47243269338036503,0.7086490400705475
0.25949365968914484,0.5914361679653977,0.47314893437231814,0.7097234015584771
0.26031105268091753,0.5923314692053392,0.47386517536427136,0.710797763046407
