log Total_Ejecta_Mass_(solmass),log KE_(erg),log KE_(erg)_lower_limit,log KE_(erg)_upper_limit
0.22025879608405496,51.05034049782381,50.89543853783807,51.164283850130644
0.22107618907582768,51.05233599183698,50.89743403185124,51.16627934414382
0.22189358206760038,51.05432852591673,50.89942656593099,51.168271878223564
0.2227109750593731,51.05631810006306,50.901416140077316,51.17026145236989
0.2235283680511458,51.05830471427596,50.90340275429022,51.172248066582796
0.2243457610429185,51.06028836855544,50.9053864085697,51.174231720862274
0.2251631540346912,51.06226906290149,50.90736710291575,51.176212415208326
0.22598054702646392,51.06424679731412,50.909344837328376,51.17819014962095
0.2267979400182366,51.06622157179332,50.91131961180758,51.180164924100154
0.22761533301000933,51.0681933863391,50.913291426353354,51.18213673864593
0.22843272600178202,51.070162240951454,50.91526028096571,51.18410559325829
0.22925011899355474,51.07212813563038,50.917226175644636,51.18607148793721
0.23006751198532743,51.074091070375886,50.91918911039014,51.18803442268272
0.23088490497710015,51.07605104518797,50.921149085202224,51.1899943974948
0.23170229796887284,51.07800806006662,50.92310610008088,51.191951412373456
0.23251969096064556,51.07996211501185,50.92506015502611,51.193905467318686
0.23333708395241826,51.08191321002366,50.927011250037914,51.19585656233049
0.23415447694419098,51.083861345102044,50.9289593851163,51.19780469740888
0.23497186993596367,51.085806520247,50.930904560261254,51.19974987255383
0.2357892629277364,51.08774873545853,50.93284677547279,51.201692087765366
0.23660665591950908,51.089687990736635,50.93478603075089,51.20363134304347
0.2374240489112818,51.09162428608132,50.93672232609558,51.20556763838815
0.2382414419030545,51.09355762149258,50.938655661506836,51.20750097379941
0.2390588348948272,51.09548799697041,50.94058603698467,51.209431349277246
0.2398762278865999,51.09741541251483,50.942513452529084,51.21135876482166
0.24069362087837262,51.09933986812581,50.94443790814007,51.21328322043264
0.2415110138701453,51.10126136380337,50.946359403817624,51.2152047161102
0.24232840686191803,51.103179899547506,50.94827793956176,51.21712325185434
0.24314579985369073,51.10509547535822,50.950193515372476,51.21903882766505
0.24396319284546344,51.10700809123551,50.952106131249764,51.22095144354234
0.24478058583723614,51.10891774717937,50.954015787193626,51.2228610994862
