log Total_Ejecta_Mass_(solmass),Fraction_Core_IGE/burned,Fraction_Core_IGE/burned_lower_limit,Fraction_Core_IGE/burned_upper_limit
0.22025879608405496,0.16475844340263035,0.08237922170131518,0.24713766510394553
0.22107618907582768,0.16819826040036556,0.08409913020018278,0.25229739060054834
0.22189358206760038,0.17163807739810066,0.08581903869905033,0.257457116097151
0.2227109750593731,0.17507789439583576,0.08753894719791788,0.26261684159375365
0.2235283680511458,0.17851771139357087,0.08925885569678543,0.2677765670903563
0.2243457610429185,0.18195752839130608,0.09097876419565304,0.2729362925869591
0.2251631540346912,0.18539734538904107,0.09269867269452053,0.2780960180835616
0.22598054702646392,0.18883716238677628,0.09441858119338814,0.2832557435801644
0.2267979400182366,0.19227697938451138,0.09613848969225569,0.2884154690767671
0.22761533301000933,0.19571679638224648,0.09785839819112324,0.2935751945733697
0.22843272600178202,0.19915661337998158,0.09957830668999079,0.2987349200699724
0.22925011899355474,0.2025964303777168,0.1012982151888584,0.3038946455665752
0.23006751198532743,0.2060362473754518,0.1030181236877259,0.3090543710631777
0.23088490497710015,0.209476064373187,0.1047380321865935,0.3142140965597805
0.23170229796887284,0.2129158813709221,0.10645794068546105,0.31937382205638315
0.23251969096064556,0.2163556983686572,0.1081778491843286,0.3245335475529858
0.23333708395241826,0.2197955153663923,0.10989775768319615,0.32969327304958845
0.23415447694419098,0.22323533236412751,0.11161766618206376,0.33485299854619127
0.23497186993596367,0.2266751493618625,0.11333757468093125,0.34001272404279376
0.2357892629277364,0.23011496635959772,0.11505748317979886,0.3451724495393966
0.23660665591950908,0.23355478335733282,0.11677739167866641,0.3503321750359992
0.2374240489112818,0.23699460035506792,0.11849730017753396,0.3554919005326019
0.2382414419030545,0.2404344173528029,0.12021720867640145,0.36065162602920436
0.2390588348948272,0.24387423435053812,0.12193711717526906,0.3658113515258072
0.2398762278865999,0.24731405134827333,0.12365702567413667,0.37097107702241
0.24069362087837262,0.2507538683460083,0.12537693417300416,0.3761308025190125
0.2415110138701453,0.25419368534374354,0.12709684267187177,0.3812905280156153
0.24232840686191803,0.25763350234147875,0.12881675117073937,0.3864502535122181
0.24314579985369073,0.26107331933921374,0.13053665966960687,0.3916099790088206
0.24396319284546344,0.26451313633694895,0.13225656816847448,0.3967697045054234
0.24478058583723614,0.26795295333468394,0.13397647666734197,0.4019294300020259
0.24559797882900886,0.27139277033241915,0.13569638516620958,0.40708915549862873
0.24641537182078155,0.27483258733015414,0.13741629366507707,0.4122488809952312
0.24723276481255427,0.27827240432788936,0.13913620216394468,0.41740860649183403
0.24805015780432696,0.28171222132562435,0.14085611066281217,0.4225683319884365
0.24886755079609968,0.28515203832335956,0.14257601916167978,0.42772805748503934
0.24968494378787237,0.28859185532109477,0.14429592766054739,0.43288778298164216
0.25050233677964506,0.29203167231882976,0.14601583615941488,0.43804750847824464
0.2513197297714178,0.295471489316565,0.1477357446582825,0.44320723397484746
0.2521371227631905,0.2989113063143002,0.1494556531571501,0.4483669594714503
0.2529545157549632,0.3023511233120352,0.1511755616560176,0.45352668496805276
0.2537719087467359,0.30579094030977017,0.15289547015488508,0.45868641046465525
0.25458930173850863,0.3092307573075056,0.1546153786537528,0.4638461359612584
0.2554066947302813,0.3126705743052406,0.1563352871526203,0.4690058614578609
0.256224087722054,0.3161103913029756,0.1580551956514878,0.47416558695446337
0.2570414807138267,0.3195502083007108,0.1597751041503554,0.4793253124510662
0.25785887370559946,0.322990025298446,0.161495012649223,0.484485037947669
0.25867626669737215,0.326429842296181,0.1632149211480905,0.4896447634442715
0.25949365968914484,0.3298696592939162,0.1649348296469581,0.4948044889408743
0.26031105268091753,0.3333094762916512,0.1666547381458256,0.4999642144374768
0.2611284456726903,0.3367492932893864,0.1683746466446932,0.5051239399340797
0.26194583866446297,0.3401891102871216,0.1700945551435608,0.5102836654306824
0.26276323165623566,0.3436289272848566,0.1718144636424283,0.5154433909272849
0.26358062464800835,0.3470687442825916,0.1735343721412958,0.5206031164238873
0.2643980176397811,0.35050856128032704,0.17525428064016352,0.5257628419204905
0.2652154106315538,0.353948378278062,0.176974189139031,0.530922567417093
0.2660328036233265,0.357388195275797,0.1786940976378985,0.5360822929136955
0.2668501966150992,0.36082801227353223,0.18041400613676611,0.5412420184102984
0.2676675896068719,0.36426782927126744,0.18213391463563372,0.5464017439069011
0.2684849825986446,0.36770764626900243,0.18385382313450122,0.5515614694035036
0.2693023755904173,0.37114746326673764,0.18557373163336882,0.5567211949001065
0.27011976858219,0.37458728026447263,0.18729364013223632,0.561880920396709
0.27093716157396275,0.37802709726220785,0.18901354863110392,0.5670406458933117
0.27175455456573544,0.38146691425994306,0.19073345712997153,0.5722003713899146
0.27257194755750813,0.38490673125767805,0.19245336562883902,0.5773600968865171
0.2733893405492808,0.38834654825541304,0.19417327412770652,0.5825198223831196
0.27420673354105357,0.39178636525314847,0.19589318262657424,0.5876795478797228
0.27502412653282626,0.39522618225088346,0.19761309112544173,0.5928392733763252
0.27584151952459895,0.39866599924861845,0.19933299962430923,0.5979989988729277
0.27665891251637165,0.40210581624635366,0.20105290812317683,0.6031587243695304
0.2774763055081444,0.4055456332440889,0.20277281662204444,0.6083184498661334
0.2782936984999171,0.40898545024182387,0.20449272512091193,0.6134781753627359
0.2791110914916898,0.4124252672395591,0.20621263361977954,0.6186379008593386
0.27992848448346247,0.41586508423729407,0.20793254211864703,0.623797626355941
0.2807458774752352,0.4193049012350293,0.20965245061751464,0.628957351852544
0.2815632704670079,0.4227447182327645,0.21137235911638225,0.6341170773491467
0.2823806634587806,0.4261845352304995,0.21309226761524974,0.6392768028457492
0.2831980564505533,0.4296243522282345,0.21481217611411724,0.6444365283423517
0.28401544944232604,0.4330641692259699,0.21653208461298495,0.6495962538389548
0.28483284243409873,0.4365039862237049,0.21825199311185245,0.6547559793355573
0.2856502354258714,0.4399438032214399,0.21997190161071994,0.6599157048321598
0.28646762841764417,0.4433836202191753,0.22169181010958766,0.6650754303287629
0.28728502140941686,0.4468234372169103,0.22341171860845516,0.6702351558253654
0.28810241440118955,0.4502632542146453,0.22513162710732265,0.6753948813219679
0.28891980739296225,0.4537030712123805,0.22685153560619026,0.6805546068185708
