Wavelength,Scale_Factor_50
2000.0000000000002,1.0700350175087543
2001.6108914286087,1.0700350175087543
2003.2230803428147,1.0700350175087543
2004.836567787672,1.0720360180090045
2006.4513548090772,1.0680340170085043
2008.067442453768,1.0700350175087543
2009.6848317693264,1.0720360180090045
2011.3035238041791,1.0765382691345673
2012.9235196075924,1.0710355177588795
2014.5448202296825,1.0685342671335667
2016.1674267214103,1.066033016508254
2017.791340134583,1.0665332666333167
2019.4165615218544,1.0645322661330665
2021.0430919367273,1.067033516758379
2022.670932433552,1.069534767383692
2024.3000840675284,1.0790395197598799
2025.9305478947063,1.078039019509755
2027.562324971986,1.0680340170085043
2029.1954163571195,1.066033016508254
2030.8298231087122,1.066033016508254
2032.4655462862165,1.0665332666333167
2034.1025869499438,1.0690345172586293
2035.7409461610578,1.0665332666333167
2037.3806249815768,1.0675337668834417
2039.0216244743747,1.0675337668834417
2040.6639457031813,1.070535267633817
2042.3075897325832,1.082041020510255
2043.9525576280244,1.088544272136068
2045.598850455807,1.0920460230115057
2047.2464692830922,1.0870435217608805
2048.8954151779008,1.0830415207603803
2050.5456892091156,1.080040020010005
2052.197292446474,1.0740370185092547
2053.850225960582,1.0765382691345673
2055.5044908229047,1.082041020510255
2057.160088105771,1.0805402701350675
2058.8170188823738,1.0775387693846923
2060.475284226769,1.0720360180090045
2062.1348852138794,1.0730365182591295
2063.7958229194924,1.072536268134067
2065.4580984202616,1.07703851925963
2067.1217127937093,1.0765382691345673
2068.786667118224,1.0805402701350675
2070.4529624730667,1.08104052026013
2072.1205999383587,1.0790395197598799
2073.7895805951007,1.0730365182591295
2075.45990552516,1.0760380190095047
2077.1315758112755,1.078039019509755
2078.804592537059,1.073536768384192
2080.478956786994,1.0720360180090045
2082.154669646438,1.071535767883942
2083.8317322016233,1.071535767883942
2085.510145539656,1.0720360180090045
2087.189910748519,1.0720360180090045
2088.871028917071,1.0690345172586293
2090.5535011350485,1.0680340170085043
2092.2373284930613,1.0700350175087543
2093.9225120826036,1.072536268134067
2095.6090529960456,1.0700350175087543
2097.2969523266383,1.0700350175087543
2098.9862111685134,1.0700350175087543
2100.6768306166828,1.070535267633817
2102.368811767041,1.07703851925963
2104.062155716366,1.0760380190095047
2105.756863562317,1.0740370185092547
2107.45293640344,1.0750375187593797
2109.1503753391644,1.0750375187593797
2110.8491814698064,1.074537268634317
2112.549355896564,1.074537268634317
2114.2508997215273,1.0710355177588795
2115.9538140476716,1.073536768384192
2117.658099978862,1.07703851925963
2119.363758619852,1.0750375187593797
2121.070791076284,1.071535767883942
2122.779198454692,1.070535267633817
2124.4889818625015,1.0755377688844423
2126.2001424080295,1.082041020510255
2127.912681200485,1.0865432716358179
2129.6265993499715,1.0915457728864433
2131.3418979674866,1.0920460230115057
2133.058578164924,1.089544772386193
2134.7766410550666,1.089544772386193
2136.496087751601,1.0940470235117559
2138.2169193691084,1.0985492746373187
2139.939137023067,1.0925462731365683
2141.662741829854,1.0880440220110055
2143.387734906746,1.0875437718859429
2145.1141173719193,1.0870435217608805
2146.84189034445,1.0865432716358179
2148.5710549443165,1.0900450225112557
2150.3016122923996,1.089544772386193
2152.033563510482,1.0860430215107553
2153.766909721253,1.088544272136068
2155.501652048298,1.0915457728864433
2157.237791616116,1.0920460230115057
2158.975329550108,1.0965482741370685
2160.714266976583,1.0985492746373187
2162.4546050227555,1.0955477738869435
2164.1963448167485,1.0915457728864433
2165.939487487594,1.088544272136068
2167.6840341652332,1.0925462731365683
2169.4299859805174,1.0925462731365683
2171.1773440652087,1.0855427713856929
2172.9261095519805,1.0845422711355677
2174.676283574421,1.0870435217608805
2176.4278672670252,1.0855427713856929
2178.1808617652077,1.0870435217608805
2179.935268205296,1.0835417708854427
2181.6910877245327,1.0860430215107553
2183.448321461076,1.0875437718859429
2185.2069705540016,1.0900450225112557
2186.9670361433023,1.0865432716358179
2188.7285193698885,1.0870435217608805
2190.4914213755906,1.0865432716358179
2192.2557433031575,1.0835417708854427
2194.02148629626,1.0795397698849425
2195.788651499491,1.0795397698849425
2197.557240058359,1.0765382691345673
2199.3272531193024,1.0805402701350675
2201.09869182968,1.080040020010005
2202.871557337775,1.078039019509755
2204.645850792795,1.0775387693846923
2206.421573344875,1.078039019509755
2208.198726145074,1.0765382691345673
2209.9773103453795,1.078039019509755
2211.757327098707,1.080040020010005
2213.5387775588997,1.0840420210105053
