Wavelength,Scale_Factor_50
2000.0000000000002,1.0570285142571285
2001.6108914286087,1.0525262631315657
2003.2230803428147,1.0430215107553777
2004.836567787672,1.0520260130065033
2006.4513548090772,1.0215107553776888
2008.067442453768,1.0495247623811905
2009.6848317693264,1.0510255127563781
2011.3035238041791,1.0285142571285644
2012.9235196075924,1.0275137568784392
2014.5448202296825,1.0515257628814407
2016.1674267214103,1.0565282641320661
2017.791340134583,1.0525262631315657
2019.4165615218544,1.0510255127563781
2021.0430919367273,1.055527763881941
2022.670932433552,1.0450225112556277
2024.3000840675284,1.054527263631816
2025.9305478947063,1.0570285142571285
2027.562324971986,1.0525262631315657
2029.1954163571195,1.048024012006003
2030.8298231087122,1.0440220110055027
2032.4655462862165,1.0430215107553777
2034.1025869499438,1.0415207603801901
2035.7409461610578,1.0330165082541272
2037.3806249815768,1.0440220110055027
2039.0216244743747,1.040520260130065
2040.6639457031813,1.0410205102551275
2042.3075897325832,1.0440220110055027
2043.9525576280244,1.0430215107553777
2045.598850455807,1.0165082541270636
2047.2464692830922,1.0390195097548773
2048.8954151779008,1.0355177588794398
2050.5456892091156,1.0490245122561281
2052.197292446474,1.0500250125062531
2053.850225960582,1.03951975987994
2055.5044908229047,1.0515257628814407
2057.160088105771,1.0440220110055027
2058.8170188823738,1.047023511755878
2060.475284226769,1.0485242621310655
2062.1348852138794,1.0490245122561281
2063.7958229194924,1.0490245122561281
2065.4580984202616,1.0415207603801901
2067.1217127937093,1.0475237618809405
2068.786667118224,1.0260130065032516
2070.4529624730667,1.0260130065032516
2072.1205999383587,1.0495247623811905
2073.7895805951007,1.0410205102551275
2075.45990552516,1.0540270135067533
2077.1315758112755,1.0520260130065033
2078.804592537059,1.0525262631315657
2080.478956786994,1.0490245122561281
2082.154669646438,1.0455227613806903
2083.8317322016233,1.0515257628814407
2085.510145539656,1.0510255127563781
2087.189910748519,1.055527763881941
2088.871028917071,1.0540270135067533
2090.5535011350485,1.0500250125062531
