log Sparks,Fraction_Core_Ni56/IGE,Fraction_Core_Ni56/IGE_lower_limit,Fraction_Core_Ni56/IGE_upper_limit
0.0,0.7330002080884472,0.5864001664707578,0.8796002497061367
0.013141717127919002,0.7321682651470762,0.585734612117661,0.8786019181764915
0.026283434255838005,0.7313415038558803,0.5850732030847042,0.8776098046270563
0.039425151383757004,0.7305199242148592,0.5844159393718874,0.876623909057831
0.05256686851167601,0.7297035262240132,0.5837628209792106,0.8756442314688159
0.06570858563959502,0.7288923098833422,0.5831138479066738,0.8746707718600106
0.07885030276751401,0.7280862751928462,0.5824690201542769,0.8737035302314154
0.09199201989543301,0.7272854221525251,0.5818283377220201,0.8727425065830301
0.10513373702335202,0.7264897507623791,0.5811918006099033,0.8717877009148549
0.11827545415127103,0.725699261022408,0.5805594088179264,0.8708391132268896
0.13141717127919003,0.7249139529326118,0.5799311623460895,0.8698967435191342
0.14455888840710904,0.7241338264929907,0.5793070611943926,0.8689605917915889
0.15770060553502802,0.7233588817035446,0.5786871053628356,0.8680306580442535
0.17084232266294702,0.7225891185642734,0.5780712948514187,0.8671069422771281
0.18398403979086603,0.7218245370751772,0.5774596296601419,0.8661894444902126
0.19712575691878503,0.7210651372362561,0.5768521097890049,0.8652781646835073
0.21026747404670404,0.7203109190475099,0.5762487352380079,0.8643731028570119
0.22340919117462305,0.7195618825089386,0.5756495060071509,0.8634742590107263
0.23655090830254205,0.7188180276205424,0.5750544220964339,0.8625816331446509
0.24969262543046106,0.7180793543823212,0.574463483505857,0.8616952252587854
0.26283434255838006,0.7173458627942749,0.57387669023542,0.8608150353531299
0.27597605968629907,0.7166175528564036,0.5732940422851229,0.8599410634276843
0.2891177768142181,0.7158944245687073,0.5727155396549659,0.8590733094824488
0.3022594939421371,0.715176477931186,0.5721411823449488,0.8582117735174232
0.31540121107005603,0.7144637129438397,0.5715709703550718,0.8573564555326076
0.32854292819797504,0.7137561296066683,0.5710049036853347,0.856507355528002
0.34168464532589404,0.713053727919672,0.5704429823357376,0.8556644735036064
0.35482636245381305,0.7123565078828507,0.5698852063062806,0.8548278094594207
0.36796807958173205,0.7116644694962042,0.5693315755969633,0.8539973633954451
0.38110979670965106,0.7109776127597328,0.5687820902077863,0.8531731353116794
0.39425151383757007,0.7102959376734365,0.5682367501387492,0.8523551252081237
0.4073932309654891,0.7096194442373149,0.567695555389852,0.8515433330847779
0.4205349480934081,0.7089481324513686,0.5671585059610948,0.8507377589416423
0.4336766652213271,0.708282002315597,0.5666256018524777,0.8499384027787164
0.4468183823492461,0.7076210538300006,0.5660968430640005,0.8491452645960007
0.4599600994771651,0.7069652869945791,0.5655722295956632,0.8483583443934949
0.4731018166050841,0.7063147018093325,0.565051761447466,0.847577642171199
0.4862435337330031,0.7056692982742611,0.5645354386194089,0.8468031579291132
0.4993852508609221,0.7050290763893645,0.5640232611114916,0.8460348916672374
0.5125269679888411,0.7043940361546429,0.5635152289237143,0.8452728433855715
0.5256686851167601,0.7037641775700963,0.5630113420560771,0.8445170130841156
0.5388104022446791,0.7031395006357248,0.5625116005085798,0.8437674007628698
0.5519521193725981,0.7025200053515281,0.5620160042812226,0.8430240064218337
0.5650938365005171,0.7019056917175066,0.5615245533740053,0.8422868300610079
0.5782355536284361,0.7012965597336599,0.561037247786928,0.8415558716803918
0.5913772707563552,0.7006926093999882,0.5605540875199906,0.8408311312799859
0.6045189878842742,0.7000938407164916,0.5600750725731933,0.8401126088597899
0.6176607050121932,0.6995002536831699,0.559600202946536,0.8394003044198038
0.6308024221401121,0.6989118483000232,0.5591294786400186,0.8386942179600277
0.6439441392680311,0.6983286245670515,0.5586628996536412,0.8379943494804617
0.6570858563959501,0.6977505824842548,0.5582004659874039,0.8373006989811057
0.6702275735238691,0.6971777220516331,0.5577421776413065,0.8366132664619597
0.6833692906517881,0.6966100432691863,0.557288034615349,0.8359320519230236
0.6965110077797071,0.6960475461369146,0.5568380369095317,0.8352570553642974
0.7096527249076261,0.6954902306548177,0.5563921845238542,0.8345882767857813
0.7227944420355451,0.6949380968228959,0.5559504774583167,0.833925716187475
0.7359361591634641,0.694391144641149,0.5555129157129193,0.8332693735693788
0.7490778762913831,0.6938493741095773,0.5550794992876619,0.8326192489314926
0.7622195934193021,0.6933127852281804,0.5546502281825444,0.8319753422738164
0.7753613105472211,0.6927813779969585,0.5542251023975668,0.8313376535963501
0.7885030276751401,0.6922551524159116,0.5538041219327293,0.8307061828990939
