log Total_Ejecta_Mass_(solmass),Rise_Time_(d),Rise_Time_(d)_lower_limit,Rise_Time_(d)_upper_limit
-1.1072220317709058,7.941975082320388,7.14777757408835,11.912962623480581
-1.094397188028457,8.014443045173525,7.212998740656173,12.021664567760288
-1.0815723442860083,8.087085758824497,7.278377182942047,12.130628638236745
-1.0687475005435596,8.1599032232733,7.343912900945971,12.23985483490995
-1.0559226568011109,8.23289543851994,7.409605894667946,12.34934315777991
-1.0430978130586623,8.306062404564411,7.47545616410797,12.459093606846617
-1.0302729693162136,8.379404121406719,7.541463709266047,12.569106182110078
-1.0174481255737648,8.45292058904686,7.607628530142174,12.679380883570289
-1.004623281831316,8.526611807484835,7.673950626736352,12.789917711227254
-0.9917984380888674,8.600477776720645,7.7404299990485805,12.900716665080967
-0.9789735943464186,8.674518496754288,7.80706664707886,13.011777745131432
-0.9661487506039699,8.748733967585764,7.873860570827188,13.123100951378646
-0.9533239068615211,8.823124189215076,7.9408117702935686,13.234686283822613
-0.9404990631190725,8.897689161642221,8.007920245478,13.346533742463333
-0.9276742193766238,8.9724288848672,8.075185996380482,13.458643327300802
-0.914849375634175,9.047343358890014,8.142609023001013,13.571015038335021
-0.9020245318917264,9.122432583710662,8.210189325339597,13.683648875565993
-0.8891996881492776,9.197696559329142,8.277926903396228,13.796544838993713
-0.8763748444068289,9.273135285745457,8.345821757170912,13.909702928618186
-0.8635500006643801,9.348748762959609,8.413873886663648,14.023123144439413
-0.8507251569219314,9.424536990971593,8.482083291874433,14.136805486457389
-0.8379003131794827,9.500499969781409,8.550449972803268,14.250749954672113
-0.825075469437034,9.57663769938906,8.618973929450155,14.36495654908359
-0.8122506256945853,9.652950179794548,8.687655161815094,14.479425269691822
-0.7994257819521365,9.729437410997868,8.75649366989808,14.594156116496801
-0.7866009382096879,9.80609939299902,8.825489453699118,14.70914908949853
-0.7737760944672392,9.882936125798008,8.894642513218207,14.824404188697011
-0.7609512507247904,9.959947609394831,8.963952848455348,14.939921414092247
-0.7481264069823417,10.037133843789487,9.03342045941054,15.05570076568423
-0.7353015632398929,10.114494828981977,9.10304534608378,15.171742243472966
-0.7224767194974442,10.1920305649723,9.172827508475072,15.288045847458452
-0.7096518757549956,10.269741051760459,9.242766946584414,15.404611577640688
-0.6968270320125468,10.34762628934645,9.312863660411805,15.521439434019676
-0.6840021882700981,10.425686277730279,9.383117649957251,15.638529416595418
-0.6711773445276494,10.503921016911939,9.453528915220746,15.755881525367908
-0.6583525007852007,10.58233050689143,9.524097456202288,15.873495760337146
-0.645527657042752,10.66091474766876,9.594823272901884,15.99137212150314
-0.6327028133003032,10.739673739243923,9.665706365319531,16.109510608865882
-0.6198779695578545,10.81860748161692,9.73674673345523,16.22791122242538
-0.6070531258154058,10.89771597478775,9.807944377308976,16.346573962181626
-0.5942282820729571,10.976999218756415,9.879299296880774,16.46549882813462
-0.5814034383305083,11.056457213522915,9.950811492170624,16.58468582028437
-0.5685785945880596,11.136089959087247,10.022480963178523,16.704134938630872
-0.5557537508456108,11.215897455449413,10.094307709904472,16.82384618317412
-0.5429289071031622,11.295879702609414,10.166291732348473,16.94381955391412
-0.5301040633607135,11.37603670056725,10.238433030510524,17.064055050850875
-0.5172792196182647,11.456368449322918,10.310731604390627,17.184552673984378
-0.504454375875816,11.536874948876422,10.38318745398878,17.305312423314632
-0.49162953213336724,11.617556199227758,10.455800579304983,17.42633429884164
-0.4788046883909186,11.698412200376929,10.528570980339236,17.547618300565393
-0.46597984464846987,11.779442952323935,10.601498657091541,17.669164428485903
-0.4531550009060211,11.860648455068773,10.674583609561896,17.79097268260316
-0.4403301571635724,11.942028708611447,10.747825837750304,17.913043062917172
-0.42750531342112374,12.023583712951954,10.821225341656758,18.03537556942793
-0.414680469678675,12.105313468090296,10.894782121281267,18.157970202135445
-0.40185562593622626,12.18721797402647,10.968496176623823,18.280826961039708
-0.3890307821937775,12.26929723076048,11.042367507684434,18.403945846140722
-0.37620593845132877,12.351551238292325,11.116396114463093,18.52732685743849
-0.36338109470888014,12.433979996622002,11.190581996959802,18.650969994933003
-0.3505562509664314,12.516583505749514,11.264925155174563,18.77487525862427
-0.33773140722398265,12.59936176567486,11.339425589107375,18.899042648512292
-0.3249065634815339,12.682314776398039,11.414083298758236,19.02347216459706
-0.3120817197390853,12.765442537919053,11.48889828412715,19.14816380687858
-0.29925687599663653,12.8487450502379,11.56387054521411,19.27311757535685
-0.2864320322541878,12.932222313354583,11.639000082019125,19.398333470031872
-0.27360718851173904,13.015874327269099,11.71428689454219,19.523811490903647
-0.2607823447692903,13.09970109198145,11.789730982783304,19.649551637972174
-0.24795750102684166,13.183702607491632,11.86533234674247,19.77555391123745
-0.23513265728439292,13.267878873799651,11.941090986419686,19.901818310699475
-0.22230781354194418,13.352229890905503,12.017006901814954,20.028344836358254
-0.20948296979949543,13.43675565880919,12.093080092928272,20.155133488213785
-0.1966581260570468,13.521456177510709,12.169310559759639,20.282184266266064
-0.18383328231459806,13.606331447010064,12.245698302309057,20.409497170515095
-0.1710084385721493,13.691381467307252,12.322243320576527,20.53707220096088
-0.15818359482970057,13.776606238402275,12.398945614562047,20.664909357603413
-0.14535875108725183,13.862005760295132,12.475805184265619,20.793008640442697
-0.1325339073448032,13.94758003298582,12.552822029687238,20.921370049478732
-0.11970906360235445,14.033329056474345,12.62999615082691,21.04999358471152
-0.10688421985990582,14.119252830760704,12.707327547684635,21.178879246141058
-0.09405937611745707,14.205351355844897,12.784816220260408,21.308027033767345
-0.08123453237500833,14.291624631726924,12.86246216855423,21.437436947590385
-0.06840968863255958,14.378072658406785,12.940265392566106,21.567108987610176
-0.05558484489011084,14.46469543588448,13.018225892296032,21.69704315382672
-0.0427600011476621,14.551492964160008,13.096343667744009,21.827239446240014
-0.029935157405213353,14.638465243233371,13.174618718910034,21.957697864850058
-0.01711031366276461,14.72561227310457,13.253051045794113,22.088418409656853
-0.004285469920315865,14.812934053773601,13.331640648396242,22.2194010806604
0.008539373822132656,14.900430585240464,13.410387526716418,22.350645877860696
0.0213642175645814,14.988101867505163,13.489291680754647,22.482152801257744
0.034189061307030144,15.075947900567696,13.568353110510927,22.613921850851543
0.04701390504947889,15.163968684428065,13.647571815985259,22.7459530266421
0.05983874879192763,15.252164219086266,13.72694779717764,22.878246328629398
0.07266359253437638,15.340534504542301,13.80648105408807,23.01080175681345
0.08548843627682512,15.42907954079617,13.886171586716554,23.143619311194257
0.09831328001927386,15.517799327847875,13.966019395063087,23.276698991771813
0.11113812376172261,15.606693865697412,14.046024479127672,23.41004079854612
0.12396296750417135,15.695763154344784,14.126186838910305,23.543644731517176
0.13678781124661987,15.785007193789989,14.20650647441099,23.677510790684984
0.14961265498906862,15.874425984033028,14.286983385629725,23.811638976049544
0.1624374987315174,15.964019525073901,14.36761757256651,23.946029287610852
