log Sparks,velocity,velocity_lower_limit,velocity_upper_limit
0.0,6399.84041380107,4479.888289660748,8319.792537941392
0.07624681270857543,6547.024169904703,4582.9169189332915,8511.131420876114
0.14108537255885686,6672.185897196699,4670.530128037689,8673.84166635571
0.19748940375691165,6781.065952325646,4746.746166627952,8815.38573802334
0.24740285408874454,6877.416853287373,4814.1917973011605,8940.641909273585
0.2921665353326761,6963.826848780425,4874.678794146297,9052.974903414553
0.3327444088411878,7042.1567307193345,4929.509711503534,9154.803749935136
0.3698527902933498,7113.789245850571,4979.652472095399,9247.926019605742
0.40403852688348824,7179.780005828136,5025.846004079695,9333.714007576578
0.43572856956143735,7240.953179456421,5068.667225619494,9413.239133293348
0.4652626481589979,7297.964567429626,5108.575197200738,9487.353937658514
0.49291552190289434,7351.3445538199085,5145.941187673936,9556.747919965881
0.5189125580627362,7401.52817846783,5181.069724927481,9621.98663200818
0.5434409041952267,7448.876703429633,5214.213692400743,9683.539714458524
0.5666576698589247,7493.693406627728,5245.585384639409,9741.801428616047
0.5886960297699808,7536.235363135087,5275.36475419456,9797.105972075613
0.6096698515435596,7576.722378379677,5303.7056648657735,9849.73909189358
0.629677256364124,7615.343861518019,5330.740703062614,9899.947019973426
0.6488033948702886,7652.264183890774,5356.584928723541,9947.943439058006
0.6671226370840241,7687.626906373291,5381.338834461303,9993.914978285278
0.6847003188170133,7721.558150567642,5405.090705397349,10038.025595737934
0.7015941481621676,7754.169313836816,5427.918519685772,10080.420107987862
0.7178553484963927,7785.559275710931,5449.891492997651,10121.22705842421
0.7335295950952201,7815.816205890133,5471.071344123093,10160.561067657172
0.7486577885251263,7845.019057169782,5491.513340018847,10198.524774320716
0.7632766978004236,7873.238806964446,5511.267164875112,10235.21044905378
0.7774194987667127,7900.539496581474,5530.377647607032,10270.701345555917
0.7911162275480113,7926.979106536966,5548.885374575876,10305.072838498056
0.8043941646465844,7952.610298006508,5566.827208604555,10338.393387408461
0.8172781620453056,7977.481044250304,5584.236730975213,10370.725357525396
0.8297909231702731,8001.6351710416675,5601.144619729167,10402.125722354169
0.8419532436379613,8025.112821395556,5617.578974976889,10432.646667814224
0.8537842191993494,8047.950856975496,5633.565599882847,10462.336114068145
0.8653014261025438,8070.183206258263,5649.128244380784,10491.238168135742
0.8765210781507429,8091.841167712226,5664.2888173985575,10519.393518025894
0.88745816397814,8112.953674789168,5679.067572352417,10546.83977722592
0.8981265674603934,8133.547528359792,5693.483269851854,10573.61178686773
0.9085391736866135,8153.647601277735,5707.553320894414,10599.741881661055
0.9187079625218908,8173.277018988889,5721.293913292222,10625.260124685556
0.9286440914643317,8192.45731947526,5734.720123632681,10650.194515317837
0.9383579692336924,8211.208595307478,5747.846016715234,10674.571173899722
0.9478593213085527,8229.549620155114,5760.6847341085795,10698.414506201649
0.9571572484465422,8247.497961751737,5773.248573226215,10721.747350277257
0.9662602790703004,8265.070083018656,5785.549058113059,10744.591107924254
0.9751764162749679,8282.281432806274,5797.597002964391,10766.965862648156
0.9839131801065452,8299.146527506518,5809.402569254563,10788.890485758475
0.992477645670802,8315.679024616731,5820.975317231711,10810.382732001752
1.0008764775566288,8331.891789189118,5832.324252432382,10831.459325945854
1.009115960993451,8347.796953975747,5843.457867783022,10852.13604016847
1.0172020301076223,8363.405973973557,5854.384181781489,10872.427766165623
