log Sparks,Fraction_Core_burned,Fraction_Core_burned_lower_limit,Fraction_Core_burned_upper_limit
0.0,0.6606115690190862,0.528489255215269,0.7927338828229035
0.013141717127919002,0.6628086711935681,0.5302469369548545,0.7953704054322818
0.026283434255838005,0.6649511566055515,0.5319609252844412,0.7979413879266618
0.039425151383757004,0.6670390252550363,0.5336312202040291,0.8004468303060436
0.05256686851167601,0.6690722771420227,0.5352578217136181,0.8028867325704272
0.06570858563959502,0.6710509122665105,0.5368407298132084,0.8052610947198126
0.07885030276751401,0.6729749306284999,0.5383799445027999,0.8075699167541999
0.09199201989543301,0.6748443322279907,0.5398754657823925,0.8098131986735888
0.10513373702335202,0.6766591170649829,0.5413272936519864,0.8119909404779795
0.11827545415127103,0.6784192851394767,0.5427354281115814,0.814103142167372
0.13141717127919003,0.6801248364514719,0.5440998691611776,0.8161498037417663
0.14455888840710904,0.6817757710009686,0.5454206168007749,0.8181309252011624
0.15770060553502802,0.6833720887879668,0.5466976710303735,0.8200465065455602
0.17084232266294702,0.6849137898124665,0.5479310318499733,0.8218965477749598
0.18398403979086603,0.6864008740744677,0.5491206992595742,0.8236810488893612
0.19712575691878503,0.6878333415739704,0.5502666732591763,0.8254000098887644
0.21026747404670404,0.6892111923109745,0.5513689538487796,0.8270534307731694
0.22340919117462305,0.69053442628548,0.552427541028384,0.828641311542576
0.23655090830254205,0.6918030434974871,0.5534424347979897,0.8301636521969845
0.24969262543046106,0.6930170439469957,0.5544136351575966,0.8316204527363948
0.26283434255838006,0.6941764276340058,0.5553411421072046,0.8330117131608069
0.27597605968629907,0.6952811945585173,0.5562249556468138,0.8343374334702208
0.2891177768142181,0.6963313447205304,0.5570650757764243,0.8355976136646365
0.3022594939421371,0.6973268781200449,0.5578615024960359,0.8367922537440539
0.31540121107005603,0.6982677947570609,0.5586142358056487,0.8379213537084731
0.32854292819797504,0.6991540946315784,0.5593232757052627,0.8389849135578941
