log Total_Ejecta_Mass_(solmass),log KE_(erg),log KE_(erg)_lower_limit,log KE_(erg)_upper_limit
-1.1072220317709058,49.13394466541618,48.97904270543044,49.247888017723014
-1.094397188028457,49.15371655075465,48.99881459076891,49.267659903061485
-1.0815723442860083,49.17343811208733,49.01853615210159,49.287381464394166
-1.0687475005435596,49.193109349414236,49.03820738942849,49.30705270172107
-1.0559226568011109,49.212730262735356,49.05782830274961,49.32667361504219
-1.0430978130586623,49.23230085205069,49.07739889206495,49.346244204357525
-1.0302729693162136,49.25182111736024,49.096919157374494,49.36576446966707
-1.0174481255737648,49.271291058664005,49.11638909867826,49.38523441097084
-1.004623281831316,49.29071067596199,49.135808715976246,49.40465402826882
-0.9917984380888674,49.31007996925419,49.15517800926845,49.42402332156102
-0.9789735943464186,49.329398938540606,49.17449697855486,49.44334229084744
-0.9661487506039699,49.34866758382124,49.193765623835496,49.46261093612807
-0.9533239068615211,49.36788590509609,49.212983945110345,49.48182925740292
-0.9404990631190725,49.38705390236516,49.23215194237942,49.500997254671994
-0.9276742193766238,49.40617157562844,49.2512696156427,49.520114927935275
-0.914849375634175,49.42523892488594,49.270336964900196,49.53918227719277
-0.9020245318917264,49.44425595013765,49.28935399015191,49.558199302444486
-0.8891996881492776,49.46322265138358,49.30832069139784,49.577166003690415
-0.8763748444068289,49.482139028623735,49.32723706863799,49.59608238093057
-0.8635500006643801,49.501005081858096,49.34610312187235,49.61494843416493
-0.8507251569219314,49.51982081108668,49.36491885110094,49.633764163393515
-0.8379003131794827,49.538586216309476,49.38368425632373,49.65252956861631
-0.825075469437034,49.557301297526486,49.40239933754074,49.67124464983332
-0.8122506256945853,49.57596605473772,49.421064094751976,49.68990940704455
-0.7994257819521365,49.59458048794316,49.43967852795742,49.708523840249995
-0.7866009382096879,49.61314459714283,49.458242637157085,49.72708794944966
-0.7737760944672392,49.63165838233671,49.47675642235097,49.74560173464354
-0.7609512507247904,49.6501218435248,49.49521988353906,49.764065195831634
-0.7481264069823417,49.668534980707115,49.51363302072137,49.78247833301395
-0.7353015632398929,49.686897793883645,49.5319958338979,49.80084114619048
-0.7224767194974442,49.705210283054384,49.55030832306864,49.81915363536122
-0.7096518757549956,49.72347244821935,49.568570488233604,49.83741580052618
-0.6968270320125468,49.741684289378526,49.58678232939278,49.85562764168536
