log Sparks,log Total_Ejecta_Mass_(solmass),log Total_Ejecta_Mass_(solmass)_lower_limit,log Total_Ejecta_Mass_(solmass)_upper_limit
0.0,-1.110971966808873,-1.2078819798169294,-0.8099419711448916
0.013141717127919002,-1.0984134606740836,-1.19532347368214,-0.7973834650101024
0.026283434255838005,-1.085897737029302,-1.1828077500373584,-0.7848677413653207
0.039425151383757004,-1.073424795874528,-1.1703348088825845,-0.7723948002105467
0.05256686851167601,-1.0609946372097616,-1.157904650217818,-0.7599646415457804
0.06570858563959502,-1.0486072610350032,-1.1455172740430597,-0.747577265371022
0.07885030276751401,-1.0362626673502524,-1.1331726803583089,-0.7352326716862712
0.09199201989543301,-1.0239608561555091,-1.1208708691635656,-0.7229308604915279
0.10513373702335202,-1.0117018274507739,-1.1086118404588303,-0.7106718317867926
0.11827545415127103,-0.999485581236046,-1.0963955942441024,-0.6984555855720649
0.13141717127919003,-0.987312117511326,-1.0842221305193824,-0.6862821218473447
0.14455888840710904,-0.9751814362766137,-1.07209144928467,-0.6741514406126325
0.15770060553502802,-0.9630935375319092,-1.0600035505399656,-0.6620635418679279
0.17084232266294702,-0.9510484212772123,-1.0479584342852688,-0.6500184256132311
0.18398403979086603,-0.939046087512523,-1.0359561005205795,-0.6380160918485418
0.19712575691878503,-0.9270865362378415,-1.023996549245898,-0.6260565405738603
0.21026747404670404,-0.9151697674531678,-1.0120797804612243,-0.6141397717891866
0.22340919117462305,-0.9032957811585018,-1.0002057941665583,-0.6022657854945206
0.23655090830254205,-0.8914645773538434,-0.9883745903618998,-0.5904345816898622
0.24969262543046106,-0.8796761560391928,-0.9765861690472492,-0.5786461603752115
0.26283434255838006,-0.8679305172145498,-0.9648405302226062,-0.5669005215505687
0.27597605968629907,-0.8562276608799145,-0.9531376738879709,-0.5551976652159334
0.2891177768142181,-0.8445675870352871,-0.9414776000433435,-0.5435375913713059
0.3022594939421371,-0.8329502956806671,-0.9298603086887235,-0.5319203000166859
0.31540121107005603,-0.8213757868160552,-0.9182857998241115,-0.5203457911520739
0.32854292819797504,-0.8098440604414507,-0.9067540734495071,-0.5088140647774695
0.34168464532589404,-0.798355116556854,-0.8952651295649103,-0.4973251208928728
0.35482636245381305,-0.786908955162265,-0.8838189681703214,-0.4858789594982838
0.36796807958173205,-0.7755055762576837,-0.87241558926574,-0.4744755805937025
0.38110979670965106,-0.7641449798431101,-0.8610549928511665,-0.46311498417912894
0.39425151383757007,-0.7528271659185442,-0.8497371789266005,-0.45179717025456295
0.4073932309654891,-0.741552134483986,-0.8384621474920424,-0.44052213882000485
0.4205349480934081,-0.7303198855394356,-0.827229898547492,-0.4292898898754544
0.4336766652213271,-0.7191304190848928,-0.8160404320929492,-0.41810042342091164
0.4468183823492461,-0.7079837351203577,-0.8048937481284141,-0.40695373945637653
0.4599600994771651,-0.6968798336458304,-0.7937898466538867,-0.3958498379818492
0.4731018166050841,-0.6858187146613108,-0.7827287276693672,-0.38478871899732964
0.4862435337330031,-0.6748003781667988,-0.7717103911748552,-0.37377038250281763
0.4993852508609221,-0.6638248241622946,-0.760734837170351,-0.3627948284983134
0.5125269679888411,-0.652892052647798,-0.7498020656558544,-0.35186205698381684
0.5256686851167601,-0.6420020636233092,-0.7389120766313656,-0.34097206795932805
0.5388104022446791,-0.6311548570888281,-0.7280648700968845,-0.3301248614248469
0.5519521193725981,-0.6203504330443548,-0.7172604460524111,-0.3193204373803736
0.5650938365005171,-0.609588791489889,-0.7064988044979453,-0.3085587958259078
0.5782355536284361,-0.598869932425431,-0.6957799454334873,-0.29783993676144976
0.5913772707563552,-0.5881938558509807,-0.6851038688590371,-0.2871638601869995
0.6045189878842742,-0.5775605617665381,-0.6744705747745945,-0.27653056610255694
0.6176607050121932,-0.5669700501721033,-0.6638800631801597,-0.26594005450812214
0.6308024221401121,-0.5564223210676762,-0.6533323340757325,-0.255392325403695
0.6439441392680311,-0.5459173744532567,-0.6428273874613131,-0.24488737878927552
0.6570858563959501,-0.535455210328845,-0.6323652233369014,-0.23442521466486382
0.6702275735238691,-0.525035828694441,-0.6219458417024973,-0.2240058330304598
0.6833692906517881,-0.5146592295500446,-0.611569242558101,-0.21362923388606342
0.6965110077797071,-0.5043254128956559,-0.6012354259037123,-0.2032954172316747
0.7096527249076261,-0.494034378731275,-0.5909443917393313,-0.19300438306729378
0.7227944420355451,-0.4837861270569018,-0.5806961400649582,-0.18275613139292063
0.7359361591634641,-0.4735806578725362,-0.5704906708805926,-0.17255066220855503
0.7490778762913831,-0.4634179711781784,-0.5603279841862348,-0.1623879755141972
0.7622195934193021,-0.45329806697382835,-0.5502080799818847,-0.15226807130984715
0.7753613105472211,-0.44322094525948585,-0.5401309582675422,-0.14219094959550466
0.7885030276751401,-0.43318660603515124,-0.5300966190432076,-0.13215661037117005
0.8016447448030591,-0.4231950493008243,-0.5201050623088807,-0.1221650536368431
0.8147864619309781,-0.413246275056505,-0.5101562880645614,-0.11221627939252382
0.8279281790588972,-0.4033402833021934,-0.5002502963102498,-0.1023102876382122
0.8410698961868162,-0.39347707403788945,-0.49038708704594586,-0.09244707837390825
0.8542116133147352,-0.3836566472635934,-0.4805666602716498,-0.08262665159961219
0.8673533304426542,-0.3738790029793049,-0.4707890159873613,-0.07284900731532368
0.8804950475705732,-0.36414414118502414,-0.46105415419308055,-0.06311414552104294
0.8936367646984922,-0.35445206188075107,-0.4513620748888075,-0.05342206621676987
0.9067784818264112,-0.3448027650664858,-0.4417127780745422,-0.043772769402504574
0.9199201989543302,-0.33519625074222814,-0.43210626375028455,-0.03416625507824694
0.9330619160822492,-0.3256325189079782,-0.4225425319160346,-0.024602523243996977
0.9462036332101682,-0.316111569563736,-0.4130215825717924,-0.015081573899754785
0.9593453503380872,-0.30663340270950146,-0.40354341571755786,-0.005603407045520259
0.9724870674660062,-0.2971980183452747,-0.3941080313533311,0.003831977318706492
0.9856287845939252,-0.2878054164710556,-0.384715429479112,0.013224579192925578
0.9987705017218442,-0.2784555970868442,-0.3753656100949006,0.022574398577137
1.0119122188497631,-0.26914856019264055,-0.36605857320069696,0.03188143547134065
1.0250539359776822,-0.25988430578844457,-0.356794318796501,0.04114568987553663
1.0381956531056011,-0.25066283387425625,-0.34757284688231266,0.050367161789724946
1.0513373702335203,-0.2414841444500757,-0.3383941574581321,0.05954585121390549
1.0644790873614391,-0.23234823751590283,-0.32925825052395924,0.06868175814807836
1.0776208044893583,-0.22325511307173762,-0.320165126079794,0.07777488259224358
1.0907625216172772,-0.2142047711175804,-0.3111147841256368,0.08682522454640079
1.1039042387451963,-0.20519721165343052,-0.30210722466148693,0.09583278401055068
1.1170459558731152,-0.19623243467928853,-0.29314244768734493,0.10479756098469267
1.1301876730010343,-0.18731044019515408,-0.2842204532032105,0.11371955546882712
1.1433293901289532,-0.17843122820102753,-0.27534124120908393,0.12259876746295367
1.1564711072568723,-0.16959479869690863,-0.26650481170496504,0.13143519696707257
1.1696128243847912,-0.1608011516827974,-0.2577111646908538,0.1402288439811838
1.1827545415127103,-0.15205028715869384,-0.24896030016675025,0.14627877174356654
1.1958962586406292,-0.14334220512459805,-0.24025221813265446,0.14627877174356654
1.2090379757685483,-0.13467690558050993,-0.23158691858856634,0.14627877174356654
1.2221796928964672,-0.1260543885264297,-0.2229644015344861,0.14627877174356654
1.2353214100243863,-0.1174746539623569,-0.2143846669704133,0.14627877174356654
1.2484631271523052,-0.108937701888292,-0.2058477148963484,0.14627877174356654
1.2616048442802241,-0.10044353230423475,-0.19735354531229116,0.14627877174356654
1.2747465614081432,-0.09199214521018506,-0.18890215821824147,0.14627877174356654
1.2878882785360621,-0.08358354060614337,-0.18049355361419978,0.14627877174356654
1.3010299956639813,-0.07521771849210923,-0.17212773150016564,0.14627877174356654
