log Sparks,Fraction_Core_IGE/burned,Fraction_Core_IGE/burned_lower_limit,Fraction_Core_IGE/burned_upper_limit
0.0,0.8379959226384328,0.6703967381107463,0.9217955149022762
0.013141717127919002,0.8384675034084857,0.6707740027267887,0.9223142537493344
0.026283434255838005,0.8389175032525714,0.6711340026020571,0.9228092535778286
0.039425151383757004,0.8393459221706896,0.6714767377365517,0.9232805143877586
0.05256686851167601,0.8397527601628405,0.6718022081302725,0.9237280361791246
0.06570858563959502,0.8401380172290239,0.6721104137832192,0.9241518189519264
0.07885030276751401,0.8405016933692401,0.6724013546953921,0.9245518627061642
0.09199201989543301,0.8408437885834887,0.672675030866791,0.9249281674418377
0.10513373702335202,0.8411643028717701,0.6729314422974162,0.9252807331589472
0.11827545415127103,0.841463236234084,0.6731705889872672,0.9256095598574925
0.13141717127919003,0.8417405886704307,0.6733924709363446,0.9259146475374738
0.14455888840710904,0.8419963601808098,0.6735970881446479,0.9261959961988908
0.15770060553502802,0.8422305507652217,0.6737844406121773,0.926453605841744
0.17084232266294702,0.8424431604236662,0.673954528338933,0.9266874764660329
0.18398403979086603,0.8426341891561432,0.6741073513249146,0.9268976080717576
0.19712575691878503,0.8428036369626529,0.6742429095701223,0.9270840006589183
0.21026747404670404,0.8429515038431952,0.6743612030745562,0.9272466542275147
0.22340919117462305,0.8430777897977701,0.6744622318382162,0.9273855687775472
0.23655090830254205,0.8431824948263776,0.6745459958611022,0.9275007443090155
0.24969262543046106,0.8432656189290179,0.6746124951432143,0.9275921808219197
0.26283434255838006,0.8433271621056907,0.6746617296845526,0.9276598783162598
0.27597605968629907,0.843367124356396,0.6746936994851169,0.9277038367920357
0.2891177768142181,0.8433855056811341,0.6747084045449073,0.9277240562492476
0.3022594939421371,0.8433823060799047,0.6747058448639238,0.9277205366878952
0.31540121107005603,0.843357525552708,0.6746860204421665,0.927693278107979
0.32854292819797504,0.843311164099544,0.6746489312796352,0.9276422805094985
0.34168464532589404,0.8432432217204124,0.67459457737633,0.9275675438924538
0.35482636245381305,0.8431536984153136,0.674522958732251,0.927469068256845
0.36796807958173205,0.8430425941842474,0.674434075347398,0.9273468536026722
0.38110979670965106,0.8429099090272137,0.674327927221771,0.9272008999299352
0.39425151383757007,0.8427556429442128,0.6742045143553703,0.9270312072386342
0.4073932309654891,0.8425797959352445,0.6740638367481956,0.926837775528769
0.4205349480934081,0.8423823680003086,0.673905894400247,0.9266206048003396
0.4336766652213271,0.8421633591394055,0.6737306873115245,0.9263796950533462
0.4468183823492461,0.8419227693525351,0.6735382154820281,0.9261150462877886
0.4599600994771651,0.8416605986396971,0.6733284789117577,0.9258266585036669
0.4731018166050841,0.8413768470008919,0.6731014776007136,0.9255145317009812
0.4862435337330031,0.8410715144361193,0.6728572115488954,0.9251786658797313
0.4993852508609221,0.8407446009453793,0.6725956807563035,0.9248190610399173
0.5125269679888411,0.8403961065286718,0.6723168852229375,0.924435717181539
0.5256686851167601,0.8400260311859971,0.6720208249487977,0.9240286343045968
0.5388104022446791,0.8396343749173549,0.671707499933884,0.9235978124090904
0.5519521193725981,0.8392211377227454,0.6713769101781963,0.9231432514950201
0.5650938365005171,0.8387863196021684,0.6710290556817348,0.9226649515623854
0.5782355536284361,0.8383299205556242,0.6706639364444994,0.9221629126111867
0.5913772707563552,0.8378519405831125,0.67028155246649,0.9216371346414238
0.6045189878842742,0.8373523796846335,0.6698819037477068,0.9210876176530969
0.6176607050121932,0.8368312378601871,0.6694649902881498,0.9205143616462059
0.6308024221401121,0.8362885151097732,0.6690308120878186,0.9199173666207506
0.6439441392680311,0.835724211433392,0.6685793691467137,0.9192966325767313
0.6570858563959501,0.8351383268310435,0.6681106614648349,0.9186521595141479
0.6702275735238691,0.8345308613027276,0.6676246890421821,0.9179839474330004
0.6833692906517881,0.8339018148484443,0.6671214518787555,0.9172919963332887
0.6965110077797071,0.8332511874681936,0.6666009499745549,0.9165763062150131
0.7096527249076261,0.8325789791619754,0.6660631833295804,0.9158368770781731
0.7227944420355451,0.83188518992979,0.6655081519438321,0.9150737089227691
0.7359361591634641,0.8311698197716372,0.6649358558173097,0.914286801748801
0.7490778762913831,0.830432868687517,0.6643462949500136,0.9134761555562687
0.7622195934193021,0.8296743366774294,0.6637394693419436,0.9126417703451725
0.7753613105472211,0.8288942237413744,0.6631153789930996,0.911783646115512
0.7885030276751401,0.8280925298793521,0.6624740239034818,0.9109017828672874
0.8016447448030591,0.8272692550913624,0.6618154040730899,0.9099961806004987
0.8147864619309781,0.8264243993774053,0.6611395195019243,0.9090668393151459
0.8279281790588972,0.8255579627374807,0.6604463701899846,0.9081137590112288
0.8410698961868162,0.8246699451715889,0.6597359561372711,0.9071369396887479
0.8542116133147352,0.8237603466797296,0.6590082773437838,0.9061363813477027
0.8673533304426542,0.822829167261903,0.6582633338095225,0.9051120839880934
0.8804950475705732,0.821876406918109,0.6575011255344873,0.90406404760992
0.8936367646984922,0.8209020656483477,0.6567216525186782,0.9029922722131825
0.9067784818264112,0.8199061434526189,0.6559249147620951,0.9018967577978809
0.9199201989543302,0.8188886403309228,0.6551109122647383,0.9007775043640152
0.9330619160822492,0.8178495562832593,0.6542796450266075,0.8996345119115853
0.9462036332101682,0.8167888913096284,0.6534311130477027,0.8984677804405913
0.9593453503380872,0.8157066454100301,0.6525653163280242,0.8972773099510332
0.9724870674660062,0.8146028185844645,0.6516822548675716,0.896063100442911
0.9856287845939252,0.8134774108329315,0.6507819286663452,0.8948251519162247
0.9987705017218442,0.812330422155431,0.6498643377243449,0.8935634643709742
1.0119122188497631,0.8111618525519633,0.6489294820415706,0.8922780378071596
1.0250539359776822,0.8099717020225281,0.6479773616180226,0.8909688722247809
1.0381956531056011,0.8087599705671256,0.6470079764537005,0.8896359676238382
