log Ni_mass,log Peak_Flux_(erg/s),log Peak_Flux_(erg/s)_lower_limit,log Peak_Flux_(erg/s)_upper_limit
-0.9089547803975757,42.49388636753843,42.448128876977755,42.60782971984526
-0.9040474459028315,42.49756762071963,42.451810130158954,42.61151097302646
-0.8991949431084194,42.5012077417197,42.45545025115903,42.61515109402654
-0.8943960602266507,42.504807639565186,42.45905014900451,42.61875099187202
-0.889649625202189,42.50836819347727,42.46261070291659,42.6223115457841
-0.8849545039938093,42.51189025416071,42.46613276360004,42.625833606467545
-0.8803095989480456,42.5153746450239,42.46961715446322,42.62931799733073
-0.8757138472588966,42.51882216333425,42.473064672773575,42.63276551564108
-0.871166219508176,42.52223358131323,42.476476090752556,42.636176933620064
-0.8666657182814995,42.52560964717453,42.47985215661385,42.63955299948136
-0.8622113768552494,42.52895108610906,42.483193595548386,42.642894438415894
-0.8578022579501944,42.532258601219944,42.48650111065927,42.64620195352678
-0.8534374525477444,42.53553287441047,42.489775383849796,42.649476226717304
-0.8491160787651018,42.53877456722793,42.49301707666726,42.652717919534766
-0.8448372807858268,42.54198432166586,42.49622683110518,42.65592767397269
-0.840600227842572,42.54516276092712,42.499405270366445,42.65910611323395
-0.836404113248964,42.54831049015017,42.5025529995895,42.662253842457005
-0.8322481534778062,42.55142809710052,42.505670606539844,42.66537144940735
-0.8281315872829741,42.554516152829464,42.50875866226879,42.6684595051363
-0.8240536748625347,42.55757521230186,42.51181772174119,42.6715185646087
-0.8200136970607946,42.560605814994744,42.51484832443407,42.67454916730158
-0.8160109546071207,42.56360848546827,42.5178509949076,42.677551837775106
-0.8120447673895193,42.56658373391071,42.52082624335004,42.680527086217545
-0.8081144737610868,42.56953205665867,42.523774566098,42.683475408965506
-0.8042194298775627,42.57245393669405,42.52669644613338,42.68639728900089
-0.8003590090643246,42.57534984411889,42.529592353558215,42.68929319642572
-0.7965326012112717,42.57822023660929,42.532462746048616,42.692163588916124
-0.7927396121941327,42.58106555984954,42.53530806928887,42.695008912156375
-0.7889794633208258,42.58388624794742,42.538128757386744,42.69782960025425
-0.7852515908015827,42.586682723831686,42.54092523327101,42.70062607613852
-0.7815554452416189,42.58945539963264,42.543697909071966,42.703398751939474
-0.7778904911552136,42.59220467704668,42.546447186486006,42.706148029353514
-0.7742562065001195,42.594930947685505,42.54917345712483,42.70887429999234
-0.7706520822312942,42.59763459341095,42.55187710285028,42.711577945717785
-0.7670776218729961,42.60031598665593,42.554558496095254,42.71425933896276
-0.7635323411083464,42.60297549073234,42.557218000171666,42.716918843039174
-0.7600157673855092,42.60561346012652,42.559855969565845,42.71955681243335
-0.7565274395396879,42.608230240782746,42.56247275022207,42.72217359308958
-0.7530669074301813,42.61082617037556,42.565068679814885,42.724769522682394
-0.7496337315917875,42.61340157857124,42.56764408801057,42.727344930878076
-0.746227482899876,42.61595678727904,42.570199296718364,42.72990013958587
