wl,mean_fe,max_fe,mean_fe_4000_6000,max_fe_4000_6000,mean_fe_6000_8000,max_fe_6000_8000,mean_fe_8000_10000,max_fe_8000_10000,mean_fe_10000_12000,max_fe_10000_12000,mean_fe_12000_14000,max_fe_12000_14000,mean_fe_14000_16000,max_fe_14000_16000,mean_fe_16000_18000,max_fe_16000_18000
5039.1584407753135,0.01603120609273688,0.10156726805991056,0.02016644381181515,0.10156726805991056,0.018602635048359385,0.08864080772071702,0.016940570199070432,0.09746375633364064,0.014529625698291002,0.09745534170088539,0.01313231116910139,0.08878735775805886,0.012371370081990232,0.05320177493762909,0.013884884705873785,0.056034257818004266
5044.686307508289,0.01589436303186817,0.1078070085021851,0.019784818385075426,0.1078070085021851,0.01826224831638781,0.09056054675415684,0.016797806683597528,0.09902459266563485,0.014536779050641989,0.07806842184597507,0.013129371774833205,0.08048906669643989,0.012224710024261797,0.051272843497978074,0.013811594002786688,0.059060134357063095
5050.220238212254,0.015814031123333502,0.1075709062038815,0.019628551568467767,0.1075709062038815,0.01794729801332851,0.08927091074356111,0.016696390548604792,0.09572606376806075,0.014594980571630512,0.07771186687935323,0.013155657629038111,0.08104985170261139,0.012174900059425838,0.05249771832709462,0.01388496987555376,0.05643169049029399
5055.760239539285,0.015778892428436,0.09848822183497612,0.019468230459251754,0.09848822183497612,0.017794071979462943,0.09009074097936567,0.01663279778826047,0.09211234730923662,0.014648909987813673,0.0765655460610505,0.013261662344810079,0.0769434089835791,0.012006707271273138,0.06124325747588355,0.014018828794779564,0.052579886501038536
5061.306318148738,0.01571459699678746,0.10463122612228831,0.019401148545008885,0.10426753091400993,0.017552879940776926,0.09073013899706278,0.01658249681289947,0.10463122612228831,0.014700859624341783,0.08439459316539559,0.013216955928079418,0.08991580496639394,0.011895311333110305,0.05978796625676545,0.013661195437593076,0.047453862566722446
5066.858480707292,0.015700893682100387,0.10669432125415586,0.01937887138258012,0.1017172315187657,0.017429897244412587,0.09220407563499326,0.01656803063694866,0.10669432125415586,0.014713163518406314,0.08510193206192136,0.013274061773631166,0.08296786156641876,0.011912904106635617,0.05983241614702806,0.013912710016192709,0.05257888949047632
5072.416733888921,0.015641325229820455,0.10979123019559708,0.019082039037240955,0.10094892361158081,0.017449921513058388,0.09979169596208298,0.016450189287735974,0.10979123019559708,0.014695613767106678,0.09325766769833733,0.01326961998720272,0.08078297123865608,0.011891643501005368,0.06098128809466106,0.013561627819637649,0.04991134933768398
5077.98108437494,0.015580951989352096,0.1116677969438931,0.019053875516861014,0.11070992345998118,0.017411459412265993,0.08891683952882792,0.016337694772121117,0.1116677969438931,0.014682184699736707,0.10500714009289314,0.013198660552026018,0.08676038160006097,0.011814992603055395,0.060695398740090785,0.013212485489910742,0.05022471997116303
5083.5515388539725,0.015558658715421666,0.12710612358339995,0.019115006007968133,0.12710612358339995,0.017413165463270826,0.0891545637981645,0.016351392643938555,0.0989437228914005,0.014646425766899143,0.10439804133474268,0.013097929763692423,0.0782224239991483,0.011704927206645056,0.05855290951999895,0.0131095759296069,0.044971586507263246
5089.128104022,0.015588448833435024,0.11633631277309636,0.018983214811746883,0.11633631277309636,0.017387846647890497,0.09041337644130372,0.01650098622685185,0.10269457474876852,0.014689035172158449,0.09730473098083088,0.013055907338483403,0.08198785643908,0.01170569742373997,0.06327383369238143,0.012958844916458037,0.04388514558636302
5094.710786582329,0.015539455318713903,0.11584685847840764,0.018640882397972427,0.11584685847840764,0.017462530055495577,0.10589693998200345,0.016387846503636335,0.09691615583914664,0.014680289691352435,0.09798620505705281,0.012969535735440357,0.07679020419974403,0.011921498039051164,0.06234840372832767,0.012843774306041484,0.04845120215259398
5100.299593245639,0.015570575107468152,0.12000040456743756,0.018536955901397166,0.12000040456743756,0.01762266780723014,0.0998281877586756,0.01642142684525951,0.10484022911465787,0.014645430205975777,0.10040400958489618,0.012957280376134464,0.07416894816130247,0.01209735512629092,0.06302649327492131,0.013297192295131276,0.04804406915687032
5105.894530729952,0.01557285039654699,0.1198106133450751,0.018500746593385315,0.1198106133450751,0.017604187458063882,0.11239200007376945,0.01644438589110942,0.11135774556432593,0.014648124112825168,0.1055095269822068,0.012975568020980925,0.07350015488514575,0.012044660113253095,0.05702292360811291,0.013523120800322206,0.04946603090507305
5111.49560576068,0.015510574472512506,0.11965398194208336,0.018487831527392574,0.11284530017402883,0.01759396552593675,0.11965398194208336,0.016447878150486813,0.10575448168399894,0.014490679341840573,0.09377924913378627,0.012868321646760706,0.07862892963452668,0.012029982203913808,0.06006635331037775,0.01301185027977352,0.04806690596605968
5117.1028250705895,0.015471668187493126,0.13266905966230408,0.01854427788715007,0.09963466591668041,0.01756559787727332,0.13266905966230408,0.01641543522920803,0.10467897000829965,0.014438287050967951,0.090666569276593,0.012790738556955374,0.08613907140529684,0.011946724775558474,0.06003953068179257,0.013109283286077883,0.05071500659499454
5122.716195399857,0.015488311849201523,0.13440305199404293,0.01862961415255529,0.09488583231733758,0.017643239384864003,0.13440305199404293,0.016371213675667805,0.09900632325862017,0.014481229279755226,0.09209252693781399,0.012727799283972642,0.09421350335667086,0.01208220140811269,0.06615550944611819,0.013133694551242922,0.04754629923791046
5128.3357234960295,0.015463952046026483,0.12427119290317244,0.018635451010214327,0.09334354727980972,0.017768173172062574,0.12427119290317244,0.016275105417861185,0.10801891472844041,0.014372452303383743,0.10044617192991734,0.012750164009626738,0.10726753979514916,0.012175637788684674,0.06052998899999337,0.012807118790664093,0.044000957180111475
5133.961416114078,0.015401502947026725,0.12704328701121867,0.018692841681610745,0.0867205495721673,0.017530611503563807,0.12704328701121867,0.0162352915442631,0.10672393338487596,0.014337527800199779,0.09878733783281189,0.012734073389676222,0.11023783308955785,0.012118119538716995,0.06566025037171379,0.013105361399259203,0.04773513232558159
5139.593280016362,0.015424488385516804,0.12618696728285894,0.01857652456309782,0.09248547419050977,0.017531330867176325,0.12618696728285894,0.016218353654365535,0.11357132018542865,0.014405732495053145,0.09958474836617609,0.012816694448042128,0.10591040885030148,0.012227643128124868,0.06719851888469544,0.013204069926108406,0.042842314166024686
