log Total_Ejecta_Mass_(solmass),log KE_(erg),log KE_(erg)_lower_limit,log KE_(erg)_upper_limit
-0.08107261459484345,50.884320969464916,50.72941900947917,50.99826432177175
-0.0798371136538048,50.887841397427984,50.73293943744224,51.00178474973482
-0.07860161271276617,50.89134654039235,50.736444580406605,51.00528989269918
-0.07736611177172752,50.89483639835801,50.739934438372266,51.00877975066484
-0.07613061083068887,50.898310971324975,50.74340901133923,51.01225432363181
-0.07489510988965022,50.901770259293244,50.7468682993075,51.01571361160008
-0.07365960894861157,50.9052142622628,50.75031230227706,51.019157614569636
-0.07242410800757293,50.90864298023367,50.75374102024793,51.022586332540506
-0.07118860706653428,50.91205641320584,50.757154453220096,51.02599976551267
-0.06995310612549563,50.9154545611793,50.76055260119356,51.029397913486136
-0.06871760518445699,50.91883742415407,50.76393546416833,51.0327807764609
-0.06748210424341834,50.922205002130134,50.76730304214439,51.03614835443697
-0.06624660330237969,50.9255572951075,50.77065533512176,51.039500647414336
-0.06501110236134104,50.928894303086174,50.77399234310043,51.04283765539301
-0.06377560142030239,50.93221602606614,50.7773140660804,51.04615937837298
-0.06254010047926375,50.93552246404741,50.780620504061666,51.04946581635424
-0.061304599538225105,50.93881361702998,50.783911657044236,51.05275696933681
-0.060069098597186454,50.942089485013845,50.7871875250281,51.05603283732068
-0.05883359765614781,50.945350067999016,50.79044810801327,51.05929342030585
-0.05759809671510917,50.94859536598548,50.79369340599974,51.062538718292316
-0.05636259577407052,50.951825378973254,50.79692341898751,51.06576873128009
-0.05512709483303187,50.95504010696232,50.80013814697658,51.068983459269155
-0.053891593891993224,50.958239549952694,50.80333758996695,51.07218290225953
-0.05265609295095458,50.96142370794436,50.80652174795862,51.075367060251196
-0.05142059200991593,50.964592580937335,50.80969062095159,51.07853593324417
-0.05018509106887728,50.967746168931605,50.81284420894586,51.08168952123844
-0.04894959012783864,50.97088447192718,50.815982511941435,51.08482782423401
-0.04771408918679999,50.97400748992405,50.819105529938305,51.08795084223088
-0.04647858824576134,50.97711522292222,50.82221326293648,51.091058575229056
-0.04524308730472269,50.98020767092169,50.82530571093595,51.09415102322853
-0.04400758636368405,50.98328483392246,50.82838287393672,51.097228186229295
-0.042772085422645406,50.98634671192454,50.8314447519388,51.10029006423137
-0.041536584481606756,50.98939330492791,50.834491344942165,51.10333665723474
-0.040301083540568106,50.99242461293258,50.83752265294684,51.106367965239414
-0.03906558259952946,50.99544063593856,50.840538675952814,51.10938398824539
-0.03783008165849082,50.99844137394583,50.84353941396009,51.112384726252664
-0.03659458071745217,51.00142682695441,50.846524866968664,51.11537017926124
-0.03535907977641352,51.00439699496428,50.84949503497854,51.118340347271115
-0.034123578835374875,51.00735187797545,50.85244991798971,51.121295230282286
-0.03288807789433623,51.01029147598793,50.855389516002184,51.12423482829476
-0.03165257695329758,51.013215789001706,50.85831382901596,51.12715914130854
-0.03041707601225893,51.01612481701678,50.86122285703104,51.130068169323614
-0.029181575071220288,51.01901856003315,50.86411660004741,51.13296191233999
-0.027946074130181645,51.02189701805083,50.866995058065086,51.13584037035766
-0.026710573189142994,51.02476019106981,50.869858231084066,51.13870354337664
-0.025475072248104344,51.027608079090086,50.87270611910434,51.14155143139692
-0.0242395713070657,51.03044068211166,50.87553872212592,51.14438403441849
-0.023004070366027057,51.03325800013454,50.878356040148795,51.14720135244137
-0.021768569424988407,51.03606003315872,50.881158073172976,51.15000338546555
-0.020533068483949757,51.0388467811842,50.883944821198455,51.15279013349103
-0.019297567542911113,51.04161824421097,50.88671628422523,51.155561596517806
-0.01806206660187247,51.04437442223905,50.88947246225331,51.158317774545885
-0.01682656566083382,51.047115315268435,50.89221335528269,51.16105866757527
-0.01559106471979517,51.04984092329911,50.894938963313365,51.16378427560594
-0.014355563778756533,51.05255124633109,50.89764928634535,51.166494598637925
-0.013120062837717883,51.05524628436437,50.90034432437863,51.169189636671206
-0.011884561896679233,51.05792603739895,50.90302407741321,51.17186938970578
-0.010649060955640582,51.06059050543483,50.90568854544909,51.174533857741665
-0.009413560014601932,51.06323968847201,50.908337728486266,51.17718304077884
-0.008178059073563296,51.06587358651049,50.91097162652475,51.179816938817325
-0.0069425581325246455,51.06849219955027,50.91359023956453,51.182435551857104
-0.005707057191485995,51.07109552759135,50.91619356760561,51.18503887989819
-0.004471556250447359,51.07368357063373,50.91878161064799,51.18762692294057
-0.0032360553094087086,51.07625632867742,50.921354368691674,51.19019968098425
-0.0020005543683700583,51.0788138017224,50.923911841736654,51.19275715402923
-0.000765053427331408,51.08135598976868,50.92645402978294,51.195299342075515
0.00047044751370724225,51.08388289281626,50.92898093283052,51.197826245123096
0.0017059484547458786,51.08639451086515,50.931492550879405,51.20033786317198
0.002941449395784529,51.08889084391533,50.93398888392959,51.20283419622216
0.004176950336823179,51.091371891966816,50.93646993198107,51.20531524427365
0.005412451277861816,51.0938376550196,50.938935695033855,51.20778100732643
0.006647952218900466,51.096288133073685,50.94138617308794,51.21023148538052
0.007883453159939116,51.09872332612907,50.943821366143325,51.2126666784359
0.009118954100977766,51.101143234185756,50.94624127420001,51.21508658649259
0.010354455042016417,51.10354785724374,50.948645897258,51.21749120955057
0.011589955983055053,51.10593719530303,50.951035235317285,51.21988054760986
0.012825456924093703,51.10831124836361,50.95340928837787,51.222254600670446
0.014060957865132354,51.110670016425495,50.95576805643975,51.22461336873233
0.01529645880617099,51.11301349948869,50.958111539502944,51.22695685179552
0.01653195974720964,51.11534169755317,50.96043973756743,51.22928504986
0.01776746068824829,51.117654610618956,50.96275265063321,51.23159796292579
0.01900296162928694,51.11995223868605,50.9650502787003,51.23389559099288
0.02023846257032559,51.122234581754434,50.96733262176869,51.23617793406127
0.021473963511364227,51.12450163982412,50.969599679838375,51.23844499213095
0.022709464452402878,51.126753412895106,50.97185145290936,51.24069676520194
0.023944965393441528,51.1289899009674,50.974087940981654,51.24293325327423
0.025180466334480164,51.131211104040986,50.97630914405524,51.24515445634782
0.026415967275518815,51.13341702211587,50.97851506213013,51.247360374422705
0.027651468216557465,51.13560765519206,50.98070569520632,51.249551007498894
0.028886969157596115,51.137783003269554,50.98288104328381,51.25172635557639
0.030122470098634765,51.139943066348344,50.9850411063626,51.25388641865518
0.0313579710396734,51.14208784442843,50.98718588444269,51.256031196735265
0.03259347198071205,51.14421733750982,50.98931537752408,51.258160689816656
0.0338289729217507,51.14633154559252,50.991429585606774,51.26027489789935
0.03506447386278934,51.14843046867651,50.993528508690765,51.26237382098334
0.03629997480382799,51.1505141067618,50.995612146776054,51.26445745906863
0.03753547574486664,51.15258245984839,50.997680499862646,51.26652581215522
0.03877097668590529,51.15463552793628,50.999733567950535,51.26857888024311
0.04000647762694394,51.15667331102547,51.00177135103973,51.270616663332305
0.04124197856798258,51.15869580911597,51.003793849130226,51.2726391614228
