log Total_Ejecta_Mass_(solmass),Rise_Time_(d),Rise_Time_(d)_lower_limit,Rise_Time_(d)_upper_limit
-0.08107261459484345,17.938305659450215,16.144475093505193,23.31979735728528
-0.0798371136538048,17.96306176720215,16.166755590481934,23.351980297362793
-0.07860161271276617,17.98703163205124,16.18832846884612,23.383141121666615
-0.07736611177172752,18.010215253997497,16.209193728597747,23.413279830196746
-0.07613061083068887,18.032612633040912,16.229351369736822,23.442396422953188
-0.07489510988965022,18.05422376918149,16.248801392263342,23.47049089993594
-0.07365960894861157,18.07504866241923,16.267543796177307,23.497563261145
-0.07242410800757293,18.095087312754135,16.28557858147872,23.523613506580375
-0.07118860706653428,18.114339720186198,16.30290574816758,23.54864163624206
-0.06995310612549563,18.132805884715424,16.31952529624388,23.57264765013005
-0.06871760518445699,18.150485806341813,16.335437225707633,23.595631548244356
-0.06748210424341834,18.16737948506536,16.350641536558825,23.61759333058497
-0.06624660330237969,18.18348692088607,16.365138228797466,23.638532997151895
-0.06501110236134104,18.198808113803945,16.378927302423552,23.65845054794513
-0.06377560142030239,18.21334306381898,16.392008757437083,23.677345982964674
-0.06254010047926375,18.227091770931178,16.40438259383806,23.695219302210532
-0.061304599538225105,18.240054235140533,16.41604881162648,23.712070505682693
-0.060069098597186454,18.252230456447055,16.42700741080235,23.727899593381174
-0.05883359765614781,18.263620434850736,16.437258391365663,23.74270656530596
-0.05759809671510917,18.27422417035158,16.44680175331642,23.756491421457056
-0.05636259577407052,18.284041662949587,16.455637496654628,23.769254161834464
-0.05512709483303187,18.293072912644753,16.46376562138028,23.78099478643818
-0.053891593891993224,18.301317919437082,16.471186127493375,23.791713295268206
-0.05265609295095458,18.30877668332657,16.477899014993913,23.801409688324544
-0.05142059200991593,18.315449204313225,16.483904283881902,23.810083965607195
-0.05018509106887728,18.32133548239704,16.489201934157336,23.817736127116152
-0.04894959012783864,18.326435517578016,16.493791965820215,23.824366172851423
-0.04771408918679999,18.330749309856152,16.49767437887054,23.829974102812997
-0.04647858824576134,18.33427685923145,16.500849173308307,23.834559917000888
-0.04524308730472269,18.337018165703913,16.503316349133524,23.83812361541509
-0.04400758636368405,18.338973229273535,16.505075906346182,23.840665198055596
-0.042772085422645406,18.340142049940322,16.506127844946292,23.84218466492242
-0.041536584481606756,18.340524627704266,16.50647216493384,23.842682016015548
-0.040301083540568106,18.340120962565376,16.50610886630884,23.84215725133499
-0.03906558259952946,18.338931054523645,16.50503794907128,23.84061037088074
-0.03783008165849082,18.336954903579077,16.50325941322117,23.8380413746528
-0.03659458071745217,18.334192509731672,16.500773258758507,23.834450262651174
-0.03535907977641352,18.330643872981426,16.497579485683286,23.829837034875855
-0.034123578835374875,18.326308993328343,16.49367809399551,23.82420169132685
-0.03288807789433623,18.321187870772423,16.48906908369518,23.817544232004153
-0.03165257695329758,18.315280505313662,16.483752454782298,23.809864656907763
-0.03041707601225893,18.308586896952065,16.47772820725686,23.801162966037683
-0.029181575071220288,18.30110704568763,16.470996341118866,23.79143915939392
-0.027946074130181645,18.292840951520358,16.46355685636832,23.780693236976465
-0.026710573189142994,18.283788614450245,16.45540975300522,23.76892519878532
-0.025475072248104344,18.273950034477295,16.446555031029565,23.756135044820486
-0.0242395713070657,18.263325211601504,16.436992690441354,23.742322775081956
-0.023004070366027057,18.25191414582288,16.42672273124059,23.727488389569746
-0.021768569424988407,18.239716837141412,16.41574515342727,23.711631888283836
-0.020533068483949757,18.22673328555711,16.4040599570014,23.694753271224243
-0.019297567542911113,18.212963491069967,16.39166714196297,23.676852538390957
-0.01806206660187247,18.198407453679987,16.37856670831199,23.657929689783984
-0.01682656566083382,18.18306517338717,16.364758656048455,23.63798472540332
-0.01559106471979517,18.166936650191513,16.35024298517236,23.617017645248968
-0.014355563778756533,18.15002188409302,16.33501969568372,23.595028449320928
-0.013120062837717883,18.132320875091686,16.31908878758252,23.57201713761919
-0.011884561896679233,18.113833623187517,16.302450260868767,23.54798371014377
-0.010649060955640582,18.094560128380508,16.285104115542456,23.522928166894662
-0.009413560014601932,18.07450039067066,16.267050351603594,23.49685050787186
-0.008178059073563296,18.053654410057973,16.248288969052176,23.469750733075365
-0.0069425581325246455,18.032022186542452,16.228819967888207,23.44162884250519
-0.005707057191485995,18.009603720124087,16.20864334811168,23.412484836161315
-0.004471556250447359,17.986399010802888,16.1877591097226,23.382318714043755
-0.0032360553094087086,17.96240805857885,16.166167252720964,23.351130476152505
-0.0020005543683700583,17.93763086345197,16.143867777106774,23.318920122487565
-0.000765053427331408,17.912067425422258,16.120860682880032,23.285687653048935
0.00047044751370724225,17.885717744489703,16.097145970040735,23.251433067836615
0.0017059484547458786,17.858581820654315,16.072723638588883,23.216156366850612
0.002941449395784529,17.830659653916083,16.047593688524476,23.179857550090908
0.004176950336823179,17.801951244275017,16.021756119847517,23.14253661755752
0.005412451277861816,17.77245659173111,15.995210932557999,23.104193569250445
0.006647952218900466,17.742175696284367,15.96795812665593,23.064828405169678
0.007883453159939116,17.711108557934782,15.939997702141305,23.024441125315217
0.009118954100977766,17.67925517668236,15.911329659014125,22.98303172968707
0.010354455042016417,17.646615552527102,15.881953997274392,22.940600218285233
0.011589955983055053,17.613189685469006,15.851870716922106,22.89714659110971
0.012825456924093703,17.57897757550807,15.821079817957264,22.852670848160493
0.014060957865132354,17.543979222644296,15.789581300379867,22.807172989437586
0.01529645880617099,17.508194626877685,15.757375164189916,22.760653014940992
0.01653195974720964,17.471623788208234,15.72446140938741,22.713110924670705
0.01776746068824829,17.434266706635945,15.690840035972352,22.66454671862673
0.01900296162928694,17.39612338216082,15.656511043944738,22.614960396809067
0.02023846257032559,17.357193814782853,15.621474433304568,22.56435195921771
0.021473963511364227,17.317478004502053,15.585730204051849,22.51272140585267
0.022709464452402878,17.276975951318413,15.549278356186571,22.460068736713936
0.023944965393441528,17.23568765523193,15.512118889708738,22.406393951801512
0.025180466334480164,17.193613116242613,15.474251804618351,22.351697051115398
0.026415967275518815,17.150752334350457,15.435677100915411,22.295978034655594
0.027651468216557465,17.107105309555465,15.396394778599918,22.239236902422103
0.028886969157596115,17.06267204185763,15.35640483767187,22.181473654414923
0.030122470098634765,17.01745253125696,15.315707278131265,22.12268829063405
0.0313579710396734,16.971446777753453,15.274302099978108,22.06288081107949
0.03259347198071205,16.924654781347105,15.232189303212394,22.002051215751237
0.0338289729217507,16.87707654203792,15.189368887834128,21.940199504649296
0.03506447386278934,16.828712059825897,15.145840853843307,21.877325677773666
0.03629997480382799,16.779561334711033,15.10160520123993,21.813429735124345
0.03753547574486664,16.729624366693333,15.056661930024,21.748511676701334
0.03877097668590529,16.678901155772795,15.011011040195516,21.682571502504636
0.04000647762694394,16.62739170194942,14.96465253175448,21.61560921253425
0.04124197856798258,16.575096005223205,14.917586404700884,21.547624806790168
