log Total_Ejecta_Mass_(solmass),Fraction_Shell_burned,Fraction_Shell_burned_lower_limit,Fraction_Shell_burned_upper_limit
-0.08107261459484345,0.474534074609881,0.09490681492197618,0.5694408895318572
-0.0798371136538048,0.4757480783625444,0.09514961567250886,0.5708976940350533
-0.07860161271276617,0.4769966155104083,0.09539932310208163,0.5723959386124899
-0.07736611177172752,0.4782796860534728,0.09565593721069454,0.5739356232641674
-0.07613061083068887,0.4795972899917379,0.09591945799834756,0.5755167479900855
-0.07489510988965022,0.48094942732520357,0.09618988546504069,0.5771393127902442
-0.07365960894861157,0.4823360980538698,0.09646721961077394,0.5788033176646438
-0.07242410800757293,0.4837573021777366,0.0967514604355473,0.5805087626132839
-0.07118860706653428,0.48521303969680396,0.09704260793936077,0.5822556476361648
-0.06995310612549563,0.4867033106110719,0.09734066212221436,0.5840439727332862
-0.06871760518445699,0.4882281149205404,0.09764562298410806,0.5858737379046485
-0.06748210424341834,0.4897874526252095,0.09795749052504188,0.5877449431502514
-0.06624660330237969,0.4913813237250792,0.09827626474501581,0.589657588470095
-0.06501110236134104,0.49300972822014943,0.09860194564402987,0.5916116738641793
-0.06377560142030239,0.49467266611042027,0.09893453322208404,0.5936071993325043
-0.06254010047926375,0.49637013739589164,0.09927402747917831,0.59564416487507
-0.061304599538225105,0.49810214207656356,0.09962042841531268,0.5977225704918763
-0.060069098597186454,0.4998686801524361,0.09997373603048719,0.5998424161829232
-0.05883359765614781,0.5016697516235091,0.1003339503247018,0.602003701948211
-0.05759809671510917,0.5035053564897828,0.10070107129795654,0.6042064277877394
-0.05636259577407052,0.5053754947512571,0.1010750989502514,0.6064505937015084
-0.05512709483303187,0.5072801664079318,0.10145603328158634,0.6087361996895182
-0.053891593891993224,0.5092193714598072,0.10184387429196143,0.6110632457517686
-0.05265609295095458,0.5111931099068832,0.1022386219813766,0.6134317318882597
-0.05142059200991593,0.5132013817491596,0.1026402763498319,0.6158416580989915
-0.05018509106887728,0.5152441869866368,0.10304883739732733,0.618293024383964
-0.04894959012783864,0.5173215256193144,0.10346430512386287,0.6207858307431773
-0.04771408918679999,0.5194333976471927,0.1038866795294385,0.6233200771766312
-0.04647858824576134,0.5215798030702715,0.10431596061405428,0.6258957636843258
-0.04524308730472269,0.5237607418885509,0.10475214837771016,0.6285128902662611
-0.04400758636368405,0.5259762141020309,0.10519524282040615,0.631171456922437
-0.042772085422645406,0.5282262197107114,0.10564524394214225,0.6338714636528536
-0.041536584481606756,0.5305107587145924,0.10610215174291845,0.6366129104575109
