log Total_Ejecta_Mass_(solmass),Core_Fraction,Core_Fraction_lower_limit,Core_Fraction_upper_limit
-0.08107261459484345,0.9470462711461077,0.964125788,0.964125788
-0.0798371136538048,0.9469693512262363,0.9617784476007804,0.9642799827931475
-0.07860161271276617,0.9468909163486028,0.9594311072015608,0.964434177586295
-0.07736611177172752,0.9468109665132072,0.9570837668023411,0.9645883723794424
-0.07613061083068887,0.9467295017200494,0.9547364264031214,0.9647425671725899
-0.07489510988965022,0.9466465219691296,0.9523890860039017,0.9648967619657374
-0.07365960894861157,0.9465620272604476,0.950041745604682,0.9650509567588849
-0.07242410800757293,0.9464760175940035,0.9476944052054624,0.9652051515520322
-0.07118860706653428,0.9463884929697972,0.9453470648062428,0.9653593463451797
-0.06995310612549563,0.946299453387829,0.9429997244070231,0.9655135411383272
-0.06871760518445699,0.9462088988480986,0.9406523840078035,0.9656677359314747
-0.06748210424341834,0.9461168293506059,0.9383050436085838,0.9658219307246222
-0.06624660330237969,0.9460232448953513,0.9359577032093641,0.9659761255177696
-0.06501110236134104,0.9459281454823345,0.9336103628101444,0.9661303203109171
-0.06377560142030239,0.9458315311115556,0.9312630224109247,0.9662845151040645
-0.06254010047926375,0.9457334017830146,0.9289156820117052,0.966438709897212
-0.061304599538225105,0.9456337574967115,0.9265683416124855,0.9665929046903594
-0.060069098597186454,0.9455325982526462,0.9242210012132658,0.9667470994835069
-0.05883359765614781,0.9454299240508189,0.9218736608140461,0.9669012942766544
-0.05759809671510917,0.9453257348912295,0.9195263204148265,0.9670554890698019
-0.05636259577407052,0.945220030773878,0.9171789800156068,0.9672096838629493
-0.05512709483303187,0.9451128116987643,0.9148316396163871,0.9673638786560967
-0.053891593891993224,0.9450040776658885,0.9124842992171674,0.9675180734492442
-0.05265609295095458,0.9448938286752505,0.9101369588179479,0.9676722682423917
-0.05142059200991593,0.9447820647268504,0.9077896184187282,0.9678264630355392
-0.05018509106887728,0.9446687858206884,0.9054422780195085,0.9679806578286866
-0.04894959012783864,0.9445539919567641,0.9030949376202888,0.9681348526218341
-0.04771408918679999,0.9444376831350777,0.9007475972210692,0.9682890474149816
-0.04647858824576134,0.9443198593556292,0.8984002568218495,0.968443242208129
-0.04524308730472269,0.9442005206184186,0.8974077099592647,0.9685974370012764
-0.04400758636368405,0.9440796669234459,0.8975770178920636,0.9687516317944239
-0.042772085422645406,0.9439572982707112,0.8977463258248626,0.9689058265875714
-0.041536584481606756,0.9438334146602142,0.8979156337576616,0.9690600213807189
-0.040301083540568106,0.9437080160919551,0.8980849416904605,0.9692142161738664
-0.03906558259952946,0.943581102565934,0.8982542496232595,0.9693684109670138
-0.03783008165849082,0.9434526740821507,0.8984235575560584,0.9695226057601612
-0.03659458071745217,0.9433227306406053,0.8985928654888574,0.9696768005533087
