log Fraction_Shell_IGE/burned,log Fraction_Shell_Ni56/IGE,log Fraction_Shell_Ni56/IGE_lower_limit,log Fraction_Shell_Ni56/IGE_upper_limit
-0.7363636363636366,-1.5936621562382736,-2.5936621562382736,-1.3149085552854447
-0.7151515151515153,-1.5451092263623871,-2.545109226362387,-1.2663556254095583
-0.6939393939393941,-1.4965562964865007,-2.4965562964865007,-1.2178026955336718
-0.6727272727272728,-1.4480033666106142,-2.4480033666106142,-1.1692497656577854
-0.6515151515151516,-1.3994504367347278,-2.399450436734728,-1.120696835781899
-0.6303030303030304,-1.3508975068588414,-2.3508975068588414,-1.0721439059060125
-0.6090909090909091,-1.3023445769829547,-2.3023445769829545,-1.0235909760301258
-0.5878787878787879,-1.2537916471070683,-2.253791647107068,-0.9750380461542394
-0.5666666666666667,-1.2052387172311818,-2.2052387172311816,-0.926485116278353
-0.5454545454545456,-1.1566857873552958,-2.156685787355296,-0.877932186402467
-0.5242424242424244,-1.1081328574794094,-2.1081328574794096,-0.8293792565265805
-0.5030303030303032,-1.059579927603523,-2.059579927603523,-0.7808263266506941
-0.4818181818181819,-1.0110269977276365,-2.0110269977276367,-0.7322733967748076
-0.4606060606060607,-0.96247406785175,-1.96247406785175,-0.6837204668989212
-0.43939393939393945,-0.9139211379758636,-1.9139211379758636,-0.6351675370230347
-0.4181818181818182,-0.865368208099977,-1.865368208099977,-0.5866146071471481
-0.396969696969697,-0.8168152782240906,-1.8168152782240905,-0.5380616772712616
-0.37575757575757573,-0.7682623483482041,-1.768262348348204,-0.48950874739537514
-0.3545454545454547,-0.7197094184723182,-1.719709418472318,-0.44095581751948926
-0.3333333333333335,-0.6711564885964316,-1.6711564885964316,-0.3924028876436027
-0.31212121212121224,-0.6226035587205452,-1.6226035587205452,-0.34384995776771626
-0.290909090909091,-0.5740506288446587,-1.5740506288446587,-0.2952970278918298
-0.26969696969696977,-0.5254976989687723,-1.5254976989687723,-0.24674409801594338
-0.24848484848484853,-0.47694476909288575,-1.4769447690928859,-0.19819116814005683
-0.2272727272727273,-0.4283918392169993,-1.4283918392169994,-0.1496382382641704
-0.20606060606060606,-0.3798389093411128,-1.3798389093411128,-0.10108530838828389
-0.18484848484848504,-0.33128597946522687,-1.331285979465227,-0.06488387252910137
-0.16363636363636358,-0.28273304958933987,-1.2827330495893399,-0.06488387252910137
-0.14242424242424256,-0.23418011971345393,-1.2341801197134539,-0.06488387252910137
-0.1212121212121211,-0.18562718983756693,-1.185627189837567,-0.06488387252910137
-0.1,-0.13707425996168077,-1.1370742599616808,-0.06488387252910137
