log Fraction_Shell_burned,log Fraction_Shell_CO/unburned,log Fraction_Shell_CO/unburned_lower_limit,log Fraction_Shell_CO/unburned_upper_limit
-0.14652302841297252,-1.1930985855300718,-1.8920685898660907,-0.9378260804267657
-0.14102555650175472,-1.220553813394969,-1.9195238177309877,-0.9652813082916629
-0.13559680479035652,-1.247665841917434,-1.9466358462534528,-0.992393336814128
-0.13023507641824839,-1.2744431454822838,-1.9734131498183025,-1.0191706403789778
-0.12493873660829995,-1.3008938884202044,-1.9998638927562231,-1.0456213833168984
-0.11970620967462292,-1.327025939951049,-2.0259959442870676,-1.0717534348477429
-0.11453597620853269,-1.3528468882375824,-2.0518168925736013,-1.0975743831342764
-0.10942657043005237,-1.3783640536124802,-2.077334057948499,-1.1230915485091741
-0.10437657769341081,-1.403584501036259,-2.102554505372278,-1.148311995932953
-0.09938463213591182,-1.428515051839189,-2.1274850561752077,-1.173242546735883
-0.0944494144603996,-1.4531622947960048,-2.1521322991320235,-1.1978897896926988
-0.08956964984231308,-1.4775325965784019,-2.1765026009144206,-1.2222600914750958
-0.08474410595302172,-1.5016321116268032,-2.200602115962822,-1.2463596065234972
-0.07997159109177678,-1.5254667914796851,-2.224436795815704,-1.270194286376379
-0.07525095241919241,-1.5490423935958475,-2.2480123979318662,-1.2937698884925415
-0.07058107428570728,-1.5723644897023348,-2.2713344940383537,-1.3170919845990288
-0.06596087664896208,-1.5954384736982985,-2.2944084780343172,-1.3401659685949925
-0.06138931357447871,-1.6182695691428384,-2.317239573478857,-1.3629970640395324
-0.05686537181443246,-1.6408628363528348,-2.3398328406888536,-1.3855903312495288
-0.05238806945968823,-1.6632231791348888,-2.362193183470908,-1.4079506740315828
-0.04795645466061328,-1.6853553511737815,-2.3843253555098003,-1.4300828460704755
-0.04356960441249959,-1.7072639620982641,-2.406233966434283,-1.4519914569949581
-0.03922662340171734,-1.7289534832435454,-2.427923487579564,-1.4736809781402394
-0.03492664290899332,-1.7504282531284905,-2.4493982574645092,-1.4951557480251845
-0.03066881976645196,-1.771692482664319,-2.4706624870003377,-1.516419977561013
-0.02645233536528848,-1.7927502601104404,-2.4917202644464593,-1.5374777550071344
-0.022276394711152253,-1.813605555792015,-2.5125755601280337,-1.558333050688709
