log Total_Ejecta_Mass_(solmass),Fraction_Core_IGE/burned,Fraction_Core_IGE/burned_lower_limit,Fraction_Core_IGE/burned_upper_limit
-0.08107261459484345,0.3179738008434,0.25437904067472,0.34977118092774
-0.0798371136538048,0.32341588266182936,0.2587327061294635,0.3557574709280123
-0.07860161271276617,0.32884413336591883,0.2630753066927351,0.36172854670251076
-0.07736611177172752,0.3342585529556684,0.26740684236453477,0.3676844082512353
-0.07613061083068887,0.33965914143107817,0.27172731314486254,0.373625055574186
-0.07489510988965022,0.345045898792148,0.2760367190337184,0.3795504886713628
-0.07365960894861157,0.3504188250388779,0.2803350600311023,0.38546070754276573
-0.07242410800757293,0.35577792017126786,0.2846223361370143,0.39135571218839466
-0.07118860706653428,0.361123184189318,0.2888985473514544,0.3972355026082498
-0.06995310612549563,0.36645461709302823,0.2931636936744226,0.40310007880233106
-0.06871760518445699,0.3717722188823985,0.29741777510591877,0.40894944077063833
-0.06748210424341834,0.3770759895574289,0.3016607916459431,0.4147835885131718
-0.06624660330237969,0.3823659291181194,0.30589274329449556,0.42060252202993137
-0.06501110236134104,0.38764203756447,0.31011363005157605,0.42640624132091703
-0.06377560142030239,0.3929043148964807,0.3143234519171846,0.4321947463861288
-0.06254010047926375,0.39815276111415143,0.31852220889132116,0.4379680372255666
-0.061304599538225105,0.4033873762174824,0.32270990097398594,0.44372611383923066
-0.060069098597186454,0.4086081602064734,0.3268865281651787,0.4494689762271208
-0.05883359765614781,0.4138151130811245,0.33105209046489964,0.45519662438923697
-0.05759809671510917,0.4190082348414357,0.33520658787314855,0.46090905832557927
-0.05636259577407052,0.42418752548740696,0.33935002038992557,0.4666062780361477
-0.05512709483303187,0.42935298501903835,0.3434823880152307,0.4722882835209422
-0.053891593891993224,0.43450461343632985,0.3476036907490639,0.47795507477996285
-0.05265609295095458,0.43964241073928145,0.3517139285914252,0.48360665181320966
-0.05142059200991593,0.4447663769278931,0.3558131015423145,0.4892430146206825
-0.05018509106887728,0.44987651200216494,0.359901209601732,0.49486416320238147
-0.04894959012783864,0.4549728159620968,0.3639782527696775,0.5004700975583065
-0.04771408918679999,0.46005528880768876,0.368044231046151,0.5060608176884577
-0.04647858824576134,0.46512393053894086,0.3720991444311527,0.511636323592835
-0.04524308730472269,0.4701787411558531,0.3761429929246825,0.5171966152714385
-0.04400758636368405,0.4752197206584253,0.3801757765267403,0.5227416927242678
-0.042772085422645406,0.4802468690466577,0.38419749523732616,0.5282715559513235
-0.041536584481606756,0.48526018632055024,0.3882081490564402,0.5337862049526053
-0.040301083540568106,0.4902596724801028,0.39220773798408226,0.5392856397281132
-0.03906558259952946,0.49524532752531547,0.3961962620202524,0.544769860277847
-0.03783008165849082,0.5002171514561883,0.40017372116495065,0.5502388666018072
-0.03659458071745217,0.5051751442727211,0.40414011541817696,0.5556926586999933
-0.03535907977641352,0.5101193059749142,0.40809544477993137,0.5611312365724056
-0.034123578835374875,0.5150496365627673,0.4120397092502138,0.566554600219044
-0.03288807789433623,0.5199661360362804,0.4159729088290243,0.5719627496399085
-0.03165257695329758,0.5248688043954537,0.419895043516363,0.5773556848349991
-0.03041707601225893,0.529757641640287,0.42380611331222967,0.5827334058043158
-0.029181575071220288,0.5346326477707806,0.42770611821662446,0.5880959125478586
-0.027946074130181645,0.5394938227869341,0.43159505822954736,0.5934432050656276
-0.026710573189142994,0.5443411666887478,0.43547293335099824,0.5987752833576226
-0.025475072248104344,0.5491746794762216,0.43933974358097727,0.6040921474238438
-0.0242395713070657,0.5539943611493554,0.44319548891948435,0.609393797264291
-0.023004070366027057,0.5588002117081494,0.4470401693665196,0.6146802328789644
-0.021768569424988407,0.5635922311526035,0.4508737849220828,0.6199514542678639
-0.020533068483949757,0.5683704194827177,0.45469633558617417,0.6252074614309895
-0.019297567542911113,0.573134776698492,0.45850782135879364,0.6304482543683413
-0.01806206660187247,0.5778853027999263,0.4623082422399411,0.635673833079919
-0.01682656566083382,0.5826219977870208,0.4660975982296167,0.640884197565723
-0.01559106471979517,0.5873448616597754,0.4698758893278203,0.6460793478257529
-0.014355563778756533,0.59205389441819,0.473643115534552,0.6512592838600091
-0.013120062837717883,0.5967490960622648,0.47739927684981187,0.6564240056684914
-0.011884561896679233,0.6014304665919997,0.4811443732735998,0.6615735132511997
-0.010649060955640582,0.6060980060073946,0.4848784048059157,0.6667078066081341
-0.009413560014601932,0.6107517143084498,0.48860137144675986,0.6718268857392948
-0.008178059073563296,0.6153915914951649,0.49231327319613194,0.6769307506446814
-0.0069425581325246455,0.6200176375675401,0.4960141100540321,0.6820194013242942
-0.005707057191485995,0.6246298525255756,0.49970388202046045,0.6870928377781331
-0.004471556250447359,0.6292282363692709,0.5033825890954168,0.6921510600061981
