log Ni_mass,log Peak_Flux_(erg/s),log Peak_Flux_(erg/s)_lower_limit,log Peak_Flux_(erg/s)_upper_limit
-inf,,,
-2.853437452547744,41.016219054710646,40.97046156414997,41.13016240701748
-2.552407456883763,41.24855771726348,41.202800226702806,41.362501069570314
-2.376316197828082,41.384467122324594,41.33870963176392,41.49841047463143
-2.251377461219782,41.48089637981631,41.43513888925563,41.59483973212314
-2.1544674482117254,41.55569272282062,41.50993523225995,41.66963607512746
-2.0752862021641008,41.61680578487742,41.571048294316746,41.730749137184254
-2.0083394125334877,41.66847614261262,41.622718652051944,41.78241949491945
-1.9503474655558006,41.71323504236914,41.66747755180847,41.827178394675975
-1.8991949431084194,41.752715189938534,41.70695769937786,41.86665854224537
-1.8534374525477444,41.78803138537345,41.742273894812776,41.901974737680284
-1.8120447673895193,41.81997877017781,41.77422127961714,41.933922122484645
-1.7742562065001195,41.849144447430255,41.80338695686958,41.96308779973709
-1.7394941002409077,41.875974269680924,41.83021677912025,41.98991762198776
-1.7073094168695062,41.900814805165446,41.85505731460477,42.01475815747228
-1.677346193492063,41.923940790434564,41.87818329987389,42.0378841427414
-1.6493174698918196,41.94557370492197,41.899816214361294,42.0595170572288
-1.6229885311694703,41.965894704481144,41.92013721392047,42.07983805678798
-1.5981649474444382,41.98505385249137,41.939296361930694,42.0989972047982
-1.5746838515949153,42.003176851805506,41.95741936124483,42.11712020411234
-1.5524074568837631,42.02037004792628,41.9746125573656,42.13431340023311
-1.531218157813825,42.03672421022656,41.990966719665884,42.15066756253339
-1.511014771725538,42.05231743273064,42.006559942169964,42.16626078503747
-1.4917096165301513,42.0672173895558,42.021459898995126,42.181160741862634
-1.4732262108361383,42.08148310998308,42.03572561942241,42.195426462289916
-1.4554974438757067,42.09516639093059,42.04940890036992,42.20910974323743
-1.4384641045769264,42.10831293223375,42.06255544167308,42.222256284540585
-1.422073688388757,42.120963257552475,42.0752057669918,42.23490660985931
-1.4062794212055252,42.13315346771828,42.087395977157605,42.247096820025114
-1.3910394546487883,42.14491586182566,42.099158371264984,42.25885921413249
-1.3763161978280818,42.15627945298739,42.110521962426716,42.270222805294225
-1.3620757587134715,42.1672703994901,42.121512908929425,42.28121375179693
-1.3482874742278383,42.1779123674748,42.13215487691413,42.29185571978164
-1.3349235126698569,42.18822683779175,42.14246934723108,42.302170190098586
-1.3219585355054893,42.19823336703398,42.152475876473304,42.31217671934081
-1.3093694081974687,42.20794981072259,42.162192320161914,42.32189316302942
-1.2971349517804571,42.217392515044196,42.17163502448352,42.33133586735103
-1.2852357284807494,42.22657648231222,42.18081899175154,42.34051983461905
-1.273653855930934,42.23551551435833,42.18975802379766,42.34945886666517
-1.262372845521245,42.244222337294865,42.19846484673419,42.3581656896017
-1.2513774612197819,42.25270871047911,42.20695121991844,42.366652062785946
-1.240653595828009,42.26098552202085,42.21522803146018,42.374928874327686
-1.2301881621498438,42.269062872779394,42.22330538221872,42.38300622508623
-1.2199689969681577,42.2769501504757,42.231192659915024,42.39089350278253
-1.209984776061557,42.284656095283474,42.2388986047228,42.39859944759031
-1.2002249387724007,42.292188858048505,42.24643136748783,42.40613221035534
-1.1906796208661703,42.299556052108635,42.25379856154796,42.41349940441547
-1.1813395946120269,42.3067647995403,42.26100730897962,42.42070815184713
-1.1721962151721572,42.31382177253592,42.26806428197524,42.42776512484275
-1.1632413725192305,42.32073323051459,42.274975739953916,42.434676582821425
-1.1544674482117256,42.32750505348342,42.281747562922746,42.441448405790254
-1.145867276449808,42.33414277209509,42.28838528153442,42.448086124401925
-1.1374341089129452,42.340651594786586,42.29489410422591,42.45459494709342
-1.1291615829469552,42.347036432332864,42.30127894177219,42.4609797846397
-1.1210436927247758,42.35330192010531,42.307544429544635,42.46724527241214
-1.1130747630535005,42.35945243828778,42.31369494772711,42.473395790594616
-1.105249425541544,42.36549213027111,42.31973463971043,42.47943548257794
-1.097562596875253,42.37142491941945,42.32566742885877,42.48536827172628
-1.090009458984807,42.377254524378486,42.33149703381781,42.49119787668532
-1.0825854409056002,42.38298447307508,42.33722698251441,42.49692782538192
-1.0752862021641008,42.388618115540226,42.34286062497955,42.50256146784706
-1.0681076175369772,42.39415863567214,42.34840114511147,42.508101987978975
-1.0610457630494905,42.399609062042934,42.35385157148226,42.51355241434977
-1.0540969030941625,42.40497227784051,42.35921478727983,42.51891563014734
-1.047257478563857,42.41025103002763,42.364493539466956,42.524194382334464
-1.0405240959048887,42.415447937790894,42.36969044723022,42.52939129009773
-1.0338935170058756,42.42056550034459,42.37480800978391,42.53450885265142
-1.027362649846918,42.42560610414779,42.379848613587114,42.53954945645462
-1.020928539841508,42.430572029586806,42.38481453902613,42.54451538189364
-1.014588361810489,42.43546545716974,42.389707966609066,42.549408809476574
-1.0083394125334875,42.44028847327542,42.39453098271475,42.55423182558226
-1.0021791038286691,42.44504307549449,42.399285584933814,42.55898642780132
-0.9961049561164759,42.44973117759702,42.40397368703635,42.56367452990386
-0.9901145924272884,42.454354614157495,42.40859712359682,42.56829796646433
-0.9842057328167682,42.45891514486505,42.41315765430438,42.572858497171886
-0.9783761891560443,42.463414458544534,42.41765696798386,42.57735781085137
-0.9726238602669529,42.46785417691116,42.422096686350486,42.581797529217994
-0.9669467273752624,42.472235858079785,42.42647836751911,42.58617921038662
-0.9613428498572639,42.4765609998477,42.430803509287024,42.59050435215453
-0.9558103612573029,42.4808310427684,42.435073552207726,42.594774395075234
-0.9503474655558007,42.48504737303194,42.439289882471265,42.59899072533877
-0.9449524336690945,42.48921132516642,42.44345383460575,42.603154677473256
-0.9396236001640277,42.49332418457368,42.447566694013005,42.607267536880514
-0.9343593601716704,42.49738718991135,42.451629699350676,42.611330542218184
-0.9291581664858627,42.50140153533222,42.455644044771546,42.615344887639054
-0.9240185268334515,42.505368372591114,42.45961088203044,42.61931172489795
-0.9189390013041766,42.509288813028526,42.46353132246785,42.62323216533536
-0.9139181999291258,42.5131639294396,42.467406438878925,42.62710728174643
-0.9089547803975757,42.5169947578363,42.471237267275626,42.630938110143134
-0.9040474459028315,42.52078229911003,42.47502480854936,42.634725651416865
-0.8991949431084194,42.52452752060134,42.478770030040664,42.63847087290817
-0.8943960602266507,42.52823135758289,42.482473867022215,42.64217470988972
-0.889649625202189,42.53189471466146,42.48613722410079,42.645838066968295
-0.8849545039938093,42.53551846710405,42.48976097654337,42.64946181941088
-0.8803095989480456,42.539103462093124,42.49334597153245,42.65304681439996
-0.8757138472588966,42.542650519915476,42.4968930293548,42.65659387222231
-0.871166219508176,42.546160435088744,42.50040294452807,42.66010378739558
-0.8666657182814995,42.54963397742966,42.50387648686898,42.66357732973649
-0.8622113768552494,42.55307189306742,42.50731440250674,42.66701524537425
-0.8578022579501944,42.5564749054057,42.510717414845026,42.670418257712534
-0.8534374525477444,42.559843716036255,42.51408622547558,42.67378706834309
-0.8491160787651018,42.5631790056071,42.51742151504642,42.67712235791393
-0.8448372807858268,42.56648143464792,42.520723944087244,42.68042478695475
-0.840600227842572,42.56975164435519,42.52399415379452,42.68369499666203
-0.836404113248964,42.57299025733941,42.52723276677874,42.686933609646246
-0.8322481534778062,42.57619787833653,42.530440387775855,42.69014123064336
-0.8281315872829741,42.57937509488569,42.533617604325016,42.693318447192524
-0.8240536748625347,42.582522477975154,42.53676498741448,42.69646583028199
-0.8200136970607946,42.58564058265814,42.53988309209746,42.69958393496497
-0.8160109546071207,42.58872994864035,42.542972458079674,42.70267330094718
-0.8120447673895193,42.59179110084062,42.54603361027994,42.70573445314745
-0.8081144737610868,42.594824549926166,42.54906705936549,42.708767902233
-0.8042194298775627,42.59783079282394,42.55207330226327,42.711774145130775
-0.8003590090643246,42.600810313209145,42.55505282264847,42.71475366551598
-0.7965326012112717,42.603763581972274,42.5580060914116,42.71770693427911
-0.7927396121941327,42.60669105766577,42.560933567105096,42.720634409972604
-0.7889794633208258,42.60959318693132,42.563835696370646,42.723536539238154
-0.7852515908015827,42.61247040490881,42.56671291434814,42.726413757215646
-0.7815554452416189,42.61532313562791,42.569565645067236,42.729266487934744
-0.7778904911552136,42.61815179238312,42.57239430182244,42.73209514468995
-0.7742562065001195,42.62095677809305,42.57519928753238,42.734900130399886
-0.7706520822312942,42.62373848564498,42.5779809950843,42.73768183795181
-0.7670776218729961,42.626497298224976,42.5807398076643,42.74044065053181
-0.7635323411083464,42.629233589634794,42.58347609907412,42.74317694194163
-0.7600157673855092,42.63194772459576,42.58619023403509,42.745891076902595
-0.7565274395396879,42.634640059040564,42.58888256847989,42.7485834113474
-0.7530669074301813,42.637310940393334,42.59155344983266,42.75125429270017
-0.7496337315917875,42.63996070783874,42.594203217278064,42.75390406014557
-0.746227482899876,42.642589692580465,42.59683220201979,42.7565330448873
-0.7428477422484954,42.64519821808964,42.599440727528965,42.75914157039647
-0.7394941002409076,42.64778660034373,42.602029109783054,42.76172995265056
-0.7361661568919801,42.65035514805618,42.6045976574955,42.76429850036301
-0.7328635213418945,42.652904162897414,42.60714667233674,42.76684751520425
-0.7295858115806585,42.65543393970747,42.6096764491468,42.769377292014305
-0.7263326541829367,42.65794476670062,42.61218727613995,42.77188811900746
-0.7231036840527382,42.66043692566245,42.61467943510178,42.774380277969286
-0.7198985441775267,42.66291069213964,42.617153201578965,42.77685404444647
-0.7167168853913375,42.66536633562278,42.6196088450621,42.77930968792961
-0.7135583661465078,42.667804119722575,42.6220466291619,42.78174747202941
-0.7104226522936492,42.67022430233964,42.624466811778966,42.784167654646474
-0.7073094168695063,42.67262713582825,42.626869645267575,42.786570488135084
-0.7042183398923644,42.67501286715424,42.62925537659356,42.78895621946107
-0.7011491081646879,42.677381738047316,42.63162424748664,42.79132509035415
-0.6981014150826825,42.67973398514809,42.633976494587415,42.79367733745492
-0.6950749604524946,42.68206984014986,42.63631234958918,42.79601319245669
-0.6920694503127695,42.68438952993563,42.638632039374954,42.79833288224246
-0.6890845967633072,42.68669327671033,42.640935786149655,42.80063662901716
-0.6861201177995682,42.68898129812853,42.64322380756786,42.802924650435365
-0.6831757371527869,42.69125380741788,42.645496316857205,42.80519715972471
-0.6802511841354703,42.69351101349832,42.64775352293765,42.80745436580516
-0.677346193492063,42.69575312109737,42.649995630536694,42.8096964734042
-0.6744605052545749,42.697980330861505,42.65222284030083,42.81192368316834
-0.6715938646029718,42.700192839463995,42.65443534890332,42.81413619177083
-0.6687460217301455,42.70239083970903,42.65663334914836,42.816334192015866
-0.6659167317112813,42.70457452063261,42.65881703007194,42.818517872939445
-0.6631057543774528,42.70674406760008,42.6609865770394,42.82068741990691
-0.6603128541932827,42.708899662400526,42.66314217183985,42.82284301470736
-0.6575378001385106,42.711041483338256,42.66528399277758,42.82498483564509
-0.6547803655933216,42.71316970532123,42.66741221476055,42.82711305762806
-0.6520403282272929,42.715284499946804,42.66952700938613,42.82922785225364
-0.6493174698918195,42.717386035584774,42.6716285450241,42.83132938789161
-0.6466115765158946,42.71947447745777,42.6737169868971,42.833417829764606
-0.6439224380051134,42.72154998771925,42.675792497158575,42.83549334002608
-0.6412498481437865,42.72361272552903,42.677855234968355,42.83755607783586
-0.6385936045000464,42.725662847126515,42.67990535656584,42.83960619943335
-0.635953508333838,42.72770050590173,42.681943015341055,42.84164385820856
-0.6333293645076892,42.72972585246418,42.6839683619035,42.84366920477101
-0.630720981400161,42.73173903470966,42.68598154414899,42.845682387016495
-0.6281281708218814,42.733740197885055,42.68798270732438,42.84768355019189
-0.6255507479340707,42.735729484651195,42.68997199409052,42.84967283695803
-0.6229885311694704,42.73770703514395,42.691949544583274,42.85165038745078
-0.6204413421555904,42.73967298703339,42.69391549647271,42.85361633934022
-0.6179090056401955,42.74162747558136,42.695869985020686,42.855570827888194
-0.6153913494189489,42.74357063369729,42.697813143136614,42.85751398600412
-0.6128882042651446,42.745502591992434,42.69974510143176,42.85944594429927
-0.6103994038614499,42.74742347883256,42.701665988271884,42.86136683113939
-0.6079247847335945,42.749333420389135,42.70357592982846,42.86327677269597
-0.6054641861859377,42.751232540689024,42.70547505012835,42.86517589299586
-0.6030174502388503,42.753120961662866,42.70736347110219,42.8670643139697
