log Fraction_Shell_IGE/burned,log Fraction_Shell_Ni56/IGE,log Fraction_Shell_Ni56/IGE_lower_limit,log Fraction_Shell_Ni56/IGE_upper_limit
-1.0,0.2790976514202887,-0.06685084127210407,-0.06685084127210407
-0.9642267303459258,0.24931547740240567,-0.06685084127210407,-0.06685084127210407
-0.9311772053706314,0.22252444630636864,-0.06685084127210407,-0.06685084127210407
-0.9004658431657947,0.19825171978912226,-0.06685084127210407,-0.06685084127210407
-0.8717835536304641,0.176124581744795,-0.06685084127210407,-0.06685084127210407
-0.8448787547372408,0.15584444909859174,-0.06685084127210407,-0.06685084127210407
-0.8195439355418687,0.13716873539422697,-0.06685084127210407,-0.06685084127210407
-0.7956059280437796,0.11989789550569296,-0.06685084127210407,-0.06685084127210407
-0.7729187234499666,0.10386598010608511,-0.06685084127210407,-0.06685084127210407
-0.7513580737957071,0.0889336234291716,-0.06685084127210407,-0.06685084127210407
-0.7308173715880134,0.07498275301056795,-0.06685084127210407,-0.06685084127210407
-0.7112044607530305,0.0619125405605328,-0.06685084127210407,-0.06685084127210407
-0.6924391371770611,0.04963626223126344,-0.06685084127210407,-0.06685084127210407
-0.6744511672952358,0.038078835183748716,-0.06685084127210407,-0.06685084127210407
-0.6571787009929451,0.027174863934401217,-0.06973514907365518,-0.06685084127210407
-0.6405669882486993,0.016867075716981317,-0.08004293729107508,-0.06685084127210407
-0.6245673323258136,0.007105056065461135,-0.08980495694259526,-0.06685084127210407
-0.6091362290468968,-0.002155781498380166,-0.09906579450643656,-0.06685084127210407
-0.5942346538160058,-0.01095504147735163,-0.10786505448540802,-0.06685084127210407
-0.5798274669620067,-0.019328046032893648,-0.11623805904095004,-0.06685084127210407
-0.565882914595142,-0.027306417402639477,-0.12421643041069587,-0.06685084127210407
-0.5523722071388549,-0.03491856573483246,-0.13182857874288884,-0.06685084127210407
-0.5392691614685069,-0.04219010005751553,-0.1391001130655719,-0.06685084127210407
-0.5265498954744295,-0.049144176364205316,-0.14605418937226172,-0.06685084127210407
-0.514192566095245,-0.055801793932571175,-0.15271180694062758,-0.06685084127210407
-0.5021771436023615,-0.06218204877705358,-0.15909206178510998,-0.06685084127210407
-0.49048521627764397,-0.06830235140968136,-0.16521236441773773,-0.06685084127210407
-0.4790998207017504,-0.07417861472777573,-0.1710886277358321,-0.06685084127210407
-0.4680052937262113,-0.07982541677562369,-0.17673542978368006,-0.06685084127210407
-0.45718714288733275,-0.08525614227452283,-0.18216615528257923,-0.06685084127210407
-0.44663193257176215,-0.09048310613292729,-0.18739311914098367,-0.06685084127210407
-0.43632718369053747,-0.09551766159864772,-0.19242767460670412,-0.06685084127210407
-0.4262612849825041,-0.10037029526985922,-0.1972803082779156,-0.06685084127210407
-0.4164234143660508,-0.10505071081924083,-0.20196072382729724,-0.06685084127210407
-0.4068034690033427,-0.10956790298905172,-0.20647791599710813,-0.06685084127210407
-0.39739200294392735,-0.11393022317118853,-0.2108402361792449,-0.06685084127210407
-0.3881801713828814,-0.11814543768497074,-0.21505545069302712,-0.06685084127210407
-0.3791596807089845,-0.12222077969844543,-0.21913079270650182,-0.06685084127210407
-0.3703227436358761,-0.12616299559995547,-0.22307300860801188,-0.06685084127210407
-0.3616620388078764,-0.12997838651045274,-0.22688839951850914,-0.06685084127210407
-0.3531706743554286,-0.13367284552945538,-0.23058285853751176,-0.06685084127210407
-0.34484215494561915,-0.13725189122534742,-0.23416190423340383,-0.06685084127210407
-0.33667035193311495,-0.1407206978112343,-0.2376307108192907,-0.06685084127210407
-0.3286494762678894,-0.14408412238863344,-0.24099413539668985,-0.06685084127210407
-0.3207740538597384,-0.14734672959113262,-0.244256742599189,-0.06816548354350781
-0.3130389031369966,-0.15051281391735066,-0.24742282692540707,-0.07133156786972585
-0.3054391145690363,-0.1535864200058944,-0.2504964330139508,-0.07440517395826958
-0.2979700319498754,-0.1565713610735528,-0.2534813740816092,-0.07739011502592798
-0.29062723526421397,-0.15947123571088856,-0.25638124871894497,-0.08028998966326374
-0.2834065249780146,-0.1622894432060164,-0.2591994562140728,-0.08310819715839159
-0.2763039076138233,-0.1650291975471278,-0.2619392105551842,-0.08584795149950299
-0.2693155824867746,-0.16769354023677635,-0.26460355324483276,-0.08851229418915153
-0.2624379294909805,-0.17028535203567685,-0.26719536504373326,-0.09110410598805203
-0.25566749783804055,-0.1728073637404708,-0.2697173767485272,-0.09362611769284597
-0.2490009956599712,-0.17526216608829262,-0.272172179096349,-0.0960809200406678
-0.2424352803981339,-0.17765221887079713,-0.27456223187885354,-0.09847097282317231
-0.23596734990791945,-0.17997985933138544,-0.27688987233944184,-0.10079861328376062
-0.22959433421616096,-0.1822473099115215,-0.2791573229195779,-0.10306606386389668
-0.22331348787463015,-0.18445668540511972,-0.28136669841317613,-0.10527543935749491
