log EDefNuc,Core_Fraction,Core_Fraction_lower_limit,Core_Fraction_upper_limit
0.11058971029924898,0.960740517754028,0.7685924142032224,0.943952189
0.11400502958819676,0.9572731327370092,0.7658185061896075,0.943952189
0.11742034887714456,0.953801949298721,0.7630415594389768,0.943952189
0.12083566816609234,0.9503269674391636,0.7602615739513309,0.943952189
0.12425098745504012,0.9468481871583367,0.7574785497266694,0.943952189
0.12766630674398793,0.9433656084562407,0.7546924867649927,0.943952189
0.13108162603293572,0.9398792313328754,0.7519033850663004,0.943952189
0.1344969453218835,0.9363890557882407,0.7491112446305926,0.943952189
0.13791226461083128,0.9328950818223368,0.7463160654578695,0.943952189
0.14132758389977906,0.9293973094351636,0.743517847548131,0.943952189
0.14474290318872685,0.9258957386267213,0.7407165909013771,0.943952189
0.14815822247767463,0.9223903693970095,0.7379122955176076,0.943952189
0.15157354176662244,0.9188812017460284,0.7351049613968228,0.943952189
0.15498886105557022,0.915368235673778,0.7322945885390224,0.943952189
0.158404180344518,0.9118514711802583,0.7294811769442067,0.943952189
0.16181949963346579,0.9083309082654695,0.7266647266123756,0.943952189
0.1652348189224136,0.9048065469294112,0.723845237543529,0.943952189
0.16865013821136138,0.9012783871720838,0.721022709737667,0.943952189
0.17206545750030916,0.897746428993487,0.7181971431947897,0.943952189
0.17548077678925694,0.8942106723936208,0.7153685379148967,0.943952189
0.17889609607820472,0.8906711173724855,0.7125368938979885,0.943952189
0.1823114153671525,0.8871277639300809,0.7097022111440647,0.943952189
0.1857267346561003,0.8835806120664069,0.7068644896531255,0.943952189
0.1891420539450481,0.8800296617814637,0.704023729425171,0.943952189
0.19255737323399588,0.8764749130752512,0.701179930460201,0.943952189
0.19597269252294366,0.8729163659477694,0.6983330927582156,0.943952189
0.19938801181189147,0.8693540203990183,0.6954832163192147,0.943952189
0.20280333110083926,0.8657878764289979,0.6926303011431983,0.943952189
0.20621865038978704,0.8622179340377083,0.6897743472301667,0.943952189
0.20963396967873482,0.8586441932251494,0.6869153545801195,0.943952189
0.2130492889676826,0.8550666539913211,0.6840533231930569,0.943952189
0.2164646082566304,0.8514853163362236,0.6811882530689789,0.943952189
0.21987992754557817,0.8479001802598568,0.6783201442078854,0.943952189
0.22329524683452595,0.8443112457622206,0.6754489966097765,0.943952189
0.22671056612347376,0.8407185128433152,0.6725748102746523,0.943952189
0.23012588541242154,0.8371219815031405,0.6696975852025124,0.943952189
0.23354120470136935,0.8335216517416966,0.6668173213933573,0.943952189
0.23695652399031714,0.8299175235589834,0.6639340188471867,0.943952189
0.24037184327926492,0.8263095969550008,0.6610476775640007,0.943952189
0.2437871625682127,0.822697871929749,0.6581582975437992,0.943952189
0.24720248185716048,0.8190823484832279,0.6552658787865824,0.943952189
0.25061780114610827,0.8154630266154375,0.65237042129235,0.943952189
0.25403312043505605,0.8118399063263779,0.6494719250611024,0.943952189
0.25744843972400383,0.8082129876160489,0.6465703900928391,0.943952189
0.2608637590129516,0.8045822704844505,0.6436658163875605,0.943952189
0.2642790783018994,0.8009477549315831,0.6407582039452665,0.943952189
0.26769439759084723,0.7973094409574462,0.637847552765957,0.943952189
0.271109716879795,0.79366732856204,0.634933862849632,0.943952189
0.2745250361687428,0.7900214177453646,0.6320171341962917,0.943952189
0.2779403554576906,0.78637170850742,0.6290973668059361,0.9436460502089039
0.28135567474663836,0.782718200848206,0.6261745606785648,0.9392618410178472
0.28477099403558614,0.7790608947677227,0.6232487158141782,0.9348730737212672
0.2881863133245339,0.7753997902659702,0.6203198322127762,0.9304797483191641
0.2916016326134817,0.7717348873429484,0.6173879098743588,0.926081864811538
0.2950169519024295,0.7680661859986571,0.6144529487989256,0.9216794231983885
0.2984322711913773,0.7643936862330967,0.6115149489864774,0.9172724234797159
0.30184759048032506,0.760717388046267,0.6085739104370136,0.9128608656555204
0.3052629097692729,0.757037291438168,0.6056298331505344,0.9084447497258016
0.3086782290582207,0.7533533964087997,0.6026827171270398,0.9040240756905596
0.31209354834716846,0.7496657029581622,0.5997325623665297,0.8995988435497946
0.31550886763611624,0.7459742110862553,0.5967793688690043,0.8951690533035063
0.318924186925064,0.7422789207930791,0.5938231366344633,0.8907347049516949
0.3223395062140118,0.7385798320786336,0.5908638656629069,0.8862957984943604
0.3257548255029596,0.7348769449429189,0.5879015559543351,0.8818523339315026
0.32917014479190737,0.7311702593859349,0.584936207508748,0.8774043112631219
0.33258546408085515,0.7274597754076816,0.5819678203261452,0.8729517304892179
0.33600078336980294,0.723745493008159,0.5789963944065273,0.8684945916097908
0.3394161026587508,0.7200274121873671,0.5760219297498937,0.8640328946248405
0.34283142194769856,0.7163055329453059,0.5730444263562448,0.859566639534367
0.34624674123664634,0.7125798552819755,0.5700638842255804,0.8550958263383707
0.3496620605255941,0.7088503791973757,0.5670803033579006,0.8506204550368508
0.3530773798145419,0.7051171046915067,0.5640936837532053,0.846140525629808
0.3564926991034897,0.7013800317643684,0.5611040254114947,0.841656038117242
0.35990801839243747,0.6976391604159609,0.5581113283327687,0.837166992499153
0.36332333768138525,0.693894490646284,0.5551155925170271,0.8326733887755408
0.36673865697033303,0.6901460224553377,0.5521168179642703,0.8281752269464052
0.3701539762592808,0.6863937558431222,0.5491150046744978,0.8236725070117467
0.3735692955482286,0.6826376908096375,0.54611015264771,0.8191652289715651
0.3769846148371764,0.6788778273548834,0.5431022618839068,0.8146533928258601
0.38039993412612416,0.6751141654788602,0.5400913323830882,0.8101369985746322
0.383815253415072,0.6713467051815676,0.5370773641452541,0.8056160462178811
0.3872305727040198,0.6675754464630056,0.5340603571704045,0.8010905357556067
0.39064589199296756,0.6638003893231744,0.5310403114585396,0.7965604671878093
0.39406121128191535,0.660021533762074,0.5280172270096591,0.7920258405144888
0.39747653057086313,0.6562388797797041,0.5249911038237632,0.7874866557356449
0.4008918498598109,0.6524524273760651,0.5219619419008521,0.7829429128512781
0.4043071691487587,0.6486621765511568,0.5189297412409254,0.7783946118613881
0.4077224884377065,0.6448681273049792,0.5158945018439834,0.773841752765975
0.41113780772665426,0.6410702796375323,0.5128562237100258,0.7692843355650387
0.41455312701560204,0.637268633548816,0.5098149068390528,0.7647223602585792
