log EDefNuc,Rise_Time_(d),Rise_Time_(d)_lower_limit,Rise_Time_(d)_upper_limit
0.11058971029924898,16.23152720367031,14.60837448330328,17.85467992403734
0.11400502958819676,16.334358305333474,14.700922474800127,17.96779413586682
0.11742034887714456,16.43610280011976,14.792492520107784,18.079713080131736
0.12083566816609234,16.536760688029158,14.883084619226242,18.190436756832074
0.12425098745504012,16.636331969061676,14.972698772155509,18.299965165967844
0.12766630674398793,16.734816643217314,15.061334978895584,18.40829830753905
0.13108162603293572,16.832214710496068,15.148993239446462,18.515436181545677
0.1344969453218835,16.92852617089794,15.235673553808146,18.621378787987734
0.13791226461083128,17.02375102442293,15.321375921980636,18.72612612686522
0.14132758389977906,17.11788927107104,15.406100343963935,18.829678198178144
0.14474290318872685,17.210940910842265,15.48984681975804,18.932035001926494
0.14815822247767463,17.302905943736608,15.572615349362948,19.03319653811027
0.15157354176662244,17.393784369754073,15.654405932778666,19.13316280672948
0.15498886105557022,17.483576188894652,15.735218570005188,19.23193380778412
0.158404180344518,17.57228140115835,15.815053261042515,19.329509541274184
0.16181949963346579,17.659900006545165,15.893910005890648,19.425890007199683
0.1652348189224136,17.7464320050551,15.971788804549591,19.521075205560614
0.16865013821136138,17.831877396688153,16.048689657019338,19.61506513635697
0.17206545750030916,17.916236181444322,16.12461256329989,19.707859799588757
0.17548077678925694,17.999508359323613,16.199557523391253,19.799459195255977
0.17889609607820472,18.08169393032602,16.27352453729342,19.88986332335862
0.1823114153671525,18.16279289445154,16.34651360500639,19.979072183896697
0.1857267346561003,18.242805251700183,16.418524726530165,20.067085776870204
0.1891420539450481,18.321731002071942,16.48955790186475,20.15390410227914
0.19255737323399588,18.39957014556682,16.55961313101014,20.239527160123505
0.19597269252294366,18.47632268218482,16.628690413966336,20.3239549504033
0.19938801181189147,18.551988611925932,16.696789750733338,20.407187473118526
0.20280333110083926,18.626567934790163,16.763911141311148,20.489224728269182
0.20621865038978704,18.700060650777516,16.830054585699767,20.57006671585527
0.20963396967873482,18.772466759887983,16.895220083899186,20.649713435876784
0.2130492889676826,18.84378626212157,16.95940763590941,20.728164888333726
0.2164646082566304,18.914019157478272,17.022617241730444,20.8054210732261
0.21987992754557817,18.983165445958093,17.084848901362285,20.881481990553905
0.22329524683452595,19.051225127561036,17.14610261480493,20.95634764031714
0.22671056612347376,19.118198202287093,17.206378382058386,21.030018022515804
0.23012588541242154,19.18408467013627,17.26567620312264,21.102493137149896
0.23354120470136935,19.248884531108565,17.32399607799771,21.173772984219422
0.23695652399031714,19.312597785203977,17.38133800668358,21.243857563724376
0.24037184327926492,19.375224432422506,17.437701989180255,21.312746875664757
0.2437871625682127,19.436764472764153,17.49308802548774,21.38044092004057
0.24720248185716048,19.49721790622892,17.547496115606027,21.44693969685181
0.25061780114610827,19.556584732816802,17.60092625953512,21.512243206098482
0.25403312043505605,19.614864952527803,17.653378457275025,21.576351447780585
0.25744843972400383,19.672058565361926,17.704852708825733,21.63926442189812
