log EDefNuc,Fraction_Shell_IGE/burned,Fraction_Shell_IGE/burned_lower_limit,Fraction_Shell_IGE/burned_upper_limit
0.11058971029924898,0.7549531855207661,0.6039625484166129,0.9059438226249192
0.11400502958819676,0.7464607788109171,0.5971686230487337,0.8957529345731005
0.11742034887714456,0.7380690584055809,0.5904552467244647,0.8856828700866971
0.12083566816609234,0.7297780243047576,0.5838224194438061,0.8757336291657091
0.12425098745504012,0.721587676508447,0.5772701412067577,0.8659052118101364
0.12766630674398793,0.713498015016649,0.5707984120133193,0.8561976180199787
0.13108162603293572,0.705509039829364,0.5644072318634912,0.8466108477952368
0.1344969453218835,0.6976207509465917,0.5580966007572734,0.83714490113591
0.13791226461083128,0.6898331483683322,0.5518665186946657,0.8277997780419987
0.14132758389977906,0.6821462320945856,0.5457169856756685,0.8185754785135027
0.14474290318872685,0.6745600021253516,0.5396480017002813,0.809472002550422
0.14815822247767463,0.6670744584606305,0.5336595667685045,0.8004893501527566
0.15157354176662244,0.6596896011004221,0.5277516808803376,0.7916275213205065
0.15498886105557022,0.6524054300447264,0.5219243440357811,0.7828865160536717
0.158404180344518,0.6452219452935436,0.5161775562348349,0.7742663343522523
0.16181949963346579,0.6381391468468736,0.5105113174774989,0.7657669762162482
0.1652348189224136,0.6311570347047162,0.5049256277637729,0.7573884416456594
0.16865013821136138,0.6242756088670718,0.49942048709365744,0.7491307306404861
0.17206545750030916,0.61749486933394,0.49399589546715206,0.740993843200728
0.17548077678925694,0.6108148161053211,0.4886518528842569,0.7329777793263853
0.17889609607820472,0.604235449181215,0.483388359344972,0.7250825390174579
0.1823114153671525,0.5977567685616216,0.47820541484929735,0.7173081222739459
0.1857267346561003,0.5913787742465411,0.47310301939723287,0.7096545290958493
0.1891420539450481,0.5851014662359733,0.4680811729887786,0.7021217594831679
0.19255737323399588,0.5789248445299182,0.4631398756239346,0.6947098134359019
0.19597269252294366,0.5728489091283758,0.4582791273027007,0.687418690954051
0.19938801181189147,0.5668736600313463,0.4534989280250771,0.6802483920376156
0.20280333110083926,0.5609990972388297,0.44879927779106377,0.6731989166865956
0.20621865038978704,0.5552252207508258,0.44418017660066067,0.666270264900991
0.20963396967873482,0.5495520305673346,0.4396416244538677,0.6594624366808015
0.2130492889676826,0.5439795266883563,0.435183621350685,0.6527754320260275
0.2164646082566304,0.5385077091138908,0.43080616729111265,0.6462092509366689
0.21987992754557817,0.5331365778439379,0.4265092622751503,0.6397638934127254
0.22329524683452595,0.5278661328784979,0.42229290630279837,0.6334393594541975
0.22671056612347376,0.5226963742175706,0.41815709937405654,0.6272356490610848
0.23012588541242154,0.5176273018611562,0.41410184148892504,0.6211527622333874
0.23354120470136935,0.5126589158092545,0.41012713264740364,0.6151906989711053
0.23695652399031714,0.5077912160618655,0.40623297284949245,0.6093494592742386
0.24037184327926492,0.5030242026189894,0.4024193620951915,0.6036290431427872
0.2437871625682127,0.49835787548062616,0.3986863003845009,0.5980294505767514
0.24720248185716048,0.49379223464677546,0.39503378771742037,0.5925506815761306
0.25061780114610827,0.48932728011743787,0.3914618240939503,0.5871927361409254
0.25403312043505605,0.4849630118926128,0.3879704095140903,0.5819556142711354
0.25744843972400383,0.48069942997230053,0.3845595439778404,0.5768393159667606
0.2608637590129516,0.47653653435650123,0.381229227485201,0.5718438412278014
0.2642790783018994,0.47247432504521447,0.3779794600361716,0.5669691900542574
0.26769439759084723,0.4685128020384406,0.3748102416307525,0.5622153624461287
0.271109716879795,0.46465196533617936,0.37172157226894353,0.5575823584034152
0.2745250361687428,0.460891814938431,0.36871345195074484,0.5530701779261172
0.2779403554576906,0.45723235084519553,0.36578588067615647,0.5486788210142346
0.28135567474663836,0.4536735730564727,0.3629388584451782,0.5444082876677673
0.28477099403558614,0.45021548157226277,0.36017238525781026,0.5402585778867153
0.2881863133245339,0.4468580763925656,0.35748646111405247,0.5362296916710787
0.2916016326134817,0.44360135751738106,0.3548810860139049,0.5323216290208572
0.2950169519024295,0.4404453249467095,0.35235625995736763,0.5285343899360514
0.2984322711913773,0.43738997868055063,0.34991198294444054,0.5248679744166608
0.30184759048032506,0.4344353187189045,0.34754825497512365,0.5213223824626854
0.3052629097692729,0.43158134506177115,0.3452650760494169,0.5178976140741254
0.3086782290582207,0.42882805770915056,0.34306244616732046,0.5145936692509806
0.31209354834716846,0.42617545666104284,0.3409403653288343,0.5114105479932514
0.31550886763611624,0.4236235419174479,0.33889883353395833,0.5083482503009374
0.318924186925064,0.4211723134783656,0.3369378507826925,0.5054067761740387
0.3223395062140118,0.4188217713437963,0.33505741707503706,0.5025861256125556
0.3257548255029596,0.4165719155137396,0.3332575324109917,0.49988629861648753
0.32917014479190737,0.41442274598819573,0.3315381967905566,0.49730729518583483
0.33258546408085515,0.4123742627671646,0.3298994102137317,0.4948491153205975
0.33600078336980294,0.41042646585064635,0.3283411726805171,0.4925117590207756
0.3394161026587508,0.40857935523864075,0.3268634841909126,0.4902952262863689
0.34283142194769856,0.40683293093114814,0.32546634474491853,0.48819951711737775
0.34624674123664634,0.40518719292816807,0.32414975434253446,0.4862246315138017
0.3496620605255941,0.4036421412297009,0.3229137129837607,0.48437056947564106
0.3530773798145419,0.40219777583574656,0.3217582206685973,0.48263733100289585
0.3564926991034897,0.4008540967463049,0.32068327739704394,0.48102491609556586
0.35990801839243747,0.399611103961376,0.3196888831691008,0.4795333247536512
0.36332333768138525,0.39846879748096,0.31877503798476803,0.47816255697715193
0.36673865697033303,0.3974271773050566,0.31794174184404533,0.4769126127660679
0.3701539762592808,0.3964862434336661,0.3171889947469329,0.47578349212039933
0.3735692955482286,0.3956459958667884,0.31651679669343075,0.47477519504014604
0.3769846148371764,0.39490643460442343,0.31592514768353874,0.4738877215253081
0.38039993412612416,0.39426755964657134,0.3154140477172571,0.47312107157588557
0.383815253415072,0.3937293709932318,0.3149834967945855,0.4724752451918781
0.3872305727040198,0.39329186864440524,0.3146334949155242,0.47195024237328626
0.39064589199296756,0.39295505260009145,0.3143640420800732,0.4715460631201097
0.39406121128191535,0.3927189228602904,0.31417513828823235,0.4712627074323485
0.39747653057086313,0.39258347942500205,0.31406678354000167,0.4711001753100024
0.4008918498598109,0.39254872229422655,0.31403897783538126,0.47105846675307184
0.4043071691487587,0.3926146514679639,0.3140917211743712,0.4711375817615567
0.4077224884377065,0.39278126694621396,0.3142250135569712,0.47133752033545673
0.41113780772665426,0.39304856872897675,0.3144388549831814,0.4716582824747721
0.41455312701560204,0.3934165568162524,0.31473324545300196,0.4720998681795029
0.4179684463045498,0.39388523120804075,0.3151081849664326,0.4726622774496489
0.42138376559349766,0.39445459190434196,0.3155636735234736,0.4733455102852103
0.42479908488244544,0.3951246389051559,0.31609971112412477,0.4741495666861871
0.4282144041713932,0.39589537221048265,0.31671629776838617,0.47507444665257914
0.431629723460341,0.39676679182032215,0.3174134334562577,0.4761201501843866
0.4350450427492888,0.3977388977346744,0.31819111818773954,0.4772866772816093
0.4384603620382366,0.39881168995353955,0.3190493519628317,0.4785740279442474
0.44187568132718436,0.39998516847691734,0.3199881347815339,0.4799822021723008
0.44529100061613214,0.4012593333048079,0.32100746664384633,0.48151119996576947
0.4487063199050799,0.40263418443721144,0.32210734754976916,0.4831610213246537
