log EDefNuc,Fraction_Shell_burned,Fraction_Shell_burned_lower_limit,Fraction_Shell_burned_upper_limit
0.11058971029924898,0.774169928472791,0.15483398569455817,0.777579837
0.11400502958819676,0.7739430781817391,0.1547886156363478,0.777579837
0.11742034887714456,0.7737018079766934,0.15474036159533866,0.777579837
0.12083566816609234,0.7734461178576539,0.15468922357153075,0.777579837
0.12425098745504012,0.7731760078246206,0.15463520156492408,0.777579837
0.12766630674398793,0.7728914778775934,0.15457829557551864,0.777579837
0.13108162603293572,0.7725925280165723,0.15451850560331443,0.777579837
0.1344969453218835,0.7722791582415574,0.15445583164831145,0.777579837
0.13791226461083128,0.7719513685525486,0.1543902737105097,0.777579837
0.14132758389977906,0.7716091589495461,0.1543218317899092,0.777579837
0.14474290318872685,0.7712525294325497,0.1542505058865099,0.777579837
0.14815822247767463,0.7708814800015594,0.15417629600031185,0.777579837
0.15157354176662244,0.7704960106565754,0.15409920213131503,0.777579837
0.15498886105557022,0.7700961213975974,0.15401922427951945,0.777579837
0.158404180344518,0.7696818122246256,0.1539363624449251,0.777579837
0.16181949963346579,0.76925308313766,0.15385061662753197,0.777579837
0.1652348189224136,0.7688099341367006,0.1537619868273401,0.777579837
0.16865013821136138,0.7683523652217473,0.15367047304434944,0.777579837
0.17206545750030916,0.7678803763928002,0.15357607527856,0.777579837
0.17548077678925694,0.7673939676498592,0.15347879352997182,0.777579837
0.17889609607820472,0.7668931389929244,0.15337862779858485,0.777579837
0.1823114153671525,0.7663778904219958,0.15327557808439912,0.777579837
0.1857267346561003,0.7658482219370734,0.15316964438741465,0.777579837
0.1891420539450481,0.765304133538157,0.15306082670763135,0.777579837
0.19255737323399588,0.7647456252252468,0.15294912504504932,0.777579837
0.19597269252294366,0.7641726969983428,0.1528345393996685,0.777579837
0.19938801181189147,0.763585348857445,0.15271706977148897,0.777579837
0.20280333110083926,0.7629835808025534,0.15259671616051063,0.777579837
0.20621865038978704,0.7623673928336678,0.15247347856673354,0.777579837
0.20963396967873482,0.7617367849507884,0.15234735699015767,0.777579837
0.2130492889676826,0.7610917571539152,0.152218351430783,0.777579837
0.2164646082566304,0.7604323094430482,0.1520864618886096,0.777579837
0.21987992754557817,0.7597584418181873,0.15195168836363743,0.777579837
0.22329524683452595,0.7590701542793326,0.15181403085586648,0.777579837
0.22671056612347376,0.758367446826484,0.1516734893652968,0.777579837
0.23012588541242154,0.7576503194596417,0.1515300638919283,0.777579837
0.23354120470136935,0.7569187721788054,0.15138375443576105,0.777579837
0.23695652399031714,0.7561728049839753,0.15123456099679503,0.777579837
0.24037184327926492,0.7554124178751515,0.15108248357503026,0.777579837
0.2437871625682127,0.7546376108523337,0.1509275221704667,0.777579837
0.24720248185716048,0.7538483839155221,0.15076967678310438,0.777579837
0.25061780114610827,0.7530447370647166,0.15060894741294328,0.777579837
0.25403312043505605,0.7522266702999174,0.15044533405998345,0.777579837
0.25744843972400383,0.7513941836211243,0.15027883672422482,0.777579837
0.2608637590129516,0.7505472770283373,0.15010945540566745,0.777579837
0.2642790783018994,0.7496859505215565,0.14993719010431128,0.777579837
0.26769439759084723,0.7488102041007819,0.14976204082015634,0.777579837
0.271109716879795,0.7479200377660135,0.14958400755320267,0.777579837
0.2745250361687428,0.7470154515172511,0.1494030903034502,0.777579837
0.2779403554576906,0.7460964453544949,0.14921928907089896,0.777579837
0.28135567474663836,0.745163019277745,0.14903260385554895,0.777579837
0.28477099403558614,0.7442151732870012,0.1488430346574002,0.777579837
0.2881863133245339,0.7432529073822635,0.14865058147645266,0.777579837
0.2916016326134817,0.742276221563532,0.14845524431270637,0.777579837
0.2950169519024295,0.7412851158308067,0.1482570231661613,0.777579837
0.2984322711913773,0.7402795901840875,0.14805591803681747,0.777579837
0.30184759048032506,0.7392596446233745,0.14785192892467486,0.777579837
0.3052629097692729,0.7382252791486675,0.14764505582973347,0.777579837
0.3086782290582207,0.7371764937599669,0.14743529875199335,0.777579837
0.31209354834716846,0.7361132884572723,0.14722265769145443,0.777579837
0.31550886763611624,0.7350356632405839,0.14700713264811674,0.777579837
0.318924186925064,0.7339436181099017,0.1467887236219803,0.777579837
0.3223395062140118,0.7328371530652257,0.1465674306130451,0.777579837
0.3257548255029596,0.7317162681065558,0.14634325362131112,0.777579837
