log EDefNuc,Fraction_Core_IGE/burned,Fraction_Core_IGE/burned_lower_limit,Fraction_Core_IGE/burned_upper_limit
0.11058971029924898,0.879411802544779,0.7035294420358232,0.875616572
0.11400502958819676,0.8772566728466832,0.7018053382773466,0.875616572
0.11742034887714456,0.8750862299250972,0.7000689839400778,0.875616572
0.12083566816609234,0.8729004737800213,0.6983203790240171,0.875616572
0.12425098745504012,0.8706994044114554,0.6965595235291644,0.875616572
0.12766630674398793,0.8684830218193995,0.6947864174555196,0.875616572
0.13108162603293572,0.8662513260038537,0.693001060803083,0.875616572
0.1344969453218835,0.8640043169648177,0.6912034535718542,0.875616572
0.13791226461083128,0.8617419947022917,0.6893935957618335,0.875616572
0.14132758389977906,0.8594643592162758,0.6875714873730208,0.875616572
0.14474290318872685,0.8571714105067699,0.685737128405416,0.875616572
0.14815822247767463,0.854863148573774,0.6838905188590192,0.875616572
0.15157354176662244,0.852539573417288,0.6820316587338304,0.875616572
0.15498886105557022,0.850200685037312,0.6801605480298497,0.875616572
0.158404180344518,0.847846483433846,0.6782771867470769,0.875616572
0.16181949963346579,0.84547696860689,0.6763815748855121,0.875616572
0.1652348189224136,0.843092140556444,0.6744737124451552,0.875616572
0.16865013821136138,0.840691999282508,0.6725535994260065,0.875616572
0.17206545750030916,0.8382765447850821,0.6706212358280657,0.875616572
0.17548077678925694,0.835845777064166,0.6686766216513328,0.875616572
0.17889609607820472,0.83339969611976,0.666719756895808,0.875616572
0.1823114153671525,0.8309383019518639,0.6647506415614912,0.875616572
0.1857267346561003,0.8284615945604779,0.6627692756483823,0.875616572
0.1891420539450481,0.8259695739456018,0.6607756591564815,0.875616572
0.19255737323399588,0.8234622401072358,0.6587697920857887,0.875616572
0.19597269252294366,0.8209395930453797,0.6567516744363038,0.875616572
0.19938801181189147,0.8184016327600336,0.6547213062080269,0.875616572
0.20280333110083926,0.8158483592511975,0.652678687400958,0.875616572
0.20621865038978704,0.8132797725188714,0.6506238180150972,0.875616572
0.20963396967873482,0.8106958725630553,0.6485566980504442,0.875616572
0.2130492889676826,0.8080966593837492,0.6464773275069994,0.875616572
0.2164646082566304,0.8054821329809531,0.6443857063847624,0.875616572
0.21987992754557817,0.8028522933546669,0.6422818346837336,0.875616572
0.22329524683452595,0.8002071405048907,0.6401657124039126,0.875616572
0.22671056612347376,0.7975466744316246,0.6380373395452997,0.875616572
0.23012588541242154,0.7948708951348684,0.6358967161078948,0.8743579846483553
0.23354120470136935,0.7921798026146223,0.6337438420916979,0.8713977828760846
0.23695652399031714,0.7894733968708861,0.6315787174967089,0.8684207365579748
0.24037184327926492,0.78675167790366,0.629401342322928,0.8654268456940261
0.2437871625682127,0.7840146457129438,0.627211716570355,0.8624161102842383
0.24720248185716048,0.7812623002987376,0.6250098402389901,0.8593885303286114
0.25061780114610827,0.7784946416610414,0.6227957133288332,0.8563441058271456
0.25403312043505605,0.7757116697998552,0.6205693358398842,0.8532828367798407
0.25744843972400383,0.7729133847151789,0.6183307077721432,0.8502047231866968
0.2608637590129516,0.7700997864070127,0.6160798291256102,0.8471097650477141
0.2642790783018994,0.7672708748753565,0.6138166999002852,0.8439979623628923
0.26769439759084723,0.7644266501202102,0.6115413200961681,0.8408693151322313
0.271109716879795,0.7615671121415739,0.6092536897132592,0.8377238233557314
0.2745250361687428,0.7586922609394476,0.6069538087515581,0.8345614870333925
0.2779403554576906,0.7558020965138313,0.6046416772110651,0.8313823061652146
0.28135567474663836,0.752896618864725,0.6023172950917801,0.8281862807511976
0.28477099403558614,0.7499758279921288,0.5999806623937031,0.8249734107913418
0.2881863133245339,0.7470397238960425,0.597631779116834,0.8217436962856468
0.2916016326134817,0.7440883065764662,0.595270645261173,0.8184971372341129
0.2950169519024295,0.7411215760333999,0.5928972608267199,0.8152337336367399
0.2984322711913773,0.7381395322668436,0.5905116258134749,0.811953485493528
0.30184759048032506,0.7351421752767973,0.5881137402214378,0.8086563928044771
0.3052629097692729,0.7321295050632608,0.5857036040506086,0.805342455569587
0.3086782290582207,0.7291015216262345,0.5832812173009877,0.8020116737888581
0.31209354834716846,0.7260582249657181,0.5808465799725745,0.79866404746229
0.31550886763611624,0.7229996150817117,0.5783996920653695,0.7952995765898829
0.318924186925064,0.7199256919742154,0.5759405535793723,0.791918261171637
0.3223395062140118,0.7168364556432291,0.5734691645145833,0.788520101207552
0.3257548255029596,0.7137319060887526,0.5709855248710021,0.785105096697628
0.32917014479190737,0.7106120433107862,0.568489634648629,0.7816732476418649
0.33258546408085515,0.7074768673093299,0.565981493847464,0.7782245540402629
0.33600078336980294,0.7043263780843834,0.5634611024675067,0.7747590158928218
0.3394161026587508,0.7011605756359469,0.5609284605087576,0.7712766331995417
0.34283142194769856,0.6979794599640206,0.5583835679712165,0.7677774059604227
0.34624674123664634,0.6947830310686041,0.5558264248548833,0.7642613341754645
0.3496620605255941,0.6915712889496977,0.5532570311597581,0.7607284178446675
0.3530773798145419,0.6883442336073011,0.550675386885841,0.7571786569680313
0.3564926991034897,0.6851018650414147,0.5480814920331317,0.7536120515455562
0.35990801839243747,0.6818441832520383,0.5454753466016307,0.7500286015772423
0.36332333768138525,0.6785711882391717,0.5428569505913374,0.7464283070630889
0.36673865697033303,0.6752828800028152,0.5402263040022522,0.7428111680030968
0.3701539762592808,0.6719792585429687,0.537583406834375,0.7391771843972657
0.3735692955482286,0.6686603238596323,0.5349282590877058,0.7355263562455956
0.3769846148371764,0.6653260759528057,0.5322608607622445,0.7318586835480864
