log EDefNuc,log KE_(erg),log KE_(erg)_lower_limit,log KE_(erg)_upper_limit
0.11058971029924898,51.15724906996455,51.00234710997881,51.27119242227138
0.11400502958819676,51.15613746737438,51.001235507388635,51.27008081968121
0.11742034887714456,51.15502282390431,51.00012086391857,51.268966176211144
0.12083566816609234,51.153905139554354,50.99900317956861,51.26784849186119
0.12425098745504012,51.15278441432451,50.997882454338765,51.26672776663134
0.12766630674398793,51.15166064821476,50.996758688229015,51.26560400052159
0.13108162603293572,51.150533841225126,50.99563188123938,51.26447719353196
0.1344969453218835,51.14940399335559,50.99450203336985,51.263347345662424
0.13791226461083128,51.14827110460617,50.993369144620424,51.262214456913
0.14132758389977906,51.147135174976846,50.9922332149911,51.26107852728368
0.14474290318872685,51.14599620446763,50.991094244481886,51.25993955677446
0.14815822247767463,51.14485419307852,50.98995223309278,51.258797545385356
0.15157354176662244,51.14370914080952,50.98880718082378,51.25765249311635
0.15498886105557022,51.14256104766063,50.987659087674885,51.25650439996746
0.158404180344518,51.14140991363184,50.9865079536461,51.25535326593867
0.16181949963346579,51.140255738723155,50.98535377873741,51.25419909102999
0.1652348189224136,51.13909852293458,50.98419656294884,51.253041875241415
0.16865013821136138,51.137938266266104,50.98303630628036,51.25188161857294
0.17206545750030916,51.136774968717745,50.981873008732,51.25071832102458
0.17548077678925694,51.13560863028948,50.98070667030374,51.249551982596316
0.17889609607820472,51.13443925098133,50.97953729099559,51.248382603288164
0.1823114153671525,51.13326683079329,50.978364870807546,51.24721018310012
0.1857267346561003,51.132091369725345,50.9771894097396,51.24603472203218
0.1891420539450481,51.13091286777752,50.976010907791775,51.24485622008435
0.19255737323399588,51.12973132494979,50.974829364964044,51.24367467725662
0.19597269252294366,51.12854674124217,50.973644781256425,51.242490093549
0.19938801181189147,51.12735911665465,50.97245715666891,51.241302468961486
0.20280333110083926,51.12616845118724,50.9712664912015,51.240111803494074
0.20621865038978704,51.12497474483994,50.970072784854196,51.23891809714677
0.20963396967873482,51.12377799761274,50.968876037627,51.237721349919575
0.2130492889676826,51.122578209505654,50.96767624951991,51.23652156181249
0.2164646082566304,51.12137538051867,50.96647342053293,51.235318732825505
0.21987992754557817,51.12016951065179,50.96526755066605,51.234112862958625
0.22329524683452595,51.11896059990502,50.96405863991928,51.232903952211856
0.22671056612347376,51.11774864827836,50.962846688292615,51.23169200058519
0.23012588541242154,51.116533655771796,50.96163169578605,51.23047700807863
0.23354120470136935,51.115315622385346,50.9604136623996,51.22925897469218
0.23695652399031714,51.114094548119,50.959192588133256,51.22803790042583
0.24037184327926492,51.112870432972755,50.95796847298701,51.22681378527959
0.2437871625682127,51.11164327694662,50.95674131696088,51.225586629253456
0.24720248185716048,51.110413080040594,50.95551112005485,51.22435643234743
0.25061780114610827,51.10917984225467,50.954277882268926,51.2231231945615
0.25403312043505605,51.107943563588854,50.95304160360311,51.22188691589569
0.25744843972400383,51.106704244043144,50.9518022840574,51.22064759634998
0.2608637590129516,51.105461883617544,50.9505599236318,51.21940523592438
0.2642790783018994,51.10421648231205,50.949314522326304,51.21815983461888
0.26769439759084723,51.102968040126655,50.94806608014091,51.21691139243349
0.271109716879795,51.101716557061366,50.94681459707562,51.2156599093682
0.2745250361687428,51.10046203311619,50.945560073130444,51.21440538542302
0.2779403554576906,51.09920446829112,50.94430250830538,51.21314782059795
0.28135567474663836,51.09794386258615,50.943041902600406,51.21188721489298
0.28477099403558614,51.09668021600129,50.941778256015546,51.21062356830812
0.2881863133245339,51.09541352853654,50.9405115685508,51.20935688084337
0.2916016326134817,51.09414380019189,50.939241840206144,51.20808715249872
0.2950169519024295,51.092871030967345,50.9379690709816,51.20681438327418
0.2984322711913773,51.091595220862914,50.93669326087717,51.20553857316975
0.30184759048032506,51.090316369878586,50.93541440989284,51.20425972218542
0.3052629097692729,51.08903447801436,50.93413251802862,51.202977830321196
0.3086782290582207,51.08774954527024,50.9328475852845,51.201692897577075
0.31209354834716846,51.08646157164623,50.93155961166049,51.200404923953066
0.31550886763611624,51.08517055714233,50.930268597156584,51.19911390944916
0.318924186925064,51.08387650175853,50.92897454177279,51.197819854065365
0.3223395062140118,51.08257940549484,50.9276774455091,51.196522757801674
0.3257548255029596,51.08127926835125,50.92637730836551,51.195222620658086
0.32917014479190737,51.07997609032777,50.925074130342026,51.1939194426346
0.33258546408085515,51.078669871424395,50.92376791143865,51.19261322373123
0.33600078336980294,51.07736061164113,50.92245865165539,51.191303963947966
0.3394161026587508,51.07604831097797,50.921146350992224,51.1899916632848
0.34283142194769856,51.07473296943491,50.91983100944917,51.188676321741745
0.34624674123664634,51.07341458701197,50.918512627026224,51.1873579393188
0.3496620605255941,51.07209316370912,50.91719120372338,51.18603651601595
0.3530773798145419,51.07076869952638,50.91586673954064,51.184712051833216
0.3564926991034897,51.06944119446376,50.91453923447801,51.18338454677059
0.35990801839243747,51.068110648521234,50.91320868853549,51.18205400082807
0.36332333768138525,51.066777061698815,50.91187510171307,51.18072041400565
0.36673865697033303,51.0654404339965,50.91053847401076,51.17938378630333
0.3701539762592808,51.064100765414295,50.90919880542855,51.17804411772113
0.3735692955482286,51.062758055952195,50.90785609596645,51.17670140825903
0.3769846148371764,51.061412305610204,50.90651034562446,51.17535565791704
0.38039993412612416,51.06006351438832,50.905161554402575,51.17400686669515
0.383815253415072,51.058711682286535,50.90380972230079,51.17265503459337
0.3872305727040198,51.05735680930486,50.90245484931912,51.1713001616117
0.39064589199296756,51.055998895443295,50.90109693545755,51.16994224775013
0.39406121128191535,51.05463794070183,50.89973598071609,51.168581293008664
0.39747653057086313,51.05327394508048,50.898371985094734,51.16721729738731
0.4008918498598109,51.05190690857923,50.897004948593484,51.16585026088606
0.4043071691487587,51.05053683119808,50.89563487121234,51.164480183504914
0.4077224884377065,51.049163712937045,50.8942617529513,51.16310706524388
0.41113780772665426,51.04778755379611,50.89288559381037,51.161730906102946
0.41455312701560204,51.046408353775284,50.89150639378954,51.16035170608212
0.4179684463045498,51.04502611287457,50.89012415288882,51.1589694651814
0.42138376559349766,51.04364083109395,50.88873887110821,51.157584183400786
0.42479908488244544,51.04225250843345,50.887350548447706,51.15619586074028
0.4282144041713932,51.04086114489305,50.88595918490731,51.15480449719988
0.431629723460341,51.039466740472754,50.88456478048701,51.15341009277959
0.4350450427492888,51.03806929517256,50.88316733518682,51.152012647479395
0.4384603620382366,51.03666880899248,50.88176684900674,51.150612161299314
0.44187568132718436,51.03526528193251,50.88036332194677,51.14920863423934
0.44529100061613214,51.033858713992636,50.87895675400689,51.14780206629947
0.4487063199050799,51.03244910517287,50.87754714518713,51.146392457479706
