log EDefNuc,Fraction_Core_burned,Fraction_Core_burned_lower_limit,Fraction_Core_burned_upper_limit
0.11058971029924898,0.9714927745384394,0.7771942196307515,0.973777959
0.11400502958819676,0.9712785608142986,0.777022848651439,0.973777959
0.11742034887714456,0.9710640907507322,0.7768512726005858,0.973777959
0.12083566816609234,0.97084936434774,0.776679491478192,0.973777959
0.12425098745504012,0.9706343816053223,0.7765075052842579,0.973777959
0.12766630674398793,0.9704191425234788,0.7763353140187831,0.973777959
0.13108162603293572,0.9702036471022097,0.7761629176817678,0.973777959
0.1344969453218835,0.969987895341515,0.775990316273212,0.973777959
0.13791226461083128,0.9697718872413946,0.7758175097931157,0.973777959
0.14132758389977906,0.9695556228018485,0.7756444982414789,0.973777959
0.14474290318872685,0.9693391020228768,0.7754712816183015,0.973777959
0.14815822247767463,0.9691223249044794,0.7752978599235836,0.973777959
0.15157354176662244,0.9689052914466563,0.775124233157325,0.973777959
0.15498886105557022,0.9686880016494075,0.7749504013195261,0.973777959
0.158404180344518,0.968470455512733,0.7747763644101865,0.973777959
0.16181949963346579,0.968252653036633,0.7746021224293065,0.973777959
0.1652348189224136,0.9680345942211073,0.7744276753768858,0.973777959
0.16865013821136138,0.9678162790661559,0.7742530232529248,0.973777959
0.17206545750030916,0.9675977075717788,0.7740781660574231,0.973777959
0.17548077678925694,0.967378879737976,0.7739031037903809,0.973777959
0.17889609607820472,0.9671597955647476,0.7737278364517981,0.973777959
0.1823114153671525,0.9669404550520936,0.7735523640416749,0.973777959
0.1857267346561003,0.9667208582000139,0.7733766865600111,0.973777959
0.1891420539450481,0.9665010050085084,0.7732008040068068,0.973777959
0.19255737323399588,0.9662808954775773,0.7730247163820619,0.973777959
0.19597269252294366,0.9660605296072207,0.7728484236857766,0.973777959
0.19938801181189147,0.9658399073974382,0.7726719259179506,0.973777959
0.20280333110083926,0.9656190288482301,0.7724952230785842,0.973777959
0.20621865038978704,0.9653978939595964,0.7723183151676771,0.973777959
0.20963396967873482,0.9651765027315371,0.7721412021852297,0.973777959
0.2130492889676826,0.964954855164052,0.7719638841312416,0.973777959
0.2164646082566304,0.9647329512571413,0.7717863610057131,0.973777959
0.21987992754557817,0.964510791010805,0.771608632808644,0.973777959
0.22329524683452595,0.9642883744250429,0.7714306995400344,0.973777959
0.22671056612347376,0.9640657014998552,0.7712525611998842,0.973777959
0.23012588541242154,0.9638427722352417,0.7710742177881934,0.973777959
0.23354120470136935,0.9636195866312027,0.7708956693049622,0.973777959
0.23695652399031714,0.963396144687738,0.7707169157501905,0.973777959
0.24037184327926492,0.9631724464048477,0.7705379571238782,0.973777959
