log EDefNuc,Fraction_Core_Ni56/IGE,Fraction_Core_Ni56/IGE_lower_limit,Fraction_Core_Ni56/IGE_upper_limit
0.11058971029924898,0.9239487160885989,0.7391589728708792,0.930929251
0.11400502958819676,0.924126601366404,0.7393012810931232,0.930929251
0.11742034887714456,0.9242967890880526,0.7394374312704421,0.930929251
0.12083566816609234,0.9244592792535449,0.739567423402836,0.930929251
0.12425098745504012,0.9246140718628806,0.7396912574903045,0.930929251
0.12766630674398793,0.9247611669160599,0.7398089335328479,0.930929251
0.13108162603293572,0.9249005644130829,0.7399204515304664,0.930929251
0.1344969453218835,0.9250322643539494,0.7400258114831595,0.930929251
0.13791226461083128,0.9251562667386594,0.7401250133909275,0.930929251
0.14132758389977906,0.925272571567213,0.7402180572537704,0.930929251
0.14474290318872685,0.9253811788396102,0.7403049430716883,0.930929251
0.14815822247767463,0.925482088555851,0.7403856708446809,0.930929251
0.15157354176662244,0.9255753007159353,0.7404602405727483,0.930929251
0.15498886105557022,0.9256608153198632,0.7405286522558906,0.930929251
0.158404180344518,0.9257386323676347,0.7405909058941078,0.930929251
0.16181949963346579,0.9258087518592497,0.7406470014873998,0.930929251
0.1652348189224136,0.9258711737947083,0.7406969390357667,0.930929251
0.16865013821136138,0.9259258981740105,0.7407407185392084,0.930929251
0.17206545750030916,0.9259729249971562,0.740778339997725,0.930929251
0.17548077678925694,0.9260122542641456,0.7408098034113165,0.930929251
0.17889609607820472,0.9260438859749784,0.7408351087799828,0.930929251
0.1823114153671525,0.9260678201296548,0.7408542561037239,0.930929251
0.1857267346561003,0.926084056728175,0.74086724538254,0.930929251
0.1891420539450481,0.9260925957705385,0.7408740766164308,0.930929251
0.19255737323399588,0.9260934372567456,0.7408747498053966,0.930929251
0.19597269252294366,0.9260865811867964,0.7408692649494372,0.930929251
0.19938801181189147,0.9260720275606906,0.7408576220485525,0.930929251
0.20280333110083926,0.9260497763784286,0.7408398211027429,0.930929251
0.20621865038978704,0.92601982764001,0.740815862112008,0.930929251
0.20963396967873482,0.925982181345435,0.740785745076348,0.930929251
0.2130492889676826,0.9259368374947036,0.7407494699957629,0.930929251
0.2164646082566304,0.9258837960878157,0.7407070368702526,0.930929251
0.21987992754557817,0.9258230571247714,0.7406584456998172,0.930929251
0.22329524683452595,0.9257546206055707,0.7406036964844566,0.930929251
0.22671056612347376,0.9256784865302136,0.7405427892241709,0.930929251
0.23012588541242154,0.9255946548987,0.74047572391896,0.930929251
0.23354120470136935,0.92550312571103,0.7404025005688241,0.930929251
0.23695652399031714,0.9254038989672035,0.7403231191737629,0.930929251
0.24037184327926492,0.9252969746672206,0.7402375797337766,0.930929251
0.2437871625682127,0.9251823528110813,0.7401458822488651,0.930929251
0.24720248185716048,0.9250600333987856,0.7400480267190286,0.930929251
0.25061780114610827,0.9249300164303335,0.7399440131442668,0.930929251
0.25403312043505605,0.9247923019057248,0.7398338415245799,0.930929251
0.25744843972400383,0.9246468898249598,0.7397175118599679,0.930929251
0.2608637590129516,0.9244937801880383,0.7395950241504307,0.930929251
0.2642790783018994,0.9243329729949604,0.7394663783959684,0.930929251
0.26769439759084723,0.9241644682457261,0.7393315745965809,0.930929251
0.271109716879795,0.9239882659403353,0.7391906127522683,0.930929251
0.2745250361687428,0.9238043660787881,0.7390434928630305,0.930929251
0.2779403554576906,0.9236127686610845,0.7388902149288676,0.930929251
0.28135567474663836,0.9234134736872245,0.7387307789497797,0.930929251
0.28477099403558614,0.923206481157208,0.7385651849257665,0.930929251
0.2881863133245339,0.9229917910710351,0.7383934328568281,0.930929251
0.2916016326134817,0.9227694034287058,0.7382155227429648,0.930929251
0.2950169519024295,0.9225393182302201,0.7380314545841761,0.930929251
0.2984322711913773,0.9223015354755778,0.7378412283804623,0.930929251
0.30184759048032506,0.9220560551647792,0.7376448441318234,0.930929251
0.3052629097692729,0.9218028772978242,0.7374423018382594,0.930929251
0.3086782290582207,0.9215420018747126,0.7372336014997701,0.930929251
0.31209354834716846,0.9212734288954447,0.7370187431163558,0.930929251
0.31550886763611624,0.9209971583600204,0.7367977266880164,0.930929251
0.318924186925064,0.9207131902684396,0.7365705522147517,0.930929251
0.3223395062140118,0.9204215246207024,0.736337219696562,0.930929251
0.3257548255029596,0.9201221614168087,0.736097729133447,0.930929251
0.32917014479190737,0.9198151006567586,0.735852080525407,0.930929251
0.33258546408085515,0.9195003423405521,0.7356002738724418,0.930929251
0.33600078336980294,0.9191778864681892,0.7353423091745515,0.930929251
0.3394161026587508,0.9188477330396698,0.735078186431736,0.930929251
0.34283142194769856,0.918509882054994,0.7348079056439952,0.930929251
0.34624674123664634,0.9181643335141618,0.7345314668113295,0.930929251
0.3496620605255941,0.9178110874171731,0.7342488699337385,0.930929251
0.3530773798145419,0.917450143764028,0.7339601150112225,0.930929251
0.3564926991034897,0.9170815025547265,0.7336652020437813,0.930929251
0.35990801839243747,0.9167051637892685,0.7333641310314148,0.930929251
0.36332333768138525,0.9163211274676542,0.7330569019741233,0.930929251
0.36673865697033303,0.9159293935898833,0.7327435148719067,0.930929251
0.3701539762592808,0.9155299621559561,0.7324239697247649,0.930929251
0.3735692955482286,0.9151228331658724,0.7320982665326979,0.930929251
0.3769846148371764,0.9147080066196323,0.7317664052957058,0.930929251
0.38039993412612416,0.9142854825172357,0.7314283860137887,0.930929251
0.383815253415072,0.9138552608586827,0.7310842086869462,0.930929251
0.3872305727040198,0.9134173416439734,0.7307338733151787,0.930929251
0.39064589199296756,0.9129717248731075,0.7303773798984861,0.930929251
0.39406121128191535,0.9125184105460853,0.7300147284368683,0.930929251
0.39747653057086313,0.9120573986629066,0.7296459189303253,0.930929251
0.4008918498598109,0.9115886892235714,0.7292709513788571,0.930929251
0.4043071691487587,0.9111122822280798,0.7288898257824639,0.930929251
0.4077224884377065,0.9106281776764319,0.7285025421411455,0.930929251
0.41113780772665426,0.9101363755686275,0.7281091004549021,0.930929251
0.41455312701560204,0.9096368759046666,0.7277095007237333,0.930929251
0.4179684463045498,0.9091296786845493,0.7273037429476394,0.930929251
0.42138376559349766,0.9086147839082755,0.7268918271266205,0.930929251
0.42479908488244544,0.9080921915758454,0.7264737532606764,0.930929251
0.4282144041713932,0.9075619016872589,0.7260495213498072,0.930929251
