log Ni_mass,log Peak_Flux_(erg/s),log Peak_Flux_(erg/s)_lower_limit,log Peak_Flux_(erg/s)_upper_limit
-1.1210436927247758,42.203114149207956,42.15735665864728,42.31705750151479
-1.1130747630535005,42.21053873011502,42.164781239554344,42.32448208242185
-1.105249425541544,42.217829527484206,42.17207203692353,42.33177287979104
-1.097562596875253,42.22499127739365,42.179233786832974,42.33893462970048
-1.090009458984807,42.232028468796145,42.18627097823547,42.34597182110298
-1.0825854409056002,42.238945360418775,42.1931878698581,42.35288871272561
-1.0752862021641008,42.24574599624212,42.199988505681446,42.359689348548955
-1.0681076175369772,42.25243421970008,42.2066767291394,42.36637757200691
-1.0610457630494905,42.25901368672502,42.213256196164345,42.37295703903185
-1.0540969030941625,42.26548787774921,42.219730387188534,42.37943123005604
-1.047257478563857,42.27186010876112,42.22610261820044,42.38580346106795
-1.0405240959048887,42.27813354150452,42.23237605094385,42.39207689381136
-1.0338935170058756,42.28431119289902,42.23855370233834,42.39825454520585
-1.027362649846918,42.29039594375204,42.244638453191364,42.40433929605887
-1.020928539841508,42.29639054682556,42.25063305626489,42.4103338991324
-1.014588361810489,42.30229763431388,42.256540143753206,42.416240986620714
-1.0083394125334875,42.308119724783374,42.2623622342227,42.42206307709021
-1.0021791038286691,42.31385922962005,42.268101739059375,42.42780258192688
-0.9961049561164759,42.31951845902612,42.273760968465446,42.433461811332954
-0.9901145924272884,42.32509962760305,42.27934213704238,42.439042979909885
-0.9842057328167682,42.330604859554704,42.28484736899403,42.44454821186154
-0.9783761891560443,42.33603619354129,42.290278702980615,42.44997954584812
-0.9726238602669529,42.341395587211814,42.29563809665114,42.45533893951865
-0.9669467273752624,42.34668492144027,42.3009274308796,42.460628273747105
-0.9613428498572639,42.35190600428853,42.306148513727855,42.46584935659536
-0.9558103612573029,42.357060574716705,42.31130308415603,42.47100392702354
-0.9503474655558007,42.362150306060286,42.31639281549961,42.47609365836712
-0.9449524336690945,42.367176809291124,42.32141931873045,42.48112016159796
-0.9396236001640277,42.372141636078496,42.32638414551782,42.48608498838533
-0.9343593601716704,42.377046281664505,42.33128879110383,42.49098963397134
-0.9291581664858627,42.381892187567374,42.3361346970067,42.49583553987421
-0.9240185268334515,42.386680744124725,42.34092325356405,42.50062409643156
-0.9189390013041766,42.391413292888146,42.34565580232747,42.50535664519498
-0.9139181999291258,42.39609112887931,42.35033363831864,42.510034481186146
-0.9089547803975757,42.40071550271718,42.35495801215651,42.51465885502402
-0.9040474459028315,42.405287622625025,42.35953013206435,42.51923097493186
-0.8991949431084194,42.40980865632529,42.364051165764614,42.52375200863212
-0.8943960602266507,42.41427973282978,42.36852224226911,42.52822308513662
-0.889649625202189,42.41870194413204,42.372944453571364,42.53264529643887
-0.8849545039938093,42.42307634680819,42.37731885624751,42.53701969911502
-0.8803095989480456,42.4274039635322,42.381646472971525,42.54134731583903
