wavelength,flux,flux_err,weight
1868.6,2.5336532635495022e-14,2.104937363277475e-15,1.0
1870.0,2.7396805807765357e-14,2.1508352106459104e-15,1.0
1871.4,2.7459943191357402e-14,2.1438643616007488e-15,1.0
1872.8,2.629240287151338e-14,2.091029642892693e-15,1.0
1874.2,2.4736559858613345e-14,2.0517402596036306e-15,1.0
1875.6,2.761492096312964e-14,2.3044990402757093e-15,1.0
1877.0,2.7618166397725665e-14,2.1401996626075872e-15,1.0
1878.4,2.775426655246528e-14,2.2189998357240394e-15,1.0
1879.8,2.6318942935287802e-14,2.0905861798776893e-15,1.0
1881.2,3.028216595870141e-14,2.1987792019276467e-15,1.0
1882.6,2.974320155681422e-14,2.687620145674584e-15,1.0
1884.0,2.949164597417562e-14,2.1625664525921427e-15,1.0
1885.4,3.084314856248559e-14,2.1052877771231497e-15,1.0
1886.8,3.086522972505159e-14,2.0885306075452253e-15,1.0
1888.2,2.7910421162754104e-14,2.001308876728058e-15,1.0
1889.6,2.7035889730591956e-14,2.033084997227344e-15,1.0
1891.0,2.6980493375167812e-14,1.9727151005302174e-15,1.0
1892.4,3.315143434970347e-14,2.130635397546278e-15,1.0
1893.8,2.7993184762063203e-14,2.7667820899780933e-15,1.0
1895.2,3.012743686533217e-14,1.9744762160352817e-15,1.0
1896.6,2.8935257297071496e-14,1.9568684670108992e-15,1.0
1898.0,2.5093928712200005e-14,2.1231852668323193e-15,1.0
1899.4,2.9344485825778546e-14,2.045642605859264e-15,1.0
1900.8,2.9333003129475824e-14,2.042862840133352e-15,1.0
1902.2,2.8233005756425676e-14,1.900906499407957e-15,1.0
1903.6,2.6893551815270555e-14,1.856117898610078e-15,1.0
1905.0,2.925005394647813e-14,1.903288043636966e-15,1.0
1906.4,2.6957855029307228e-14,1.8393498091562393e-15,1.0
1907.8,2.837530021613624e-14,1.8722276763963714e-15,1.0
1909.2,2.6992573867700205e-14,1.8323635900430976e-15,1.0
1910.6,2.969829448679313e-14,1.8769065375587948e-15,1.0
1912.0,2.8367500560665662e-14,1.892964457031485e-15,1.0
1913.4,2.7014126635393022e-14,2.077547522070936e-15,1.0
1914.8,2.686795579824943e-14,2.6331113675503996e-15,1.0
1916.2,2.5342427647168916e-14,2.4405436085023793e-15,1.0
1917.6,2.409315480551666e-14,2.0255978298643976e-15,1.0
1919.0,2.3364920960411563e-14,1.8269186814921185e-15,1.0
1920.4,2.3492080270477143e-14,1.712173825487775e-15,1.0
1921.8,2.371364291420871e-14,1.7000220163171417e-15,1.0
1923.2,2.202670633770311e-14,1.696873113523465e-15,1.0
1924.6,2.3304138783920328e-14,1.924308468232207e-15,1.0
1926.0,2.679560217414491e-14,2.0734070693957227e-15,1.0
1927.4,2.481753401328043e-14,1.7657835099822546e-15,1.0
1928.8,2.304888638822732e-14,1.8328632099255577e-15,1.0
1930.2,2.3619521241366174e-14,1.8741590118668573e-15,1.0
1931.6,2.5576037909004017e-14,2.0224341421719858e-15,1.0
1933.0,2.4668625954188277e-14,1.8861274616153475e-15,1.0
1934.4,3.032563163966085e-14,1.892903416621087e-15,1.0
1935.8,2.549290881643648e-14,1.8230098368655366e-15,1.0
1937.2,2.1921561335460887e-14,1.7506080994145203e-15,1.0
1938.6,2.4219689919796703e-14,1.7645004463329833e-15,1.0
1940.0,2.408812091128321e-14,1.636269754138798e-15,1.0
1941.4,2.204986560278507e-14,1.6100843647737162e-15,1.0
1942.8,2.329909633754557e-14,1.7740923660793804e-15,1.0
1944.2,2.5121488723620254e-14,1.842896385475351e-15,1.0
1945.6,2.3339562214548897e-14,1.8120165173570064e-15,1.0
1947.0,2.423251958790702e-14,1.6299459789498442e-15,1.0
1948.4,2.5942059634594762e-14,1.5768111844748968e-15,1.0
1949.8,2.615104951497184e-14,1.5743681846240468e-15,1.0
1951.2,2.5671120012121346e-14,1.5527507582468e-15,1.0
1952.6,2.5648314969841728e-14,1.5457997742295961e-15,1.0
1954.0,2.5767801081226996e-14,1.6100536267848737e-15,1.0
1955.4,2.3053985579756332e-14,1.5067036272057203e-15,1.0
1956.8,2.3900151028441328e-14,1.4957260844591168e-15,1.0
1958.2,2.9644550000562434e-14,1.602657086775018e-15,1.0
