wavelength,flux,flux_err,weight
1779.0,1.934751680955618e-14,9.137875958245854e-15,1.0
1780.4,1.822964193750479e-14,3.882771726312904e-15,1.0
1781.8,1.9240770137915967e-14,3.0263126011764444e-15,1.0
1783.2,2.0720597478824085e-14,3.0636890247089277e-15,1.0
1784.6,1.8359478329151575e-14,3.032969354885045e-15,1.0
1786.0,2.207040278344578e-14,3.2460621463749078e-15,1.0
1787.4,1.6194925748267712e-14,3.199035486775046e-15,1.0
1788.8,1.439438243625049e-14,3.145142777971842e-15,1.0
1790.2,1.492962129420168e-14,3.5445934932646007e-15,1.0
1791.6,2.0559356821044876e-14,3.1416729151543216e-15,1.0
1793.0,1.9980789058570338e-14,2.9344849346212405e-15,1.0
1794.4,1.8036639686338053e-14,2.8491857691846322e-15,1.0
1795.8,2.0748937029497307e-14,2.9334350370102297e-15,1.0
1797.2,2.3388535118400828e-14,2.9321919685430107e-15,1.0
1798.6,1.9877107762500162e-14,2.844800093171292e-15,1.0
1800.0,1.7592332549420356e-14,3.066347763203845e-15,1.0
1801.4,2.0017899878471123e-14,2.9091053503675738e-15,1.0
1802.8,1.5873216573791467e-14,2.6272422210731885e-15,1.0
1804.2,1.1904228303576747e-14,2.535291078641108e-15,1.0
1805.6,1.37294418085252e-14,2.6509275630425193e-15,1.0
1807.0,1.6700172560745557e-14,2.7844274762579123e-15,1.0
1808.4,2.0124721738507048e-14,2.7389937387742e-15,1.0
1809.8,2.085358487767238e-14,2.7712662695046163e-15,1.0
1811.2,2.1681097709052624e-14,2.7280827390328264e-15,1.0
1812.6,2.4455267602316264e-14,2.9859591729682156e-15,1.0
1814.0,1.645082172322933e-14,2.566428131027012e-15,1.0
1815.4,1.978753353979022e-14,2.5486368954155326e-15,1.0
1816.8,1.948702222686851e-14,2.8481141068255146e-15,1.0
1818.2,1.4730138517785078e-14,2.7810611994147138e-15,1.0
1819.6,1.8503152801655488e-14,3.0068339769022944e-15,1.0
1821.0,1.9982625030167216e-14,2.570926489907184e-15,1.0
1822.4,2.2670939960939957e-14,3.1244464090312977e-15,1.0
1823.8,2.465468359558498e-14,3.089494253944573e-15,1.0
1825.2,2.4112267742184397e-14,2.463596795178704e-15,1.0
1826.6,2.8232444717268088e-14,2.5776481528171926e-15,1.0
1828.0,2.1802163449970565e-14,2.755819620431195e-15,1.0
1829.4,1.7289749464020413e-14,2.295332926297145e-15,1.0
1830.8,1.8921100528228754e-14,2.3566918613630508e-15,1.0
1832.2,2.0090424028918592e-14,2.8541260621194508e-15,1.0
1833.6,2.235340681201826e-14,2.3622525336211433e-15,1.0
1835.0,2.3108708551945053e-14,2.376027213587725e-15,1.0
1836.4,2.6749545243256117e-14,2.7600452564918776e-15,1.0
1837.8,2.1940237966786625e-14,2.3478799781616514e-15,1.0
1839.2,2.113125060807113e-14,2.8049298963086674e-15,1.0
