wavelength,flux,flux_err,weight
1780.4,9.255740361886769e-15,3.7237424452880174e-15,1.0
1781.8,8.949037724236376e-15,2.3782090424371055e-15,1.0
1783.2,1.0591058931451977e-14,2.4572663283094147e-15,1.0
1784.6,1.3864056713489684e-14,2.4817768762096583e-15,1.0
1786.0,1.1976988960618827e-14,2.423322420819246e-15,1.0
1787.4,1.2826928279052149e-14,2.404572463315732e-15,1.0
1788.8,1.4220785759956387e-14,2.5523594935042255e-15,1.0
1790.2,8.601548749132701e-15,2.835074143767442e-15,1.0
1791.6,9.827609266665577e-15,2.5073597654896063e-15,1.0
1793.0,1.1204463969471675e-14,2.3761016100408316e-15,1.0
1794.4,1.0286180686079482e-14,2.310849634966083e-15,1.0
1795.8,4.359478124884839e-15,2.34356311388604e-15,1.0
1797.2,1.1361320188775433e-14,2.3318661055313906e-15,1.0
1798.6,1.1935874830911266e-14,2.4589638175192274e-15,1.0
1800.0,9.308645351177288e-15,2.9099835273452367e-15,1.0
1801.4,1.1580135807662241e-14,2.3275641486598586e-15,1.0
1802.8,1.152141958184963e-14,2.1926018474188107e-15,1.0
1804.2,1.0025570309594702e-14,2.102447467873633e-15,1.0
1805.6,7.002553619138433e-15,2.1347592704171557e-15,1.0
1807.0,1.1131873025305064e-14,2.3311144128891275e-15,1.0
1808.4,1.2464673782136134e-14,2.3128830431722042e-15,1.0
1809.8,1.1068311474362252e-14,2.050655969946117e-15,1.0
1811.2,9.449870982863969e-15,1.9714209225455467e-15,1.0
1812.6,1.4237870061621478e-14,2.796381162265894e-15,1.0
1814.0,9.481110017449236e-15,1.996883700254592e-15,1.0
1815.4,1.0521656608288194e-14,1.9198043544595172e-15,1.0
1816.8,1.1507022464779753e-14,2.0090963774627205e-15,1.0
1818.2,1.468834544701525e-14,1.9831125456337428e-15,1.0
1819.6,1.1298211222951867e-14,1.9203651792132112e-15,1.0
1821.0,1.2190434537125214e-14,1.9897322081632763e-15,1.0
1822.4,2.719368074143015e-14,5.47987443039125e-15,1.0
1823.8,1.3143602317403358e-14,1.984784785695069e-15,1.0
1825.2,1.0847948720041863e-14,1.881387662321867e-15,1.0
1826.6,1.3048802425708595e-14,2.0558427326549873e-15,1.0
1828.0,1.3204218658179474e-14,2.225434015284919e-15,1.0
1829.4,9.21753518509848e-15,1.8461514864787955e-15,1.0
1830.8,1.3542482021762813e-14,1.894976627098822e-15,1.0
1832.2,1.510450472537362e-14,1.9272418565752063e-15,1.0
1833.6,1.0417364864577745e-14,1.825364897118284e-15,1.0
1835.0,1.1386885212653403e-14,1.925217433858635e-15,1.0
1836.4,1.5534632514996268e-14,2.4920126460291124e-15,1.0
1837.8,1.4713318743062424e-14,1.9995357518191607e-15,1.0
1839.2,1.4049193975626832e-14,2.4851414402395066e-15,1.0
1840.6,1.4148530914093722e-14,1.901115139562544e-15,1.0
1842.0,1.2469569254654786e-14,1.7692760502203377e-15,1.0
1843.4,7.673544725387413e-15,1.756524323420693e-15,1.0
1844.8,1.3924867120005645e-14,1.8122740088849264e-15,1.0
1846.2,1.501315142660393e-14,1.8760189678839736e-15,1.0
1847.6,1.761891538677671e-14,2.095719437160682e-15,1.0
1849.0,1.4956798318707545e-14,2.076866549254751e-15,1.0
