wavelength,flux,flux_err,weight
1747.0,5.646345050944184e-17,2.2331467993806847e-16,1.0
1748.6,-1.2486294776786692e-17,1.9815478353494212e-16,1.0
1750.2,9.705189731179785e-17,2.0158259361182205e-16,1.0
1751.8,2.3309793135086593e-16,2.0475632002443447e-16,1.0
1753.4,2.3576630952054514e-16,2.0314339651186251e-16,1.0
1755.0,3.0728769565568416e-16,2.0619823572521068e-16,1.0
1756.6,4.6323830165013617e-17,1.927855166403841e-16,1.0
1758.2,1.7372783270783582e-16,1.939766807250747e-16,1.0
1759.8,1.7669181785911043e-17,1.852593725416667e-16,1.0
1761.4,1.5627541341507366e-16,1.8948554817096933e-16,1.0
1763.0,-1.0261290306040049e-16,1.7551104183190182e-16,1.0
1764.6,2.238182890761211e-16,1.9259775841947297e-16,1.0
1766.2,6.264271662392427e-17,1.8000181187041535e-16,1.0
1767.8,2.9115530642087204e-16,1.903611067602209e-16,1.0
1769.4,1.9391760190137385e-16,1.8452908409530338e-16,1.0
1771.0,1.5133883228164823e-16,1.7951774417764142e-16,1.0
1772.6,2.2124545701350682e-16,1.827727276810532e-16,1.0
1774.2,1.2154453350348937e-16,1.7522649038123782e-16,1.0
1775.8,-4.5800976588809007e-17,1.6397334386078267e-16,1.0
1777.4,4.030201066102887e-18,1.665204584685013e-16,1.0
1779.0,2.423158518858844e-16,1.770763299442927e-16,1.0
1780.6,4.3870299050985467e-16,1.8596996879794844e-16,1.0
1782.2,2.478215884331049e-16,1.7625177696087242e-16,1.0
1783.8,1.1089601388637258e-16,1.6656211534990007e-16,1.0
1785.4,1.5745551772275296e-16,1.6787806364871138e-16,1.0
1787.0,2.257534460857111e-16,1.693585133338032e-16,1.0
1788.6,3.209578559643465e-16,1.7507887568773185e-16,1.0
1790.2,3.3174043858714555e-16,1.7243938249569544e-16,1.0
1791.8,7.256902908512123e-17,1.5504373781514872e-16,1.0
1793.4,2.2853928998056295e-16,1.6537796868396067e-16,1.0
1795.0,3.9326988593359815e-16,1.7052085674891207e-16,1.0
1796.6,1.195379885601347e-16,1.5612878526551094e-16,1.0
1798.2,5.52732573218735e-17,1.5169101487470776e-16,1.0
1799.8,1.7326493552113434e-16,1.5383014787739712e-16,1.0
1801.4,4.685298753218155e-16,1.7000595829828583e-16,1.0
1803.0,4.9353539992875095e-17,1.4613570045230822e-16,1.0
1804.6,9.027399611284989e-17,1.4819889993604547e-16,1.0
1806.2,3.2770621767865065e-17,1.429343031261531e-16,1.0
1807.8,-1.6958569958936262e-17,1.3861257150473576e-16,1.0
1809.4,1.7136945772887163e-16,1.4908483222736325e-16,1.0
1811.0,4.018995849384003e-16,1.6184784367944527e-16,1.0
1812.6,2.124958990674416e-16,1.488994379831571e-16,1.0
1814.2,1.1860207236616737e-16,1.4272700133733758e-16,1.0
1815.8,3.152045452214007e-16,1.5302166688183702e-16,1.0
1817.4,1.2434125924251523e-16,1.425261716278711e-16,1.0
1819.0,-1.0605855098012265e-17,1.3245821389397706e-16,1.0
1820.6,2.1036973510147986e-16,1.4329399535522385e-16,1.0
1822.2,3.023094240085068e-16,1.468686824476705e-16,1.0
1823.8,1.988838377509966e-16,1.4088204279957487e-16,1.0
1825.4,2.136934841459424e-16,1.4102702754800166e-16,1.0
1827.0,2.4613902142618865e-16,1.4078462919916357e-16,1.0
1828.6,2.8079866681749593e-16,1.420271235719427e-16,1.0
1830.2,3.147183942839527e-16,1.420463422067535e-16,1.0
1831.8,2.2380573624314294e-16,1.3860405512484573e-16,1.0
1833.4,2.068440248710725e-16,1.3613841970388663e-16,1.0
1835.0,3.1232445862834744e-16,1.388982461796587e-16,1.0
1836.6,1.3323483900762473e-16,1.3074361103435045e-16,1.0
1838.2,3.5655708077870487e-16,1.4074114970574289e-16,1.0
1839.8,4.1503394515792827e-16,1.4073968508037704e-16,1.0
1841.4,2.4380460193261e-16,1.35992155939593e-16,1.0
1843.0,2.9677259193836236e-16,1.3411674778997496e-16,1.0
1844.6,2.62454486625712e-16,1.3182276063915131e-16,1.0
1846.2,1.2818203782715538e-16,1.2412441900085607e-16,1.0
1847.8,2.2007979161498107e-16,1.2958230413390913e-16,1.0
1849.4,2.8519823916398217e-16,1.3095035229520974e-16,1.0
1851.0,2.7830321589053987e-17,1.1704432414983574e-16,1.0
1852.6,3.016405126312934e-16,1.3022028363624017e-16,1.0
1854.2,2.4646774203275246e-16,1.2747034420976164e-16,1.0
1855.8,3.586130606009695e-16,1.3290841447760915e-16,1.0
1857.4,2.944620882679336e-16,1.271213010678356e-16,1.0
