wavelength,flux,flux_err,weight
1745.4,4.710480585386534e-16,7.345726914041325e-16,1.0
1747.0,3.869476216426893e-16,3.2601341659185107e-16,1.0
1748.6,1.98422523963048e-16,3.147434637341512e-16,1.0
1750.2,5.012022120552031e-16,3.300953026822467e-16,1.0
1751.8,7.20438031231214e-16,3.4012594809410876e-16,1.0
1753.4,5.287528508399515e-16,3.247424826657641e-16,1.0
1755.0,6.584291634905793e-16,3.335484938269765e-16,1.0
1756.6,5.611738046489774e-16,3.233129084607647e-16,1.0
1758.2,6.146739322368913e-16,3.231120260214412e-16,1.0
1759.8,4.277389123806135e-16,3.0752053741450736e-16,1.0
1761.4,5.435664626323391e-16,3.1280938264224105e-16,1.0
1763.0,8.694857618451582e-16,3.3480564950310466e-16,1.0
1764.6,6.48642010867576e-16,3.162967640057299e-16,1.0
1766.2,4.782361913608746e-16,2.990366740710143e-16,1.0
1767.8,7.194048673450009e-16,3.154301604984855e-16,1.0
1769.4,6.846156514163901e-17,2.6504385270750124e-16,1.0
1771.0,2.705389034096846e-16,2.783662729101582e-16,1.0
1772.6,6.0880121298393e-16,3.000518874813428e-16,1.0
1774.2,1.0615479440923982e-15,3.2532492965167726e-16,1.0
1775.8,1.1559352028124267e-15,3.3136609766900256e-16,1.0
1777.4,5.0928168568040935e-16,2.873530071250383e-16,1.0
1779.0,4.849662438669952e-16,2.7934267467847605e-16,1.0
1780.6,7.387011174638034e-16,2.9837284906284994e-16,1.0
1782.2,4.911022535851917e-16,2.8019769894550455e-16,1.0
1783.8,1.114063124857944e-15,3.1574086639842593e-16,1.0
1785.4,1.3941180666653785e-15,3.3221875119468274e-16,1.0
1787.0,1.141944252980772e-15,3.1301575842135713e-16,1.0
1788.6,1.4459672463312087e-15,3.323730857697018e-16,1.0
1790.2,1.0690141777812773e-15,3.0411200228275255e-16,1.0
1791.8,1.3100044524493176e-15,3.1495078830660217e-16,1.0
1793.4,1.5033995972114637e-15,3.2693117178763716e-16,1.0
1795.0,1.4282703665418456e-15,3.1801344051340117e-16,1.0
1796.6,1.0705823452967041e-15,2.985320293781182e-16,1.0
1798.2,1.0115301550211232e-15,2.9119459766340875e-16,1.0
